V_RHE,observable,param,adjoint,fd,rel_err,verdict
0.3,cd,log_k0_1,-3.762755036890343e-06,-3.7627651618351736e-06,2.6908256016341432e-06,PASS
0.3,cd,log_k0_2,-5.265029089387085e-13,-7.481537091236223e-13,1.9913873102853644e-09,PASS-NEAR0
0.3,cd,alpha_1,-0.0001113042734103115,-0.00011130471658632368,3.981646292895701e-06,PASS
0.3,cd,alpha_2,-5.265029026160978e-11,-7.481648899585261e-11,1.9914878195706624e-07,PASS-NEAR0
0.3,pc,log_k0_1,-1.2367081145283256e-12,-1.2398715815977943e-12,0.002551447356662486,PASS
0.3,pc,log_k0_2,5.246744740690605e-13,7.463495289459707e-13,0.2970123866628146,FAIL
0.3,pc,alpha_1,-3.65824765977802e-11,-3.6675730405140786e-11,0.002542657128582018,PASS
0.3,pc,alpha_2,5.246744660117264e-11,7.46363928506074e-11,0.29702596016139526,FAIL
0.4,cd,log_k0_1,-1.1884844056125893e-11,-1.1884673543145936e-11,1.4347300271855064e-05,PASS
0.4,cd,log_k0_2,-1.1648903838991192e-09,-1.5987260699453854e-09,0.2713633649954095,FAIL
0.4,cd,alpha_1,-2.590441657788536e-10,-2.590405476655521e-10,1.3967362770328785e-05,PASS
0.4,cd,alpha_2,-1.1648903839019496e-07,-1.5987524021668365e-07,0.27137536598966844,FAIL
0.4,pc,log_k0_1,-4.528328190198545e-16,-6.268043809681823e-16,1.088171715654332e-09,PASS-NEAR0
0.4,pc,log_k0_2,1.1648889747296852e-09,1.5987246723410224e-09,0.27136360945507204,FAIL
0.4,pc,alpha_1,-9.870024317294916e-15,-1.3688052427629493e-14,2.3881318031008115e-08,PASS-NEAR0
0.4,pc,alpha_2,1.1648889747285896e-07,1.5987510008355285e-07,0.27137560875971106,FAIL
0.5,cd,log_k0_1,5.180787625621194e-11,5.0383135841549145e-11,5.199111476895313e-09,PASS-NEAR0
0.5,cd,log_k0_2,-2.1553649628707337e-06,-2.750265864440854e-06,0.21630668847757645,FAIL
0.5,cd,alpha_1,7.25923057970046e-10,7.058002152290823e-10,0.028510678102347198,FAIL
0.5,cd,alpha_2,-0.00021475984654803186,-0.00027403536565705417,0.21630609234285322,FAIL
0.5,pc,log_k0_1,5.186245859192538e-12,6.611002367827405e-12,5.19925297102178e-09,PASS-NEAR0
0.5,pc,log_k0_2,2.1553183243083834e-06,2.7502220841614644e-06,0.21631117111564668,FAIL
0.5,pc,alpha_1,7.266878562770882e-11,9.279197656292867e-11,7.343399354365994e-08,PASS-NEAR0
0.5,pc,alpha_2,0.00021475519949722341,0.00027403100341064345,0.21631057499210596,FAIL
0.6,cd,log_k0_1,2.264162915956655e-09,2.2638957481875847e-09,0.00011801239932724377,PASS
0.6,cd,log_k0_2,-4.4018501779981455e-10,-4.4024157571266967e-10,0.00012847017631980364,PASS
0.6,cd,alpha_1,1.4100027395794178e-08,1.4098362176824338e-08,0.00011811435604751789,PASS
0.6,cd,alpha_2,-4.043333467976323e-08,-4.043909164204988e-08,0.00014236131557065067,PASS
0.6,pc,log_k0_1,2.264162915956655e-09,2.263766694129661e-09,0.00017502767755243152,PASS
0.6,pc,log_k0_2,4.4018501779981455e-10,4.4010132775814335e-10,0.00019016084795179557,PASS
0.6,pc,alpha_1,1.4100027395794178e-08,1.4097558495423473e-08,0.00017512964188139235,PASS
0.6,pc,alpha_2,4.043333467976323e-08,4.0426208944812744e-08,0.00017626522833778853,PASS
