noise_model,grid_name,V=-0.20,V=-0.10,V=+0.00,V=+0.10,V=+0.15,V=+0.20,V=+0.25,V=+0.30,V=+0.40,V=+0.50,V=+0.60
global_max,G0_current,0.0000,0.9787,0.0000,0.0000,0.0000,0.0003,0.0000,0.0003,0.0000,0.0207,0.0000
global_max,G1_add_zero,0.0000,0.9787,0.0001,0.0000,0.0000,0.0003,0.0000,0.0003,0.0000,0.0207,0.0000
global_max,G2_densify_R1_onset,0.0000,0.9787,0.0001,0.0000,0.0000,0.0003,0.0000,0.0003,0.0000,0.0207,0.0000
global_max,G3_add_mild_negative,0.9988,0.0003,0.0000,0.0000,0.0001,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000
global_max,G4_add_strong_negative,0.0000,0.9787,0.0001,0.0000,0.0000,0.0003,0.0000,0.0003,0.0000,0.0207,0.0000
global_max,G_best_candidate,0.9988,0.0003,0.0000,0.0000,0.0001,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000
local_rel,G0_current,0.0000,0.9968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025,0.0006
local_rel,G1_add_zero,0.0000,0.9968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025,0.0006
local_rel,G2_densify_R1_onset,0.0000,0.9960,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000,0.0025,0.0006
local_rel,G3_add_mild_negative,0.0113,0.9847,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000,0.0025,0.0006
local_rel,G4_add_strong_negative,0.0000,0.9960,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000,0.0025,0.0006
local_rel,G_best_candidate,0.0113,0.9847,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000,0.0025,0.0006
