cap,V_RHE,converged,z_achieved,cd,pc,r1,r2
50,-0.5,False,0.0,,,,
50,-0.3,False,0.0,,,,
50,-0.2,True,1.0,-0.18017158568953479,-0.001567848897754056,0.49568328738859535,0.48713086179607407
50,-0.1,True,1.0,-0.1780187935413753,2.9058459224003274e-06,0.48552753903226264,0.4855433900693559
50,0.0,True,1.0,-0.1737856607462046,1.5288301752481007e-05,0.4739481536278043,0.4740315494597373
50,0.1,True,1.0,-0.1630716026469924,1.5387636220261153e-05,0.4447259389203258,0.44480987660973403
50,0.15,True,1.0,-0.1450430333282711,1.539375293633855e-05,0.3955540926500619,0.3956380637054144
50,0.2,True,1.0,-0.07860707039593896,1.5413833614734563e-05,0.21435397757561334,0.21443805816863126
50,0.25,True,1.0,-0.002021552834418627,1.543701550061539e-05,0.005471559247786361,0.005555766295180237
50,0.3,True,1.0,-1.920080602170219e-05,1.5437623323683784e-05,1.0263852614231216e-05,9.447421560922696e-05
50,0.4,True,1.0,-1.5436038219745625e-05,1.543602633444873e-05,3.241642657660195e-11,8.420168402882385e-05
50,0.5,True,1.0,-1.1881599547252246e-05,1.1881656541486586e-05,-1.5544831810127823e-10,6.481284000840054e-05
50,0.6,True,1.0,1.8239778981568421e-09,2.704347933756469e-09,-1.2350734114622782e-08,2.4011558875784024e-09
