V_RHE,method,z_factor_ss,ic_fallback,ic_picard_iters,F_norm_total,F_blk_u_O2,F_blk_u_H2O2,F_blk_mu_H,F_blk_phi,rel_u_O2,rel_u_H2O2,rel_mu_H,rel_phi,abs_u_O2,abs_u_H2O2,abs_mu_H,abs_phi,inf_u_O2,inf_u_H2O2,inf_mu_H,inf_phi,ic_norm_u_O2,ic_norm_u_H2O2,ic_norm_mu_H,ic_norm_phi,ss_norm_u_O2,ss_norm_u_H2O2,ss_norm_mu_H,ss_norm_phi
-0.7000,warm<--23.353,1.0000,True,50,9.253955e+28,1.479451e+20,4.138495e+28,8.276989e+28,6.497397e-03,1.000000e+00,3.501396e-01,6.282280e-01,6.571927e-01,2.290397e+01,1.887891e+02,4.796205e+02,3.532696e+02,6.989142e-01,2.438630e+01,2.997911e+01,1.668672e+01,0.000000e+00,3.917373e+02,4.224908e+02,3.578255e+02,2.290397e+01,5.391824e+02,7.634498e+02,5.375434e+02
-0.6000,warm<--19.461,1.0000,True,50,6.744879e+27,5.544464e+18,3.016401e+27,6.032803e+27,6.195011e-03,1.000000e+00,3.501336e-01,6.190335e-01,6.467821e-01,2.275523e+01,1.887854e+02,4.224027e+02,2.954476e+02,6.941492e-01,2.438266e+01,2.736638e+01,1.407216e+01,0.000000e+00,3.917373e+02,3.791730e+02,3.144271e+02,2.275523e+01,5.391811e+02,6.823583e+02,4.567962e+02
-0.5000,warm<--15.569,1.0000,True,50,4.411658e+26,1.814081e+17,1.972953e+26,3.945906e+26,5.893745e-03,1.000000e+00,3.501274e-01,6.047549e-01,6.294926e-01,2.259629e+01,1.887817e+02,3.648878e+02,2.379673e+02,6.890576e-01,2.437887e+01,2.464598e+01,1.135005e+01,0.000000e+00,3.917373e+02,3.395564e+02,2.747186e+02,2.259629e+01,5.391798e+02,6.033647e+02,3.780303e+02
-0.4000,warm<--11.677,1.0000,True,50,2.695364e+25,5.449044e+15,1.205404e+25,2.410807e+25,5.593674e-03,1.000000e+00,3.501210e-01,5.846577e-01,6.015053e-01,2.242272e+01,1.887777e+02,3.081339e+02,1.815946e+02,6.834995e-01,2.437492e+01,2.185832e+01,8.560899e+00,0.000000e+00,3.917373e+02,3.022803e+02,2.373340e+02,2.242272e+01,5.391785e+02,5.270330e+02,3.019003e+02
-0.3000,warm<--7.784,1.0000,True,50,1.687888e+24,1.688166e+14,7.548467e+23,1.509693e+24,5.277399e-03,1.000000e+00,3.501144e-01,5.606852e-01,5.542510e-01,2.222569e+01,1.887737e+02,2.546669e+02,1.272838e+02,6.771993e-01,2.437079e+01,1.909703e+01,5.798533e+00,0.000000e+00,3.917373e+02,2.641978e+02,1.991089e+02,2.222569e+01,5.391772e+02,4.542065e+02,2.296501e+02
-0.2000,warm<--3.892,1.0000,True,50,1.301416e+23,6.788968e+12,5.820108e+22,1.164022e+23,4.860298e-03,1.000000e+00,3.501080e-01,5.450397e-01,4.613584e-01,2.198318e+01,1.887699e+02,2.104635e+02,7.566358e+01,6.694826e-01,2.436669e+01,1.654801e+01,3.250043e+00,0.000000e+00,3.917373e+02,2.191159e+02,1.537935e+02,2.198318e+01,5.391761e+02,3.861435e+02,1.640017e+02
-0.1000,warm<-+0.000,1.0000,True,50,1.722836e+22,5.377445e+11,7.704758e+21,1.540952e+22,3.941850e-03,1.000000e+00,3.501070e-01,5.858452e-01,3.290472e-01,2.162805e+01,1.887697e+02,1.900914e+02,3.657292e+01,6.583549e-01,2.436552e+01,1.455483e+01,1.660058e+00,0.000000e+00,3.917373e+02,1.559348e+02,9.005483e+01,2.162805e+01,5.391771e+02,3.244738e+02,1.111480e+02
0.0000,warm<-+1.946,1.0000,True,50,4.936285e+21,1.121631e+11,2.207574e+21,4.415148e+21,9.745442e-20,1.000000e+00,3.501562e-01,7.821458e-01,1.000000e+00,2.098642e+01,1.888019e+02,2.117137e+02,8.039919e+01,6.399033e-01,2.439403e+01,1.340236e+01,3.304794e+00,0.000000e+00,3.917373e+02,6.845316e+01,0.000000e+00,2.098642e+01,5.391934e+02,2.706832e+02,8.039919e+01
0.0500,warm<-+3.892,1.0000,True,50,2.856444e+21,5.648478e+10,1.277441e+21,2.554881e+21,6.812933e-03,1.000000e+00,3.502531e-01,9.420692e-01,1.580610e+00,2.050289e+01,1.888638e+02,2.331028e+02,1.168695e+02,6.313127e-01,2.445542e+01,1.297682e+01,4.328681e+00,0.000000e+00,3.917373e+02,2.932240e+01,4.768371e+01,2.050289e+01,5.392210e+02,2.474370e+02,7.393945e+01
0.1000,warm<-+7.784,1.0000,True,50,1.414349e+21,2.339505e+10,6.325160e+20,1.265032e+21,2.245244e-02,1.000000e+00,3.504494e-01,1.117309e+00,2.104177e+00,1.994520e+01,1.889873e+02,2.537966e+02,1.500352e+02,6.388387e-01,2.459135e+01,1.247357e+01,5.239136e+00,0.000000e+00,3.917373e+02,3.571785e+01,9.005483e+01,1.994520e+01,5.392712e+02,2.271498e+02,7.130352e+01
