problem,method,noise_std,seed,d_true,d_guess,success,failure_reason,time_s,peak_rss_mib,objective,estimate,error_abs,error_rel,n_logged_d_points,min_logged_d_pair,last_logged_d_pair,min_logged_d_component,log_tail
infer_D,BFGS,0.0,20270400,"[1.0, 3.0]","[0.3, 0.3]",True,,10.761235124999075,344.421875,4.2667773668410333e-16,"[0.9999988867255327, 3.000044089650555]",4.4103703541695965e-05,1.3946815644059417e-05,38,"[0.3, 0.3]","[0.99999889, 3.00004409]",0.3,"j = 4.3847108174090627e-07, m = [0.10409042], [0.76439385], D = [1.10970079], [2.14769215]\nj = 4.381908510760605e-07, m = [0.10496846], [0.7659205], D = [1.11067558], [2.15097344]\nj = 4.376737407882633e-07, m = [0.10626556], [0.76827477], D = [1.11211717], [2.15604338]\nj = 4.3674455420602396e-07, m = [0.10820621], [0.77198464], D = [1.11427749], [2.16405688]\nj = 4.3513584364491434e-07, m = [0.11106667], [0.77782914], D = [1.1174694], [2.17674174]\nj = 4.3245818622519735e-07, m = [0.1150398], [0.78674147], D = [1.12191809], [2.19622829]\nj = 4.2805811950034966e-07, m = [0.11988425], [0.79931307], D = [1.12736635], [2.22401266]\nj = 4.206043321524029e-07, m = [0.12479748], [0.81556263], D = [1.13291899], [2.26044712]\nj = 4.07506955162867e-07, m = [0.12899196], [0.83641044], D = [1.13768098], [2.30806714]\nj = 3.840774966897877e-07, m = [0.1315818], [0.86482751], D = [1.14063121], [2.37459645]\nj = 3.422485764498061e-07, m = [0.13064421], [0.90633833], D = [1.13956226], [2.4752424]\nj = 2.694383053882982e-07, m = [0.12167622], [0.97049463], D = [1.12938837], [2.63924959]\nj = 1.5269947168976286e-07, m = [0.09410845], [1.0744064], D = [1.09867889], [2.92825418]\nj = 4.6171227855592976e-08, m = [0.03743718], [1.20738336], D = [1.03814677], [3.34472126]\nj = 2.7032425684210682e-08, m = [0.01845769], [1.20915531], D = [1.01862909], [3.35065318]\nj = 5.6750772556167526e-09, m = [-0.0003403], [1.15509662], D = [0.99965976], [3.17433011]\nj = 1.436338074658745e-10, m = [-0.00264403], [1.10051594], D = [0.99735946], [3.00571639]\nj = 2.536146655117812e-12, m = [-0.00035941], [1.09870754], D = [0.99964066], [3.00028577]\nj = 4.2667773668410333e-16, m = [-1.11327509e-06], [1.09862699], D = [0.99999889], [3.00004409]\nj = 4.2667773668410333e-16, m = [-1.11327509e-06], [1.09862699], D = [0.99999889], [3.00004409]"
infer_D,BFGS,0.0,20270400,"[1.0, 3.0]","[10.0, 10.0]",True,,10.424454959000286,348.484375,6.345228205450617e-13,"[1.0001701244448324, 3.000585584040029]",0.0006097958631099808,0.00019283438351757874,39,"[0.28466142, 0.43894505]","[1.00017012, 3.00058558]",0.28466142,"j = 1.889681591580065e-06, m = [0.22476127], [0.47772069], D = [1.25202379], [1.61239506]\nj = 1.8889375945082772e-06, m = [0.22113701], [0.47475668], D = [1.24749434], [1.60762299]\nj = 1.887422657619028e-06, m = [0.21603786], [0.47079253], D = [1.24114937], [1.60126273]\nj = 1.884745550539093e-06, m = [0.21076061], [0.46702959], D = [1.23461677], [1.5952486]\nj = 1.8798139088535325e-06, m = [0.20465754], [0.46316702], D = [1.22710476], [1.58909873]\nj = 1.8706132297219412e-06, m = [0.19663835], [0.45881037], D = [1.21730372], [1.58219064]\nj = 1.8534873125282185e-06, m = [0.18513783], [0.45367752], D = [1.20338429], [1.57409031]\nj = 1.8220607227079939e-06, m = [0.16774552], [0.44775381], D = [1.18263562], [1.56479341]\nj = 1.7660576895443977e-06, m = [0.14078524], [0.44181546], D = [1.1511774], [1.55552866]\nj = 1.6713688274744224e-06, m = [0.09939075], [0.43892055], D = [1.10449779], [1.55103205]\nj = 1.523270995053106e-06, m = [0.04079795], [0.4480549], D = [1.04164163], [1.56526463]\nj = 1.2975752039936836e-06, m = [-0.02192074], [0.48796895], D = [0.97831777], [1.62900426]\nj = 9.335159439293681e-07, m = [-0.06003996], [0.57717816], D = [0.9417269], [1.78100561]\nj = 3.845481500466627e-07, m = [-0.05369901], [0.74755133], D = [0.94771732], [2.11182252]\nj = 6.43335884263021e-08, m = [-0.0123133], [0.93094509], D = [0.9877622], [2.53690565]\nj = 8.881586499780599e-09, m = [0.0018463], [1.03174187], D = [1.001848], [2.80594918]\nj = 6.678211690480416e-10, m = [0.00270052], [1.08189743], D = [1.00270417], [2.95027219]\nj = 1.9842149352201358e-11, m = [0.0008973], [1.09711753], D = [1.0008977], [2.99551908]\nj = 6.345228205450617e-13, m = [0.00017011], [1.09880746], D = [1.00017012], [3.00058558]\nj = 6.345228205450617e-13, m = [0.00017011], [1.09880746], D = [1.00017012], [3.00058558]"
infer_D,BFGS,0.0,20270400,"[0.5, 2.0]","[0.3, 0.3]",True,,9.086652750000212,326.21875,1.5834841169766065e-13,"[0.4999913305276424, 1.9997726769458792]",0.00022748830889905453,0.00011034803837458116,29,"[0.3, 0.3]","[0.49999133, 1.99977268]",0.3,"j = 1.8215669706349124e-05, m = [-1.04726143], [0.01083299], D = [0.35089739], [1.01089188]\nj = 1.8141816724649236e-05, m = [-1.04330391], [0.04025535], D = [0.35228883], [1.04107658]\nj = 1.8116244020920634e-05, m = [-1.04229656], [0.0465062], D = [0.35264388], [1.04760458]\nj = 1.8066740966382116e-05, m = [-1.04101994], [0.05327147], D = [0.35309436], [1.05471593]\nj = 1.7911445124642795e-05, m = [-1.03591345], [0.08033255], D = [0.35490205], [1.08364737]\nj = 1.7557527257306078e-05, m = [-1.02676232], [0.12050396], D = [0.35816471], [1.12806521]\nj = 1.6915259293053913e-05, m = [-1.01292672], [0.17173748], D = [0.36315457], [1.18736609]\nj = 1.5728592123288917e-05, m = [-0.99001946], [0.24595437], D = [0.37156946], [1.27884122]\nj = 1.3539343287164474e-05, m = [-0.94929161], [0.36542365], D = [0.38701508], [1.44112441]\nj = 9.655420035735861e-06, m = [-0.87234785], [0.57572332], D = [0.41796907], [1.77841642]\nj = 4.569063361274907e-06, m = [-0.71416723], [0.98555784], D = [0.48959967], [2.67930608]\nj = 3.51222125832333e-06, m = [-0.66449843], [1.08845091], D = [0.51453154], [2.96967022]\nj = 2.3439158774691872e-06, m = [-0.649435], [1.07192887], D = [0.52234082], [2.92100833]\nj = 6.591171601896235e-07, m = [-0.66488187], [0.91179313], D = [0.51433428], [2.48878125]\nj = 4.8704664766424836e-08, m = [-0.69176836], [0.7412424], D = [0.50068989], [2.09854113]\nj = 4.350935831326457e-09, m = [-0.6973632], [0.69249581], D = [0.49789643], [1.99869768]\nj = 8.88833546223493e-10, m = [-0.69560332], [0.68970269], D = [0.49877344], [1.99312286]\nj = 1.1709696846357882e-11, m = [-0.69343325], [0.6921986], D = [0.49985699], [1.99810374]\nj = 1.5834841169766065e-13, m = [-0.69316452], [0.69303351], D = [0.49999133], [1.99977268]\nj = 1.5834841169766065e-13, m = [-0.69316452], [0.69303351], D = [0.49999133], [1.99977268]"
infer_D,BFGS,0.0,20270400,"[0.5, 2.0]","[10.0, 10.0]",True,,10.981151292002323,331.5625,1.0984158301906412e-15,"[0.5000000041231664, 2.000013750539569]",1.3750540187377452e-05,6.669991717865611e-06,40,"[0.09586378, 0.37273731]","[0.5, 2.00001375]",0.09586378,"j = 4.963176767703352e-06, m = [-0.75380468], [0.13938076], D = [0.47057276], [1.14956173]\nj = 4.961067080050236e-06, m = [-0.75475171], [0.13882103], D = [0.47012733], [1.14891845]\nj = 4.954456801933325e-06, m = [-0.75853981], [0.13658207], D = [0.46834981], [1.14634896]\nj = 4.939429499200242e-06, m = [-0.76351553], [0.13413368], D = [0.46602522], [1.14354567]\nj = 4.912204978041797e-06, m = [-0.76886975], [0.13227069], D = [0.46353668], [1.14141724]\nj = 4.861970669559087e-06, m = [-0.77522405], [0.1312661], D = [0.46060057], [1.14027117]\nj = 4.769324351658296e-06, m = [-0.78333272], [0.13199015], D = [0.45688081], [1.14109707]\nj = 4.6011682124180095e-06, m = [-0.79399432], [0.13657111], D = [0.45203561], [1.14633639]\nj = 4.306742039559555e-06, m = [-0.80764843], [0.14976187], D = [0.44590541], [1.16155761]\nj = 3.823144761898718e-06, m = [-0.82271154], [0.18158236], D = [0.43923903], [1.19911329]\nj = 3.079376207882985e-06, m = [-0.83060181], [0.24972937], D = [0.43578695], [1.28367797]\nj = 1.9133011444996396e-06, m = [-0.81205825], [0.3714039], D = [0.44394338], [1.44976851]\nj = 3.519099796815032e-07, m = [-0.74579597], [0.57119199], D = [0.47435658], [1.77037607]\nj = 4.367939687424607e-09, m = [-0.69893407], [0.68226459], D = [0.49711491], [1.97835283]\nj = 4.257365887619291e-11, m = [-0.69334752], [0.69393337], D = [0.49989984], [2.001573]\nj = 6.869998421501433e-12, m = [-0.69311748], [0.6937563], D = [0.50001485], [2.00121862]\nj = 1.5230597145232475e-13, m = [-0.69311903], [0.69326305], D = [0.50001408], [2.00023176]\nj = 3.3562450283914454e-13, m = [-0.69319239], [0.69297895], D = [0.49997739], [1.99966356]\nj = 1.0984158301906412e-15, m = [-0.69314717], [0.69315406], D = [0.5], [2.00001375]\nj = 1.0984158301906412e-15, m = [-0.69314717], [0.69315406], D = [0.5], [2.00001375]"
infer_D,L-BFGS-B,0.0,20270400,"[1.0, 3.0]","[0.3, 0.3]",True,,4.946758207999665,323.796875,4.4432473550167695e-11,"[0.9993465160155752, 2.9868454970232934]",0.013170724728809835,0.004164948857814258,11,"[0.3, 0.3]","[0.99934652, 2.9868455]",0.3,"step 0\nstep 0\nj = 0.00017384076102928164, m = [-1.2039728], [-1.2039728], D = [0.3], [0.3]\nj = 3.3151193262953684e-05, m = [-0.6505173], [-0.37109406], D = [0.52177579], [0.68997904]\nj = 1.2508579972959641e-05, m = [-0.31211162], [-0.10909903], D = [0.73189983], [0.89664162]\nj = 3.6235544536658795e-06, m = [-0.12694388], [0.25172301], D = [0.8807831], [1.28623971]\nj = 1.2740703107545216e-06, m = [-0.02082612], [0.49192671], D = [0.97938925], [1.63546426]\nj = 4.0609299595367473e-07, m = [0.01477464], [0.71087175], D = [1.01488433], [2.03576517]\nj = 9.4055553458964e-08, m = [-0.00277173], [0.89422956], D = [0.99723211], [2.44545099]\nj = 1.370783893563287e-08, m = [0.0089803], [1.02014511], D = [1.00902075], [2.77359722]\nj = 3.3184741577469663e-09, m = [-0.01260858], [1.0889452], D = [0.98747058], [2.97113847]\nj = 4.4432473550167695e-11, m = [-0.0006537], [1.09421781], D = [0.99934652], [2.9868455]\nj = 4.4432473550167695e-11, m = [-0.0006537], [1.09421781], D = [0.99934652], [2.9868455]"
infer_D,L-BFGS-B,0.0,20270400,"[1.0, 3.0]","[10.0, 10.0]",False,"ConvergenceError: Nonlinear solve failed to converge after 25 nonlinear iterations.
Reason:
   DIVERGED_LINE_SEARCH",3.537829541000974,313.515625,,,,,4,"[0.23360679, 0.36898834]","[1.89295046, 2.31792262]",0.23360679,"step 0\nstep 0\nj = 3.0285916974059464e-05, m = [2.30258509], [2.30258509], D = [10.], [10.]\nj = 1.5729268404165275e-05, m = [1.55124488], [1.64267003], D = [4.71733907], [5.16895236]\nj = 0.0001941281817462899, m = [-1.45411595], [-0.99699022], D = [0.23360679], [0.36898834]\nj = 3.8138322186813008e-06, m = [0.6381367], [0.84067136], D = [1.89295046], [2.31792262]"
infer_D,L-BFGS-B,0.0,20270400,"[0.5, 2.0]","[0.3, 0.3]",True,,5.057298457999423,315.15625,2.8005189683172494e-11,"[0.5000373374409398, 1.998196132153754]",0.0018042542202295199,0.0008751918500556164,11,"[0.3, 0.3]","[0.50003734, 1.99819613]",0.3,"step 0\nstep 0\nj = 0.00014270766139973126, m = [-1.2039728], [-1.2039728], D = [0.3], [0.3]\nj = 2.2180581162074845e-05, m = [-1.07634151], [-0.21215112], D = [0.34084021], [0.80884246]\nj = 1.013880891038653e-05, m = [-0.65656814], [0.0342205], D = [0.51862814], [1.03481276]\nj = 6.162736605423928e-06, m = [-0.70034083], [0.13542363], D = [0.49641608], [1.14502175]\nj = 8.054532705418344e-06, m = [-0.87533869], [0.52176223], D = [0.41672086], [1.68499438]\nj = 1.8104643438458998e-06, m = [-0.78718936], [0.32715705], D = [0.45512219], [1.3870193]\nj = 6.252044396184907e-07, m = [-0.75526002], [0.47720978], D = [0.46988842], [1.61157149]\nj = 6.775147034204356e-08, m = [-0.69104727], [0.64323829], D = [0.50105106], [1.90263219]\nj = 3.589795465019122e-09, m = [-0.69595166], [0.69688822], D = [0.49859973], [2.0074961]\nj = 2.8005189683172494e-11, m = [-0.69307251], [0.69224484], D = [0.50003734], [1.99819613]\nj = 2.8005189683172494e-11, m = [-0.69307251], [0.69224484], D = [0.50003734], [1.99819613]"
infer_D,L-BFGS-B,0.0,20270400,"[0.5, 2.0]","[10.0, 10.0]",True,,5.570181208000577,315.96875,4.3366154033470845e-13,"[0.5000161040227622, 1.9999260618796215]",7.567156133071439e-05,3.670609884964004e-05,14,"[4.60739278e-11, 7.68710427e-07]","[0.5000161, 1.99992606]",4.60739278e-11,"step 0\nstep 0\nj = 9.285178036008254e-05, m = [2.30258509], [2.30258509], D = [10.], [10.]\nj = 7.376291261299119e-05, m = [1.48635766], [1.72485438], D = [4.42096352], [5.61170377]\nj = 0.0003167472293115389, m = [-1.77855206], [-0.5860685], D = [0.1688825], [0.55651091]\nj = 4.283737043224003e-05, m = [0.3447796], [0.91683851], D = [1.41167875], [2.50136981]\nj = 5.687850009228098e-06, m = [-0.66315698], [0.2034149], D = [0.51522222], [1.22558085]\nj = 0.004591070672782393, m = [-23.80077388], [-14.0785515], D = [4.60739278e-11], [7.68710427e-07]\nj = 1.1886919547366326e-05, m = [-0.98300878], [0.0059826], D = [0.37418357], [1.00600054]\nj = 4.789914036857073e-06, m = [-0.75216072], [0.14847629], D = [0.471347], [1.16006529]\nj = 2.2523457373440803e-06, m = [-0.77324783], [0.28426534], D = [0.46151172], [1.32878546]\nj = 1.9188347382497853e-07, m = [-0.72009537], [0.56502126], D = [0.48670584], [1.75948518]\nj = 1.3357415634108761e-08, m = [-0.70052364], [0.6587583], D = [0.49632534], [1.93239139]\nj = 6.444400241937952e-11, m = [-0.69370206], [0.69075222], D = [0.49972264], [1.99521581]\nj = 4.3366154033470845e-13, m = [-0.69311497], [0.69311021], D = [0.5000161], [1.99992606]\nj = 4.3366154033470845e-13, m = [-0.69311497], [0.69311021], D = [0.5000161], [1.99992606]"
infer_D,BFGS,0.005,20270401,"[1.0, 3.0]","[0.3, 0.3]",True,,10.748575541998434,333.1875,1.2867491694823258e-05,"[1.0178352458594708, 2.967654726963666]",0.036936603561545225,0.011680379628517026,38,"[0.3, 0.3]","[1.01783525, 2.96765473]",0.3,"j = 1.3269163648911699e-05, m = [0.11836125], [0.76436556], D = [1.12565068], [2.1476314]\nj = 1.3268927193750497e-05, m = [0.11916325], [0.76573789], D = [1.12655381], [2.15058068]\nj = 1.3268489970652202e-05, m = [0.12036136], [0.7678727], D = [1.12790435], [2.15517667]\nj = 1.3267703838084007e-05, m = [0.12217439], [0.77126417], D = [1.12995113], [2.16249829]\nj = 1.3266345601368968e-05, m = [0.12487833], [0.77664697], D = [1.13301059], [2.17416997]\nj = 1.3264098185401182e-05, m = [0.1286736], [0.78489415], D = [1.13731885], [2.19217489]\nj = 1.3260428047481915e-05, m = [0.13331364], [0.7964738], D = [1.14260831], [2.21770705]\nj = 1.3254212504371508e-05, m = [0.13798915], [0.811199], D = [1.14796309], [2.25060485]\nj = 1.3243252943760318e-05, m = [0.14201452], [0.82984579], D = [1.15259339], [2.29296511]\nj = 1.3223562406649435e-05, m = [0.1446948], [0.85514801], D = [1.1556868], [2.35172243]\nj = 1.318824174977424e-05, m = [0.14443595], [0.89211627], D = [1.15538769], [2.44028849]\nj = 1.3126355167339159e-05, m = [0.1374075], [0.94934481], D = [1.14729558], [2.58401609]\nj = 1.3025306409165423e-05, m = [0.11459713], [1.04209618], D = [1.12142155], [2.83515378]\nj = 1.2914714521296787e-05, m = [0.05995227], [1.18010767], D = [1.06178587], [3.25472463]\nj = 1.2893666904240164e-05, m = [0.03666945], [1.19571654], D = [1.03735007], [3.30592575]\nj = 1.287697052778045e-05, m = [0.02099016], [1.16128309], D = [1.021212], [3.19402887]\nj = 1.2867767504581754e-05, m = [0.01432902], [1.09374753], D = [1.01443217], [2.98544117]\nj = 1.286749890943277e-05, m = [0.01705411], [1.08785553], D = [1.01720036], [2.96790266]\nj = 1.2867491694823258e-05, m = [0.01767806], [1.08777199], D = [1.01783525], [2.96765473]\nj = 1.2867491694823258e-05, m = [0.01767806], [1.08777199], D = [1.01783525], [2.96765473]"
infer_D,BFGS,0.005,20270401,"[1.0, 3.0]","[10.0, 10.0]",True,,10.372351666002942,340.03125,1.2867492464390653e-05,"[1.0180227639598671, 2.968099241647868]",0.03663984721848886,0.011586537033100985,39,"[0.28863114, 0.44000188]","[1.01802276, 2.96809924]",0.28863114,"j = 1.4639066085497797e-05, m = [0.23840193], [0.48401815], D = [1.26921923], [1.6225811]\nj = 1.4638364385947024e-05, m = [0.23479218], [0.481056], D = [1.26464592], [1.61778187]\nj = 1.4636967763654584e-05, m = [0.22996355], [0.47729356], D = [1.25855414], [1.61170651]\nj = 1.4634485369123774e-05, m = [0.22496274], [0.47371923], D = [1.25227605], [1.60595603]\nj = 1.462990151138408e-05, m = [0.21911639], [0.47000349], D = [1.24497617], [1.59999978]\nj = 1.462134332541212e-05, m = [0.21136814], [0.46576188], D = [1.23536706], [1.59322757]\nj = 1.4605416686556051e-05, m = [0.20019365], [0.46071006], D = [1.22163931], [1.58519918]\nj = 1.4576219810362297e-05, m = [0.18323596], [0.45480952], D = [1.20109779], [1.57587318]\nj = 1.4524282321225299e-05, m = [0.15690151], [0.44877598], D = [1.16988038], [1.56639372]\nj = 1.4436667783630561e-05, m = [0.11646308], [0.44553507], D = [1.12351603], [1.56132539]\nj = 1.4299738481370218e-05, m = [0.05936143], [0.45377014], D = [1.06115871], [1.57423611]\nj = 1.4090339876828383e-05, m = [-0.0016372], [0.49152778], D = [0.99836414], [1.63481195]\nj = 1.3752178159332754e-05, m = [-0.03963776], [0.576881], D = [0.96113754], [1.78047645]\nj = 1.3240422588617611e-05, m = [-0.03541026], [0.74082903], D = [0.96520935], [2.09767382]\nj = 1.2930068545480303e-05, m = [0.00520522], [0.9217591], D = [1.00521879], [2.51370836]\nj = 1.2876194374233663e-05, m = [0.01967185], [1.02096209], D = [1.01986662], [2.77586411]\nj = 1.2868201795169102e-05, m = [0.02059803], [1.07036492], D = [1.02081163], [2.91644358]\nj = 1.2867516047704139e-05, m = [0.01868269], [1.08600452], D = [1.01885831], [2.96241414]\nj = 1.2867492464390653e-05, m = [0.01786228], [1.08792176], D = [1.01802276], [2.96809924]\nj = 1.2867492464390653e-05, m = [0.01786228], [1.08792176], D = [1.01802276], [2.96809924]"
