evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,effective_k0_0,effective_k0_1
1,0,0.0005239362051994655,0.003214959325415846,0,0,0.0012631578947368421,5.2631578947368424e-05,0.3,0.3,-0.00318979665148043,-0.0004014483606674078,0.0012631578947368421,5.2631578947368424e-05
2,0,0.0005136528643071694,0.0031776234509745464,0,0,0.0012631578947368421,5.2631578947368424e-05,0.30318979665148044,0.3004014483606674,-0.003152994414947617,-0.00039486328709126533,0.0012631578947368421,5.2631578947368424e-05
3,1,4.1937272457529135e-05,0.0003784551172374841,0,0,0.0012631578947368421,5.2631578947368424e-05,0.5771938764153678,0.32044151173655677,-0.0003777775162172059,-2.2636784312188317e-05,0.0012631578947368421,5.2631578947368424e-05
4,2,3.384174062508537e-05,5.2783446915240864e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6146533044070536,0.3204635029152148,-5.2757952176181634e-05,1.640350703289318e-06,0.0012631578947368421,5.2631578947368424e-05
5,3,3.3657426169717835e-05,5.670808720414094e-06,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6207804704863268,0.31983730832530394,-2.5406949600472767e-06,5.06980676786748e-06,0.0012631578947368421,5.2631578947368424e-05
6,4,3.3652919417665634e-05,5.27228400575134e-06,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6211991967438746,0.31917092316436874,5.758702253216126e-07,5.240739653988684e-06,0.0012631578947368421,5.2631578947368424e-05
7,5,3.363467132468083e-05,1.0502151409138176e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6224687042765266,0.3150448369478999,8.91088823928841e-06,5.557990194969265e-06,0.0012631578947368421,5.2631578947368424e-05
8,6,3.3600384908165125e-05,1.991198059961803e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.624243597684553,0.3050418231575127,1.9111275585336514e-05,5.589822618016178e-06,0.0012631578947368421,5.2631578947368424e-05
9,7,3.3533833669049496e-05,2.763707933609554e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6264666963906712,0.28362114049518705,2.7192184822594424e-05,4.93895118456384e-06,0.0012631578947368421,5.2631578947368424e-05
10,8,3.3428010881270364e-05,2.8818355965067834e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6288018498346761,0.24294546982222437,2.8634166739578735e-05,3.2530194680271605e-06,0.0012631578947368421,5.2631578947368424e-05
11,9,3.333248521529421e-05,6.497804728000309e-06,0,0,0.0012631578947368421,5.2631578947368424e-05,0.628064960493297,0.2034918217600133,6.408174173292369e-06,1.0755324485908494e-06,0.0012631578947368421,5.2631578947368424e-05
12,10,3.331538830762046e-05,3.4332281065974037e-07,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6283172547372163,0.17926054806189445,1.1413634137171395e-08,3.431330372830438e-07,0.0012631578947368421,5.2631578947368424e-05
