evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1
1,0,0,-1.0,-0.007374144457341946,-0.002081328480382704,1.4006950482977536e-05,1,10,3.134685296224455e-06,6.5243302357909094e-09,1,,-1.034087597996302e-05,-6.267252858393597e-09
1,0,1,-2.0,-0.027210802909530568,-0.015299321238979693,7.094164746296638e-05,1,11,4.763930890754206e-06,7.288525627827114e-08,1,,-0.0002466949158616483,-1.1928343045020097e-06
1,0,2,-3.0,-0.06202917813359569,-0.04990372605036107,7.35129726520473e-05,1,11,4.1110074285254835e-06,2.0515543189963958e-07,1,,-0.0006043222516268291,-1.3997300718395106e-05
1,0,3,-4.0,-0.10795054015085105,-0.0893921468547852,0.00017220635366778193,1,11,1.5306758585525947e-06,1.368306105781203e-07,1,,-0.0010440955070060653,-7.393978839888068e-05
1,0,4,-5.0,-0.13557069797477783,-0.12100326337096588,0.00010610415999945016,1,10,1.5157929307703154e-06,1.8341616923878146e-07,1,,-0.0006894058449755606,-0.00011003545471990452
1,0,5,-6.0,-0.15323358001001194,-0.14319751323289148,5.0360964794186395e-05,1,10,6.648370461392068e-07,9.520307500676672e-08,1,,-0.0003462861667551365,-9.683170981417877e-05
1,0,6,-7.0,-0.16525636708079527,-0.15774277750498739,2.822625577717088e-05,1,9,1.2169490474428001e-06,1.9196515643749024e-07,1,,-0.00017667693163358073,-7.010069320721984e-05
1,0,7,-8.0,-0.1683450563024825,-0.1668396542616214,1.1329643419941172e-06,1,9,9.38542608547047e-07,1.565862712826771e-07,1,,-2.3530127877799224e-05,-1.1169059477487466e-05
1,0,8,-9.0,-0.17577828688927513,-0.17236733276082372,5.816557918066188e-06,1,8,1.6949304814202126e-06,2.921511414732958e-07,1,,-3.5559972751320774e-05,-1.7977839540435927e-05
1,0,9,-10.0,-0.17750065583766286,-0.17569635428287628,1.6273781028247078e-06,1,8,1.4207178726065557e-06,2.496153053144212e-07,1,,-1.288405701252602e-05,-6.197413233545106e-06
2,0,0,-1.0,-0.007374144457341946,-0.002087589427641063,1.3973832041027881e-05,1,10,3.144216698365995e-06,6.563854175901246e-09,1,,-1.035777043329534e-05,-6.279383770241799e-09
2,0,1,-2.0,-0.027210802909530568,-0.01536566211318523,7.015362991767731e-05,1,11,4.777014398767033e-06,7.340233980530908e-08,1,,-0.0002460084094649759,-1.1889863824969347e-06
2,0,2,-3.0,-0.06202917813359569,-0.05006335564213007,7.159013506358045e-05,1,11,4.113083408942097e-06,2.0591560443566914e-07,1,,-0.0005965551285615374,-1.378241110635801e-05
2,0,3,-4.0,-0.10795054015085105,-0.08957325623079021,0.00016886165636418752,1,11,1.533101786819821e-06,1.3732512971209587e-07,1,,-0.001032793328503975,-7.284597065499879e-05
2,0,4,-5.0,-0.13557069797477783,-0.12115716879027705,0.00010387399923312512,1,10,1.5163911140431919e-06,1.8372193275051352e-07,1,,-0.0006809614865913685,-0.00010822543995002784
2,0,5,-6.0,-0.15323358001001194,-0.14331141283567775,4.922435342813655e-05,1,10,6.584906201142835e-07,9.436928324890737e-08,1,,-0.00034162527772733865,-9.520543620650403e-05
2,0,6,-7.0,-0.16525636708079527,-0.1578214001030056,2.7638625223700166e-05,1,9,1.2009200251450973e-06,1.895311073918382e-07,1,,-0.00017435972346710243,-6.904060856284167e-05
2,0,7,-8.0,-0.1683450563024825,-0.1668923514590161,1.055029767158853e-06,1,9,9.244034581437637e-07,1.5427600943973552e-07,1,,-2.2629719767415292e-05,-1.0735699543001039e-05
2,0,8,-9.0,-0.17577828688927513,-0.17240252381121077,5.697159003827465e-06,1,8,1.6706910158883623e-06,2.8803182886005807e-07,1,,-3.5050005885695134e-05,-1.7732998476073352e-05
2,0,9,-10.0,-0.17750065583766286,-0.17572031383709158,1.584444264748146e-06,1,8,1.4006359706638917e-06,2.4612053706185577e-07,1,,-1.2653564544913295e-05,-6.099456825193446e-06
3,1,0,-1.0,-0.007374144457341946,-0.002696257743299316,1.0941312054708304e-05,1,10,4.051940176072564e-06,1.0925119343051237e-08,1,,-1.162450393940935e-05,-7.120508533823338e-09
3,1,1,-2.0,-0.027210802909530568,-0.021735843150618668,1.4987556950152044e-05,1,11,5.741577329703057e-06,1.2479874081719466e-07,1,,-0.0001395643978645517,-6.217337407727408e-07
3,1,2,-3.0,-0.06202917813359569,-0.06381449936203427,1.593755882750879e-06,1,11,4.13453748930051e-06,2.6384453084837833e-07,1,,8.7739491888093e-05,1.5605131416674557e-06
3,1,3,-4.0,-0.10795054015085105,-0.10428388815296898,6.721952006621755e-06,1,11,1.7563845944344524e-06,1.831629363041598e-07,1,,-0.0001844400076281112,-8.540508024234923e-06
3,1,4,-5.0,-0.13557069797477783,-0.1332845404241224,2.612953984075511e-06,1,10,2.025849290675845e-06,2.7001493868583637e-07,1,,-9.133269691410322e-05,-9.089363335708802e-06
3,1,5,-6.0,-0.15323358001001194,-0.152096650206564,6.462287846366924e-07,1,10,7.303697717916649e-07,1.1108687683614171e-07,1,,-3.232076285019254e-05,-5.772327962977778e-06
3,1,6,-7.0,-0.16525636708079527,-0.1637499160258002,1.1345568464959883e-06,1,9,8.116382394206559e-07,1.329058014198914e-07,1,,-2.8431056907147227e-05,-7.794749850847051e-06
3,1,7,-8.0,-0.1683450563024825,-0.17076624962931844,2.9311455287486913e-06,1,9,1.833047170506997e-07,3.1302264807964164e-08,1,,2.924226875766968e-05,1.0705459935580563e-05
3,1,8,-9.0,-0.17577828688927513,-0.17492608660434897,3.631012604016161e-07,1,8,1.5224204280083271e-07,2.6631108818175875e-08,1,,-6.560855649025585e-06,-2.850490103598984e-06
3,1,9,-10.0,-0.17750065583766286,-0.1774036289307137,4.709158937658371e-09,1,8,1.71798225943987e-07,3.047762872632198e-08,1,,-4.84995110427742e-07,-2.2646386276223813e-07
4,2,0,-1.0,-0.007374144457341946,-0.002791232449252364,1.050154123694587e-05,1,10,4.190185559774799e-06,1.1695830910533889e-08,1,,-1.175646454466481e-05,-7.190621367500538e-09
4,2,1,-2.0,-0.027210802909530568,-0.02270453608597273,1.015318988125373e-05,1,11,5.845777633634724e-06,1.3272644512271614e-07,1,,-0.00011677172496250085,-5.135551804897418e-07
4,2,2,-3.0,-0.06202917813359569,-0.06567976623632181,6.6635462884406105e-06,1,11,4.11938448322575e-06,2.7056132444192027e-07,1,,0.00018069075020511895,3.0192264332610775e-06
4,2,3,-4.0,-0.10795054015085105,-0.10615904434587199,1.604616139674959e-06,1,11,1.7862238443670105e-06,1.8962415501699859e-07,1,,-8.758563182089017e-05,-3.839087900970214e-06
4,2,4,-5.0,-0.13557069797477783,-0.13477958884189498,3.1281097923676457e-07,1,10,2.1430198528389252e-06,2.8883595362683145e-07,1,,-3.0873127695051386e-05,-2.8185219008311054e-06
4,2,5,-6.0,-0.15323358001001194,-0.15315651479058043,2.963362947318393e-09,1,10,8.328411658965945e-07,1.2755515657603134e-07,1,,-1.5603474562891964e-06,-3.56298872845096e-07
4,2,6,-7.0,-0.16525636708079527,-0.1644505332357095,3.2459128211263544e-07,1,9,9.583555101613178e-07,1.5760222571437055e-07,1,,-1.4794849353726792e-05,-3.7188640181248325e-06
4,2,7,-8.0,-0.1683450563024825,-0.17121316822633484,4.113116956351562e-06,1,9,2.159646603265112e-07,3.697600170493587e-08,1,,3.364013562113139e-05,1.1398403093352937e-05
4,2,8,-9.0,-0.17577828688927513,-0.17520998217202424,1.614709080654631e-07,1,8,1.499075697948397e-07,2.626530656857362e-08,1,,-4.172141762723269e-06,-1.7131495862705642e-06
4,2,9,-10.0,-0.17750065583766286,-0.1775889410063229,3.8935900564587065e-09,1,8,2.7983224596164696e-07,4.969511221974976e-08,1,,4.2544959341451833e-07,1.893892575743589e-07
5,3,0,-1.0,-0.007374144457341946,-0.002807056655165442,1.0429145496394732e-05,1,10,4.213331839609841e-06,1.1827111012340658e-08,1,,-1.1776762960829742e-05,-7.1967236749812675e-09
5,3,1,-2.0,-0.027210802909530568,-0.0228650040609414,9.442954202595514e-06,1,11,5.8628093731478505e-06,1.3405394605828236e-07,1,,-0.00011301721071365822,-4.948989294355549e-07
5,3,2,-3.0,-0.06202917813359569,-0.06598365623808154,7.819111755065394e-06,1,11,4.1179516068853114e-06,2.7171862215791265e-07,1,,0.00019560034513825745,3.236328269202117e-06
5,3,3,-4.0,-0.10795054015085105,-0.10646140277719628,1.108670544929043e-06,1,11,1.79270061265054e-06,1.9085376412597554e-07,1,,-7.260244192175461e-05,-3.137749007578964e-06
5,3,4,-5.0,-0.13557069797477783,-0.1350186095603717,1.5231855411805254e-07,1,10,2.1665220960271966e-06,2.925214347415661e-07,1,,-2.146368314464294e-05,-1.926692022588523e-06
5,3,5,-6.0,-0.15323358001001194,-0.1533244637240062,4.137442605985478e-09,1,10,8.543542403321047e-07,1.3099351764411793e-07,1,,2.4054257224690083e-06,4.0613032704868366e-07
5,3,6,-7.0,-0.16525636708079527,-0.16456046891950593,2.420535641425775e-07,1,9,9.924341384462339e-07,1.6331558927440426e-07,1,,-1.2724370839505744e-05,-3.143364625953254e-06
5,3,7,-8.0,-0.1683450563024825,-0.17128259473609164,4.314657648586434e-06,1,9,2.2817813914089535e-07,3.908295265198092e-08,1,,3.431215092207707e-05,1.1444280638333277e-05
5,3,8,-9.0,-0.17577828688927513,-0.1752537122833162,1.375752219033371e-07,1,8,1.6116289894087152e-07,2.8244400873678188e-08,1,,-3.83370223733353e-06,-1.553486449616897e-06
5,3,9,-10.0,-0.17750065583766286,-0.17761733215736342,6.8017393767670385e-09,1,8,2.913534869976358e-07,5.174942907526514e-08,1,,5.595550748739773e-07,2.464552921315768e-07
6,4,0,-1.0,-0.007374144457341946,-0.002808140097239242,1.042419790823848e-05,1,10,4.215142241784966e-06,1.183675983834967e-08,1,,-1.1778134330455154e-05,-7.192652885102958e-09
