evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3,dJ_dk0_4,dJ_dk0_5,dJ_dk0_6,dJ_dk0_7
1,0,0,-1.0,-0.0020827811436939327,-0.008196009254574704,1.868577896783145e-05,1,9,0.0,0.0,1,,0.007852614584289729,0.00041793938764350213,3.926307292144863e-05,2.0896969382175107e-07,4.674076667932758e-07,1.0669346373566995e-05,5.8135389616148716e-05,-2.234207600106687e-05
1,0,1,-2.0,-0.02768356645375934,-0.04096168887303676,8.815426749065995e-05,1,9,0.0,0.0,1,,0.03876175226886797,0.010471318475040172,0.00038761752268867965,1.0471318475040183e-05,-0.00012100158041924479,0.0003469722318015042,0.0008024491629448284,-0.00017229519492432347
1,0,2,-3.0,-0.06832607410743707,-0.08452432402748729,0.00013119165023619598,1,9,0.0,0.0,1,,0.03839047199272409,0.023824543376935597,0.0005758570798908619,3.573681506540333e-05,-0.0006477762992855668,0.0010551801556692019,0.0012676864918462628,-0.0002791480012761789
1,0,3,-4.0,-0.107826697007916,-0.11832950649329378,5.5154503543071335e-05,1,8,0.0,0.0,1,,0.016127925211096347,0.014324644819749998,0.0003225585042219272,2.8649289639499935e-05,-0.0007021284902632205,0.0008807429280320652,0.000584134736990097,-0.00020221432071120966
1,0,4,-5.0,-0.13557975487184398,-0.1407111870350116,1.3165798022596504e-05,1,8,0.0,0.0,1,,0.005052489434377914,0.0040978772816583665,0.00012631223585944808,1.0244693204145845e-05,-0.00042441918457248446,0.00045106520324892876,0.00013755661581429994,-0.00010679673094263691
1,0,5,-6.0,-0.1541978920627831,-0.15472523073907754,1.390430397581833e-07,1,8,0.0,0.0,1,,0.0003495584084366996,2.7006607944394545e-05,1.0486752253100954e-05,8.101982383320865e-08,-4.833642455077217e-05,4.627799695845605e-05,2.5966235761250642e-06,-1.1648592852893169e-05
1,0,6,-7.0,-0.16327390457530078,-0.16327278253454464,6.294877296253127e-13,1,8,0.0,0.0,1,,-4.457009583890787e-08,4.370578265563833e-06,-1.5599533543618615e-09,1.529702392947343e-08,1.761311396185316e-07,-1.4912427802658157e-07,5.4337577923410796e-08,4.0946005642882595e-08
1,0,7,-8.0,-0.17124174973306297,-0.16842885602187255,3.9561855152271586e-06,1,8,0.0,0.0,1,,-0.000999460782172009,0.0026970001962298438,-3.9978431286880255e-05,1.0788000784919482e-05,0.00027735650808273954,-0.00024350159568647055,4.473181357338214e-05,6.564930739271733e-05
1,0,8,-9.0,-0.1745010496345606,-0.17155414162917546,4.342133396104524e-06,1,8,0.0,0.0,1,,-0.0008456837018977155,0.0036882670901292143,-3.805576658539771e-05,1.659720190558145e-05,0.0002954369298625566,-0.00025673934155527166,5.848090837519615e-05,6.969404252082989e-05
1,0,9,-10.0,-0.18063497036134904,-0.17349935966162935,2.545847002897089e-05,1,8,0.0,0.0,1,,-0.0016823216138468723,0.009420630120814089,-8.41160806923436e-05,4.710315060407038e-05,0.0007177463019556724,-0.0006237013209930919,0.00015448935931515172,0.0001687267975951842
