phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
-1,-0.002906594016071406,-0.002082781143693933,1,10,5,2.639612679464282e-06,7.672302670784503e-09,0.01584340759549446;1.171025784414436e-05,
-2,-0.02464936045074016,-0.02768356645375934,1,11,5.5,1.371430018137701e-06,3.380491921112228e-08,0.1336681865531463;0.0007910852938881473,
-3,-0.06967459130280315,-0.06832607410743707,1,11,5.5,6.484075431088945e-07,4.517753056376694e-08,0.372689869326276;0.00737657627326169,
-4,-0.1097953451469857,-0.107826697007916,1,10,5,1.413554098554416e-07,1.552016601347184e-08,0.5762449203578391;0.02267537171871358,
-5,-0.1372854992567578,-0.135579754871844,1,9,4.5,1.200828606794894e-06,1.648565527700985e-07,0.7061287313629514;0.04274701744642414,
-6,-0.1545799337479839,-0.1541978920627831,1,9,4.5,1.160320089824637e-06,1.793624107293557e-07,0.7815360072220169;0.06167878431196091,
-7,-0.1649898857162353,-0.1632739045753008,1,8,4,1.720185619596779e-06,2.838137170002586e-07,0.8246198326215208;0.07537998440676559,
-8,-0.1710821118862336,-0.171241749733063,1,8,4,8.71192023139855e-07,1.490455010244585e-07,0.8501755204376393;0.08305665149829032,
-9,-0.1746141859063691,-0.1745010496345606,1,7,3.5,6.371256620778554e-07,1.112512496848073e-07,0.8665155386263482;0.08598366872846551,
-10,-0.1767010057344164,-0.180634970361349,1,7,3.5,9.081478892316864e-08,1.604706453828264e-08,0.8780106517043491;0.08587190472826078,
