evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,steric_a_0,steric_a_1,steric_a_2,steric_a_3,grad_0,grad_1,grad_2,grad_3,grad_4,grad_5,grad_6,grad_7,effective_k0_0,effective_k0_1
1,0,0.0003998105828512563,0.004274232212237472,0,0,0.004999999999999999,0.0004999999999999999,0.4,0.3,0.1,0.1,0.1,0.1,0.10150559139900898,0.08841617430700961,0.0010377062887178782,0.00043590984030539764,0.0015167566391960027,-0.00048361655415426796,0.0036182206795869498,-1.42644531025067e-05,0.004999999999999999,0.0004999999999999999
2,0,0.0003819997184891911,0.004068034960274762,0,0,0.004986563778032614,0.0004998828203463435,0.39896229371128217,0.2995640901596946,0.098483243360804,0.10048361655415428,0.09638177932041306,0.1000142644531025,0.10178675247981898,0.08724701181016975,0.0010629020438910055,0.00042103832287902174,0.0012307442419891167,-0.00026649389505814064,0.0035036372275340424,-6.835539560399437e-05,0.004986563778032614,0.0004998828203463435
3,1,7.928960109553304e-05,0.0012986485606582268,0,0,0.004499803508710713,0.0004956272329538752,0.3562057927094767,0.28479169810984317,0.07642479648705788,0.09174421517397949,0.001,0.10733362088220615,0.05182259988385224,0.03903697150436725,0.0005662413572607327,0.0001134636114160162,-0.00013699533782623172,0.00020885477253524738,0.0009930027598327284,-0.00011937120423315901,0.004499803508710713,0.0004956272329538752
4,2,5.94994613893742e-05,0.0009388963895604994,0,0,0.004283114449197247,0.0004935522868125325,0.3344776769522944,0.279688263595187,0.07222318483116534,0.09041873678622876,0.001,0.11034341228453977,0.03449608355818161,0.028999590841619082,0.0002754736648320028,0.0001083457584195331,0.00032958985318991133,-0.0002439797835421955,0.0007130585064672869,2.1584603528550448e-05,0.004283114449197247,0.0004935522868125325
5,3,4.040493652643997e-05,0.0005550406214035166,0,0,0.0038360088675989364,0.0004888054995548683,0.28832476814260477,0.2672425542735183,0.05662931248676878,0.09372075485154667,0.001,0.11535402652975543,-0.0012301568407193483,-0.0008602967055284221,-8.305225328041196e-05,-4.252533966924446e-05,0.0004009797472188982,-0.000354496869291801,-5.9389655631555153e-05,9.625534249018067e-05,0.0038360088675989364,0.0004888054995548683
6,4,3.810307554922907e-05,0.0002049537597487069,0,0,0.0037567828507189946,0.00048803984430886464,0.2805902918371902,0.2673804795452014,0.05049333431995441,0.0974025154129123,0.004955857331082964,0.11532440381452479,0.0006548690601776077,-0.007131099890251078,6.773311542077105e-05,-0.00014498357764925786,3.924482011164024e-05,-4.6540488153149655e-05,-0.00011215068576991505,4.215889057129307e-06,0.0037567828507189946,0.00048803984430886464
7,5,3.44791321428609e-05,0.0001645429123689464,0,0,0.0035209530244060465,0.0004856264732657749,0.25381475530071945,0.2665453810651842,0.0375497220900997,0.10426202702862594,0.02030747304139377,0.1168114181453551,-0.0026266411245729386,-0.00556518983110841,7.493463386278097e-06,-7.13326410070459e-05,1.1612953497746941e-05,-4.362850391916663e-05,-0.00013921750728567806,4.224995439278246e-06,0.0035209530244060465,0.0004856264732657749
8,6,3.5461553524068044e-05,0.0003090373040556772,0,0,0.003258321842186302,0.00048274220562159227,0.2223325925219095,0.2611033827069325,0.025589985439312096,0.11718347671956988,0.044624375724868215,0.11981222473071503,0.002803422976091631,0.008692474255218033,-0.00013797965836035607,0.0002108939747241256,4.16679707797554e-05,6.990289887054546e-05,0.00015634734398769788,1.9660494430555974e-05,0.003258321842186302,0.00048274220562159227
9,6,3.369782995349838e-05,6.297186907303586e-05,0,0,0.0034106583759135863,0.00048444022954169743,0.24088944439908305,0.2643111152302479,0.03263953483266093,0.10956705501316194,0.030291016089468468,0.11804342873954342,-0.0007906403751362307,6.596394075526497e-05,-3.2506636607034086e-05,2.322125783826631e-05,1.0129327258665558e-05,-1.0523150322333337e-05,-4.561837193671864e-05,6.050879566471582e-06,0.0034106583759135863,0.00048444022954169743
10,7,3.362236366630533e-05,6.525959606639598e-05,0,0,0.0033935323460927585,0.0004842292503592727,0.2401061527691573,0.2625131316794979,0.03222831478738547,0.11019512840195173,0.032969315151589317,0.11819541005557183,0.0016426885604965045,-0.0002538518471488435,1.513301280163534e-05,6.979813758999586e-06,-4.436667850024362e-05,4.134534555493961e-05,-8.969017035836529e-07,-1.173059916576927e-05,0.0033935323460927585,0.0004842292503592727
11,8,3.357912393411553e-05,5.963710660354872e-05,0,0,0.003378197149155369,0.000484038899022797,0.23899131367340157,0.26098072654085097,0.032105033629947925,0.11029312504130194,0.0345458918399537,0.11843730397475644,0.001768201576966055,0.0008013826852663469,8.349839194249977e-06,1.757148717882945e-05,-3.66065340970038e-05,3.7841013324170223e-05,1.1031532744667855e-05,-9.718996803363197e-06,0.003378197149155369,0.000484038899022797
12,9,3.3850240041433903e-05,0.00015992676764833188,0,0,0.0032114592520861153,0.0004817702442317776,0.22966324796766557,0.23869030048600567,0.03306757075853946,0.10883290955907692,0.052737857023806706,0.12141872704352648,0.004502527552879366,0.006272371790248088,5.4674116993649495e-05,6.528102132493139e-06,1.9853693377937492e-05,1.7950431631146057e-05,0.00014377530135435373,1.519771747731852e-07,0.0032114592520861153,0.0004817702442317776
13,9,3.345840993489569e-05,6.598909029089249e-05,0,0,0.0033181044642074087,0.00048323322293428135,0.23568361760109818,0.25307662755211385,0.03244634557822576,0.10977533827096408,0.04099669243295434,0.11949450508005968,0.0024746109218762033,0.0022845948538162,2.7919824527867588e-05,6.319893822063935e-06,-1.4607222611527252e-05,2.5133621158096074e-05,4.795211680778448e-05,-5.167862197513363e-06,0.0033181044642074087,0.00048323322293428135
14,10,3.3383607738613613e-05,3.242107488457429e-05,0,0,0.003277649500069152,0.0004825248537578988,0.23186024425070026,0.24947469686861387,0.031157352896858347,0.10956837651580903,0.043514327615542,0.11976303990916536,0.0008131879493750351,0.0027203523137988286,3.505481562214802e-06,1.6208174746964082e-05,5.270943190298496e-06,5.60733776035815e-06,2.5725683632107895e-05,2.8803821406348093e-06,0.003277649500069152,0.0004825248537578988
