phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
-1,-0.002906594016071406,-0.001950612355250416,1,10,5,2.639612679464282e-06,7.672302670784503e-09,0.01584340759549446;1.171025784414436e-05,
-2,-0.02464936045074016,-0.02817036065758107,1,11,5.5,1.371430018137701e-06,3.380491921112228e-08,0.1336681865531463;0.0007910852938881473,
-3,-0.06967459130280315,-0.06810972414510592,1,11,5.5,6.484075431088945e-07,4.517753056376694e-08,0.372689869326276;0.00737657627326169,
-4,-0.1097953451469857,-0.1075108560589132,1,10,5,1.413554098554416e-07,1.552016601347184e-08,0.5762449203578391;0.02267537171871358,
-5,-0.1372854992567578,-0.1353060930048016,1,9,4.5,1.200828606794894e-06,1.648565527700985e-07,0.7061287313629514;0.04274701744642414,
-6.5,-0.1604646916361926,-0.1600213569215176,1,9,4.5,1.559954723475685e-06,2.503180441537634e-07,0.8060115803053309;0.06930385182035374,
-8,-0.1710822270021133,-0.1690909416555833,1,8,4,1.565665636345683e-06,2.678579831827399e-07,0.8501765248741966;0.08305627500489589,
-10,-0.1767011114962546,-0.1768863609127894,1,7,3.5,5.30537009541244e-07,9.374652901184e-08,0.8780129231763815;0.08587021017422883,
-13,-0.1795663931493694,-0.1794351058089441,1,7,3.5,1.796377655470077e-06,3.225690563268824e-07,0.9010613998583552;0.07845149741592403,
-17,-0.1814167490162987,-0.1859818610262782,1,7,3.5,2.77215117193482e-06,5.029146533941375e-07,0.9231635425580933;0.06644282156383111,
-22,-0.183063789714596,-0.1843362347735441,1,7,3.5,2.692994604823284e-06,4.929897980399112e-07,0.9445076517854781;0.05408311959675013,
-28,-0.1846062904112626,-0.1898856796273728,1,7,3.5,2.001577745867546e-06,3.695038426343444e-07,0.9632969970755456;0.04370792853643724,
-35,-0.1861059605626827,-0.1834472154754039,1,7,3.5,9.375791165446679e-07,1.744890620880568e-07,0.9778326322729891;0.03735281213880783,
-41,-0.1872579657987515,-0.1897294222235476,1,7,3.5,1.202638315181673e-07,2.252036315764094e-08,0.9851601289925362;0.03630936426975054,
-46.5,-0.188242316984929,-0.1865473215473971,1,7,3.5,5.674867524041959e-07,1.068250817526373e-07,0.9887173526165284;0.0381216569867479,
