phi_applied,target_current_density,simulated_current_density
5,nan,nan
3,-0.001924865501031971,nan
2,0.001657204100358968,nan
1,0.002027409305026756,nan
0.5,0.001696358949870251,nan
-0.25,9.787808224577296e-05,nan
-0.5,0.0008284357544344418,nan
-1,-0.003045157955622849,nan
-1.5,-0.009629032660950181,nan
-2,-0.02806388000465943,nan
-3,-0.07062632658911619,nan
-4,-0.1137441056665683,nan
-5,-0.1352968700418202,nan
-6.5,-0.1623132368289256,nan
-8,-0.1698144418871021,nan
-10,-0.1747685287527713,nan
-13,-0.1778375557911381,nan
-17,-0.1802742848683734,nan
-22,-0.1826748221490028,nan
-28,-0.1843571190889252,nan
