phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
5,nan,nan,0,1,0.5,,,-0.008099919324836108;4.320263085468357e-18,"ConvergenceError: Nonlinear solve failed to converge after 11 nonlinear iterations.
Reason:
   DIVERGED_DTOL"
3,0.0007086941849349702,-0.001924865501031971,1,5,2.5,2.519061604309917e-07,1.785244760181548e-10,-0.003865840830191695;6.721889955870172e-20,
2,0.000486749451592379,0.001657204100358968,1,5,2.5,1.667828125345129e-07,8.118144253620868e-11,-0.002655159226700723;4.121738230044869e-19,
1,0.0003187077963787322,0.002027409305026756,1,5,2.5,1.636281703312135e-06,5.214957359174488e-10,-0.001738512377174905;4.461610446180743e-18,
0.5,0.000215846538318892,0.001696358949870251,1,5,2.5,4.431755922980188e-06,9.565791746495196e-10,-0.001177416689210293;1.52412549985991e-17,
-0.25,-0.0002337175903956345,9.787808224577296e-05,1,8,4,6.217394836420808e-06,1.453123574349539e-09,0.001274753512446091;1.475984870667659e-07,
-0.5,-0.0006609617189565885,0.0008284357544344418,1,8,4,3.829231500302486e-06,2.53098512645062e-09,0.003604685890765544;7.801263861710709e-07,
-1,-0.002906599203400343,-0.003045157955622849,1,9,4.5,5.636401319395465e-06,1.638285192532771e-08,0.01584344011518134;1.170603440751239e-05,
-1.5,-0.00972723005564226,-0.009629032660950181,1,10,5,4.096020917786743e-06,3.984310097820964e-08,0.05293847734688309;0.0001223829129202488,
-2,-0.02464936871663197,-0.02806388000465943,1,11,5.5,9.537606823464729e-07,2.350962114913702e-08,0.1336681766265183;0.0007911403099534683,
-3,-0.06967459133975638,-0.07062632658911619,1,11,5.5,6.478942093960114e-07,4.514176427106165e-08,0.3726898694537726;0.007376576347340507,
-4,-0.1097953451470252,-0.1137441056665683,1,10,5,1.413550489923311e-07,1.552012639238765e-08,0.5762449203579486;0.02267537171881955,
-5,-0.1372854992567564,-0.1352968700418202,1,9,4.5,1.200828630044874e-06,1.648565559619897e-07,0.7061287313629445;0.0427470174464234,
-6.5,-0.1604646916361928,-0.1623132368289256,1,9,4.5,1.559954721400051e-06,2.503180438206964e-07,0.8060115803053316;0.06930385182035384,
-8,-0.1710822270021126,-0.1698144418871021,1,8,4,1.565665638130272e-06,2.678579834880512e-07,0.8501765248741942;0.08305627500489428,
-10,-0.1767011114962549,-0.1747685287527713,1,7,3.5,5.305370081275568e-07,9.374652876203982e-08,0.8780129231763827;0.08587021017422961,
-13,-0.1795663931493693,-0.1778375557911381,1,7,3.5,1.796377655470078e-06,3.225690563268824e-07,0.901061399858355;0.07845149741592383,
-17,-0.1814167490162988,-0.1802742848683734,1,7,3.5,2.772151171016858e-06,5.029146532276041e-07,0.9231635425580935;0.06644282156383111,
-22,-0.183063789714596,-0.1826748221490028,1,7,3.5,2.692994604671667e-06,4.929897980121556e-07,0.9445076517854798;0.05408311959674855,
-28,-0.1846062904112625,-0.1843571190889252,1,7,3.5,2.001577744815096e-06,3.695038424400554e-07,0.9632969970755461;0.04370792853643623,
