applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,total_current_density_mA_cm2,four_electron_current_density_mA_cm2,ss_steps,ss_converged
-4.999999999999998890e-01,1.969060744510725991e+00,-2.316757658900121974e+00,-4.285818403410847743e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.880499999999997618e-01,1.967630896552141628e+00,-2.315253226167318878e+00,-4.282884122719460507e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.760999999999998566e-01,1.965754835934960365e+00,-2.313321804721899966e+00,-4.279076640656860775e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.641499999999997295e-01,1.963339106603432471e+00,-2.310865169064675317e+00,-4.274204275668108011e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.521999999999998243e-01,1.960262880606579827e+00,-2.307758952027290533e+00,-4.268021832633870360e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.402499999999999192e-01,1.956373244088775554e+00,-2.303847625340861072e+00,-4.260220869429636181e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.282999999999997920e-01,1.951479583367161430e+00,-2.298938658758650444e+00,-4.250418242125811652e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.163499999999998868e-01,1.945347256072520237e+00,-2.292796023006369754e+00,-4.238143279078889769e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.043999999999997597e-01,1.937690917329931040e+00,-2.285133391795141300e+00,-4.222824309125072340e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.924499999999998545e-01,1.928168164628582648e+00,-2.275607695379701756e+00,-4.203775860008284404e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.804999999999999494e-01,1.916374594281904153e+00,-2.263814110169721339e+00,-4.180188704451625270e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.685499999999998222e-01,1.901841944721677669e+00,-2.249284153050768342e+00,-4.151126097772445789e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.565999999999999170e-01,1.884041714168842363e+00,-2.231489262789299488e+00,-4.115530976958141629e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.446500000000000119e-01,1.862397383919671912e+00,-2.209852995547050281e+00,-4.072250379466722414e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.326999999999998847e-01,1.836308920174655857e+00,-2.183775504007906321e+00,-4.020084424182561733e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.207499999999999796e-01,1.805193147965133083e+00,-2.152673891084509794e+00,-3.957867039049642877e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.087999999999998524e-01,1.768542282614625760e+00,-2.116040722232082505e+00,-3.884583004846708043e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.968499999999999472e-01,1.725999704001827117e+00,-2.073519782045659454e+00,-3.799519486047486794e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.848999999999999311e-01,1.677446611836662216e+00,-2.024992716389554470e+00,-3.702439328226216908e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.729499999999999149e-01,1.623086063117045619e+00,-1.970663067494893061e+00,-3.593749130611938902e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.609999999999997877e-01,1.563504123599580797e+00,-1.911117443050270204e+00,-3.474621566649851001e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.490499999999997716e-01,1.499684883774776489e+00,-1.847340579595346810e+00,-3.347025463370123077e+00,2.000000000000000000e+00,1.000000000000000000e+00
