applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,ss_steps,ss_converged
-4.999999999999998890e-01,-1.000007787016189642e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.880499999999997618e-01,-9.999923332244976537e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.760999999999998566e-01,-9.999807348196674273e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.641499999999997295e-01,-9.999719984373138804e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.521999999999998243e-01,-9.999653760055391416e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.402499999999999192e-01,-9.999603026278235385e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.282999999999997920e-01,-9.999564259291203738e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.163499999999998868e-01,-9.999532140735518659e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.043999999999997597e-01,-9.999505071294563230e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.924499999999998545e-01,-9.999480732514346437e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.804999999999999494e-01,-9.999457039765122790e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.685499999999998222e-01,-9.999431963554051839e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.565999999999999170e-01,-9.999403355190922271e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.446500000000000119e-01,-9.999368760909954634e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.326999999999998847e-01,-9.999325204520592703e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.207499999999999796e-01,-9.999268892948834919e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.087999999999998524e-01,-9.999194325953465468e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.968499999999999472e-01,-9.999096527986435223e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.848999999999999311e-01,-9.998966475184192237e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.729499999999999149e-01,-9.998793033057400415e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.609999999999997877e-01,-9.998561354286606973e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.490499999999997716e-01,-9.998251609752190072e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.370999999999997554e-01,-9.997837294998047630e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.251499999999998503e-01,-9.997282968753761212e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.131999999999998341e-01,-9.996541232818884071e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.012499999999998179e-01,-9.995548700002013787e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.892999999999998018e-01,-9.994220614365597610e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.773499999999997856e-01,-9.992443680157145902e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.653999999999998805e-01,-9.990066515876895314e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.534499999999998643e-01,-9.986886970586614787e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.414999999999998481e-01,-9.982635313644798725e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.295499999999998320e-01,-9.976952031679977573e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.175999999999999268e-01,-9.969358639415843992e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.056499999999999106e-01,-9.959219550131158671e-01,2.000000000000000000e+00,1.000000000000000000e+00
-9.369999999999989448e-02,-9.945692702393961193e-01,2.000000000000000000e+00,1.000000000000000000e+00
-8.174999999999987832e-02,-9.927666401919101880e-01,2.000000000000000000e+00,1.000000000000000000e+00
-6.979999999999986215e-02,-9.903679906482699691e-01,2.000000000000000000e+00,1.000000000000000000e+00
-5.784999999999995701e-02,-9.871826013123305987e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.589999999999994085e-02,-9.829635902945863535e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.394999999999992468e-02,-9.773950686178455305e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.199999999999990852e-02,-9.700791452732487885e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.004999999999989235e-02,-9.605245230485252028e-01,2.000000000000000000e+00,1.000000000000000000e+00
1.900000000000012790e-03,-9.483030416018977116e-01,2.000000000000000000e+00,1.000000000000000000e+00
1.385000000000002895e-02,-9.328275398119389994e-01,2.000000000000000000e+00,1.000000000000000000e+00
2.580000000000004512e-02,-9.132563734115040077e-01,2.000000000000000000e+00,1.000000000000000000e+00
3.775000000000006128e-02,-8.888743158787419940e-01,3.000000000000000000e+00,1.000000000000000000e+00
4.970000000000007745e-02,-8.591684360197148207e-01,3.000000000000000000e+00,1.000000000000000000e+00
6.165000000000009361e-02,-8.246114254123971810e-01,3.000000000000000000e+00,1.000000000000000000e+00
7.360000000000010978e-02,-7.853820205724170167e-01,3.000000000000000000e+00,1.000000000000000000e+00
8.555000000000012594e-02,-7.417544495569829976e-01,3.000000000000000000e+00,1.000000000000000000e+00
9.750000000000003109e-02,-6.972771984369408038e-01,3.000000000000000000e+00,1.000000000000000000e+00
1.094500000000000473e-01,-6.518286321293855767e-01,3.000000000000000000e+00,1.000000000000000000e+00
1.214000000000000634e-01,-6.102072311791950643e-01,3.000000000000000000e+00,1.000000000000000000e+00
1.333500000000000796e-01,-5.722564865383623633e-01,3.000000000000000000e+00,1.000000000000000000e+00
1.453000000000000957e-01,-5.407440392320630451e-01,2.000000000000000000e+00,1.000000000000000000e+00
1.572500000000000009e-01,-5.204004511645884401e-01,2.000000000000000000e+00,1.000000000000000000e+00
1.692000000000000171e-01,-5.130899518423618355e-01,2.000000000000000000e+00,1.000000000000000000e+00
1.811500000000000332e-01,-5.046336851704220638e-01,3.000000000000000000e+00,1.000000000000000000e+00
1.931000000000000494e-01,-4.959123604321888923e-01,3.000000000000000000e+00,1.000000000000000000e+00
2.050500000000000100e-01,-4.873048624441485566e-01,3.000000000000000000e+00,1.000000000000000000e+00
2.170000000000000817e-01,-4.789149416733947673e-01,3.000000000000000000e+00,1.000000000000000000e+00
2.289500000000000979e-01,-4.689146641506659052e-01,4.000000000000000000e+00,1.000000000000000000e+00
2.409000000000000585e-01,-4.571929398906921516e-01,4.000000000000000000e+00,1.000000000000000000e+00
2.528500000000000747e-01,-4.436342282496769096e-01,4.000000000000000000e+00,1.000000000000000000e+00
2.648000000000000353e-01,-4.281703270117995230e-01,4.000000000000000000e+00,1.000000000000000000e+00
2.767500000000000515e-01,-4.107649643733409794e-01,5.000000000000000000e+00,1.000000000000000000e+00
2.887000000000000122e-01,-3.914627112046304425e-01,5.000000000000000000e+00,1.000000000000000000e+00
3.006500000000000283e-01,-3.703304639953278188e-01,5.000000000000000000e+00,1.000000000000000000e+00
3.126000000000000445e-01,-3.474966729484296746e-01,5.000000000000000000e+00,1.000000000000000000e+00
3.245500000000000052e-01,-3.231311748972967579e-01,6.000000000000000000e+00,1.000000000000000000e+00
3.365000000000000213e-01,-2.974830052493492860e-01,6.000000000000000000e+00,1.000000000000000000e+00
3.484499999999999820e-01,-2.708282320728612191e-01,6.000000000000000000e+00,1.000000000000000000e+00
3.603999999999999981e-01,-2.435102295669106520e-01,6.000000000000000000e+00,1.000000000000000000e+00
3.723500000000000143e-01,-2.159338595046602360e-01,7.000000000000000000e+00,1.000000000000000000e+00
3.843000000000000305e-01,-1.886024782527972732e-01,7.000000000000000000e+00,1.000000000000000000e+00
3.962499999999999911e-01,-1.620658794169798911e-01,7.000000000000000000e+00,1.000000000000000000e+00
4.082000000000000073e-01,-1.369112775909999968e-01,7.000000000000000000e+00,1.000000000000000000e+00
4.201500000000000234e-01,-1.136888319422863919e-01,8.000000000000000000e+00,1.000000000000000000e+00
4.320999999999999841e-01,-9.284922254545757703e-02,8.000000000000000000e+00,1.000000000000000000e+00
