eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-4.651149969347441182e-01,6.830499999999999350e-01,-5.789585832935577369e-04,-5.791858394892297236e-04,1.400000000000000000e+01,1.000000000000000000e+00,3.158768684734812419e-03,6.198274931686155372e-07,9.968504261452711956e-01,3.164988758111916822e-01
-9.302299938694882364e-01,6.710999999999999188e-01,-2.344467433175874329e-03,-2.347321812754023240e-03,1.700000000000000000e+01,1.000000000000000000e+00,1.279657066413943632e-02,7.785147213453588117e-06,9.872119365622518128e-01,4.951211380716756261e-01
-1.395344990804232355e+00,6.591499999999999027e-01,-7.315310084906496979e-03,-7.341025321774959263e-03,1.900000000000000000e+01,1.000000000000000000e+00,3.997426608017984329e-02,7.013674921946043233e-05,9.600396366495220768e-01,7.486334664538482064e-01
-1.860459987738976473e+00,6.471999999999999975e-01,-1.830411801453904128e-02,-1.846465621399481435e-02,2.100000000000000000e+01,1.000000000000000000e+00,1.002846020966076251e-01,4.378582041833185899e-04,8.997462392362541861e-01,1.052504557814221586e+00
-2.325574984673720813e+00,6.352499999999999813e-01,-3.556081256795282086e-02,-3.620099120088886985e-02,2.200000000000000000e+01,1.000000000000000000e+00,1.957259682349788421e-01,1.746048401714733571e-03,8.043288422556211792e-01,1.342755090457583567e+00
-2.790689981608464709e+00,6.232999999999999652e-01,-5.568711915030425535e-02,-5.741850297173778372e-02,2.200000000000000000e+01,1.000000000000000000e+00,3.084887257567556773e-01,4.722244384046434852e-03,6.915450528184492462e-01,1.572267294084035427e+00
-3.255804978543208605e+00,6.113499999999999490e-01,-7.509973869129281387e-02,-7.866331589094513466e-02,2.100000000000000000e+01,1.000000000000000000e+00,4.193794073769307462e-01,9.719440721261353791e-03,5.805483135720399535e-01,1.731314138297701977e+00
-3.720919975477952946e+00,5.993999999999999329e-01,-9.185913049698650468e-02,-9.796655091522438186e-02,2.000000000000000000e+01,1.000000000000000000e+00,5.177380352638438765e-01,1.665761884453513877e-02,4.820103303747466095e-01,1.826862456979801763e+00
-4.186034972412697286e+00,5.874499999999999167e-01,-1.053651097218922528e-01,-1.145884946819323985e-01,1.900000000000000000e+01,1.000000000000000000e+00,5.999101183045272290e-01,2.515622318417286979e-02,3.996318877260430780e-01,1.868389899175553870e+00
-4.651149969347441626e+00,5.754999999999999005e-01,-1.157488847266604642e-01,-1.284515937062851165e-01,1.700000000000000000e+01,1.000000000000000000e+00,6.660419969193428491e-01,3.464586846580498813e-02,3.333180052298011509e-01,1.864170047895656435e+00
-5.116264966282185078e+00,5.635499999999999954e-01,-1.234717235682289832e-01,-1.397734922209163122e-01,1.500000000000000000e+01,1.000000000000000000e+00,7.179853632097192850e-01,4.446208548168098518e-02,2.812471416531829860e-01,1.821432249157015848e+00
