applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,total_current_density_mA_cm2,four_electron_current_density_mA_cm2,ss_steps,ss_converged
-4.999999999999998890e-01,-9.954069072700804099e-01,-9.954069072700804099e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.760999999999998566e-01,-9.953802465371557329e-01,-9.953802465371557329e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.521999999999998243e-01,-9.953651065561548439e-01,-9.953651065561548439e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.282999999999997920e-01,-9.953561921352536146e-01,-9.953561921352536146e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.043999999999997597e-01,-9.953504785491008588e-01,-9.953504785491008588e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.804999999999999494e-01,-9.953457108110038698e-01,-9.953457108110038698e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.565999999999999170e-01,-9.953403662755098136e-01,-9.953403662755098136e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.326999999999998847e-01,-9.953324750631141749e-01,-9.953324750631141749e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.087999999999998524e-01,-9.953194727601792913e-01,-9.953194727601792913e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.848999999999999311e-01,-9.952967260417371342e-01,-9.952967260417371342e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.609999999999997877e-01,-9.952562782113334450e-01,-9.952562782113334450e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.370999999999997554e-01,-9.951839851026195172e-01,-9.951839851026195172e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.131999999999998341e-01,-9.950545803017798452e-01,-9.950545803017798452e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.892999999999998018e-01,-9.948228807353685088e-01,-9.948228807353685088e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.653999999999998805e-01,-9.944081264132447195e-01,-9.944081264132447195e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.414999999999998481e-01,-9.936662025452973612e-01,-9.936662025452973612e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.175999999999999268e-01,-9.923407479017265498e-01,-9.923407479017265498e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-9.369999999999989448e-02,-9.899783311225311966e-01,-9.899783311225311966e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-6.979999999999986215e-02,-9.857851193317563876e-01,-9.857851193317563876e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.589999999999994085e-02,-9.783960134492493133e-01,-9.783960134492493133e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.199999999999990852e-02,-9.655255678580590972e-01,-9.655255678580590972e-01,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
1.900000000000012790e-03,-9.436591379385186329e-01,-9.436591379385186329e-01,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
2.580000000000004512e-02,-9.087431824491264409e-01,-9.087431824491264409e-01,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
4.970000000000007745e-02,-8.550576737376474057e-01,-8.550576737376474057e-01,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
7.360000000000010978e-02,-7.817896101863901492e-01,-7.817896101863901492e-01,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
9.750000000000003109e-02,-6.944820209321861393e-01,-6.944820209321861393e-01,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
1.214000000000000634e-01,-6.081674551922362504e-01,-6.081674551922362504e-01,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
1.453000000000000957e-01,-5.390565822172970201e-01,-5.390565822172970201e-01,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
1.692000000000000171e-01,-5.113180946245700076e-01,-5.113180946245700076e-01,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
