applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,total_current_density_mA_cm2,four_electron_current_density_mA_cm2,ss_steps,ss_converged
-4.999999999999998890e-01,-4.465125451377377486e-02,-7.367539982314941227e-02,-2.902414530937563741e-02,5.000000000000000000e+00,1.000000000000000000e+00
-4.880499999999997618e-01,-4.551139177367442140e-02,-7.274618369221620695e-02,-2.723479191854178555e-02,5.000000000000000000e+00,1.000000000000000000e+00
-4.760999999999998566e-01,-4.633022731607839423e-02,-7.187698218445545684e-02,-2.554675486837706261e-02,5.000000000000000000e+00,1.000000000000000000e+00
-4.641499999999997295e-01,-4.710773478116039858e-02,-7.106301802612048635e-02,-2.395528324496008776e-02,5.000000000000000000e+00,1.000000000000000000e+00
-4.521999999999998243e-01,-4.784443348606103735e-02,-7.030018691865845548e-02,-2.245575343259741813e-02,5.000000000000000000e+00,1.000000000000000000e+00
-4.402499999999999192e-01,-4.854123253599664650e-02,-6.958490534840271191e-02,-2.104367281240606541e-02,5.000000000000000000e+00,1.000000000000000000e+00
-4.282999999999997920e-01,-4.919929607507859265e-02,-6.891402016672519559e-02,-1.971472409164660294e-02,5.000000000000000000e+00,1.000000000000000000e+00
-4.163499999999998868e-01,-4.981944139668155469e-02,-6.828537390929689810e-02,-1.846593251261534341e-02,4.000000000000000000e+00,1.000000000000000000e+00
-4.043999999999997597e-01,-5.040439542875552875e-02,-6.769481489381620753e-02,-1.729041946506067878e-02,4.000000000000000000e+00,1.000000000000000000e+00
-3.924499999999998545e-01,-5.095504175651396905e-02,-6.714080366053834514e-02,-1.618576190402437609e-02,4.000000000000000000e+00,1.000000000000000000e+00
-3.804999999999999494e-01,-5.147297293091313009e-02,-6.662113720454958254e-02,-1.514816427363645246e-02,4.000000000000000000e+00,1.000000000000000000e+00
-3.685499999999998222e-01,-5.195978715434958206e-02,-6.613376581282207067e-02,-1.417397865847248861e-02,4.000000000000000000e+00,1.000000000000000000e+00
-3.565999999999999170e-01,-5.241706808711062149e-02,-6.567677356586849868e-02,-1.325970547875787720e-02,4.000000000000000000e+00,1.000000000000000000e+00
-3.446500000000000119e-01,-5.284637019377580458e-02,-6.524836354882397604e-02,-1.240199335504817146e-02,4.000000000000000000e+00,1.000000000000000000e+00
-3.326999999999998847e-01,-5.324920834471726094e-02,-6.484684653626050788e-02,-1.159763819154324693e-02,4.000000000000000000e+00,1.000000000000000000e+00
-3.207499999999999796e-01,-5.362705070976049593e-02,-6.447063225467179748e-02,-1.084358154491130155e-02,4.000000000000000000e+00,1.000000000000000000e+00
-3.087999999999998524e-01,-5.398131422743093766e-02,-6.411822258257622587e-02,-1.013690835514528821e-02,4.000000000000000000e+00,1.000000000000000000e+00
-2.968499999999999472e-01,-5.431336212416842252e-02,-6.378820624357388336e-02,-9.474844119405460841e-03,4.000000000000000000e+00,1.000000000000000000e+00
-2.848999999999999311e-01,-5.462450310688840571e-02,-6.347925470388737779e-02,-8.854751596998972074e-03,4.000000000000000000e+00,1.000000000000000000e+00
-2.729499999999999149e-01,-5.491599194263785400e-02,-6.319011917159407521e-02,-8.274127228956221214e-03,4.000000000000000000e+00,1.000000000000000000e+00
-2.609999999999997877e-01,-5.518903080298536573e-02,-6.291962957244408294e-02,-7.730598769458717212e-03,4.000000000000000000e+00,1.000000000000000000e+00
-2.490499999999997716e-01,-5.544476502587279004e-02,-6.266670832501514132e-02,-7.221943299142351280e-03,4.000000000000000000e+00,1.000000000000000000e+00
-2.370999999999997554e-01,-5.568417847076641281e-02,-6.243056960306354874e-02,-6.746391132297135940e-03,3.000000000000000000e+00,1.000000000000000000e+00
-2.251499999999998503e-01,-5.590864691587692920e-02,-6.220971718953856311e-02,-6.301070273661633914e-03,3.000000000000000000e+00,1.000000000000000000e+00
-2.131999999999998341e-01,-5.611903802824715765e-02,-6.200359805530696738e-02,-5.884560027059809739e-03,3.000000000000000000e+00,1.000000000000000000e+00
-2.012499999999998179e-01,-5.631637144201064038e-02,-6.181143686009940574e-02,-5.495065418088765363e-03,3.000000000000000000e+00,1.000000000000000000e+00
-1.892999999999998018e-01,-5.650165827361097737e-02,-6.163255161106722529e-02,-5.130893337456247927e-03,3.000000000000000000e+00,1.000000000000000000e+00
-1.773499999999997856e-01,-5.667591732095234036e-02,-6.146636504864261968e-02,-4.790447727690279323e-03,3.000000000000000000e+00,1.000000000000000000e+00
-1.653999999999998805e-01,-5.684019603139923993e-02,-6.131242082963088424e-02,-4.472224798231644316e-03,3.000000000000000000e+00,1.000000000000000000e+00
-1.534499999999998643e-01,-5.699559778539035199e-02,-6.117040607027109111e-02,-4.174808284880739129e-03,3.000000000000000000e+00,1.000000000000000000e+00
-1.414999999999998481e-01,-5.714331755993581202e-02,-6.104018232425539175e-02,-3.896864764319579733e-03,3.000000000000000000e+00,1.000000000000000000e+00
-1.295499999999998320e-01,-5.728468870848327926e-02,-6.092182774042768229e-02,-3.637139031944403023e-03,3.000000000000000000e+00,1.000000000000000000e+00
-1.175999999999999268e-01,-5.742124445923008080e-02,-6.081569402553405751e-02,-3.394449566303976706e-03,3.000000000000000000e+00,1.000000000000000000e+00
-1.056499999999999106e-01,-5.755479883213671100e-02,-6.072248306805904522e-02,-3.167684235922334224e-03,3.000000000000000000e+00,1.000000000000000000e+00
-9.369999999999989448e-02,-5.768755313891817810e-02,-6.064335046892971315e-02,-2.955797330011535051e-03,3.000000000000000000e+00,1.000000000000000000e+00
-8.174999999999987832e-02,-5.782224108073808627e-02,-6.058005643465814299e-02,-2.757815353920056722e-03,3.000000000000000000e+00,1.000000000000000000e+00
-6.979999999999986215e-02,-5.796262486348734144e-02,-6.053553583833792134e-02,-2.572910974850579902e-03,2.000000000000000000e+00,1.000000000000000000e+00
-5.784999999999995701e-02,-5.811255438473247187e-02,-6.051247405801010726e-02,-2.399919673277635390e-03,2.000000000000000000e+00,1.000000000000000000e+00
-4.589999999999994085e-02,-5.827791457848015277e-02,-6.051608829897557607e-02,-2.238173720495423291e-03,2.000000000000000000e+00,1.000000000000000000e+00
-3.394999999999992468e-02,-5.846600178985495583e-02,-6.055288371805240405e-02,-2.086881928197448222e-03,2.000000000000000000e+00,1.000000000000000000e+00
-2.199999999999990852e-02,-5.868624709388456373e-02,-6.063153858352854364e-02,-1.945291489643979910e-03,2.000000000000000000e+00,1.000000000000000000e+00
-1.004999999999989235e-02,-5.895080967413582340e-02,-6.076349362398352633e-02,-1.812683949847702924e-03,2.000000000000000000e+00,1.000000000000000000e+00
1.900000000000012790e-03,-5.927526917184507832e-02,-6.096364086643852459e-02,-1.688371694593446271e-03,2.000000000000000000e+00,1.000000000000000000e+00
1.385000000000002895e-02,-5.967937913359763757e-02,-6.125107459475614274e-02,-1.571695461158505169e-03,2.000000000000000000e+00,1.000000000000000000e+00
2.580000000000004512e-02,-6.018776227578328392e-02,-6.164978602361160381e-02,-1.462023747828319897e-03,2.000000000000000000e+00,1.000000000000000000e+00
3.775000000000006128e-02,-6.082987817298460276e-02,-6.218863377403392040e-02,-1.358755601049317641e-03,2.000000000000000000e+00,1.000000000000000000e+00
4.970000000000007745e-02,-6.176856420498188366e-02,-6.303024430263197420e-02,-1.261680097650090537e-03,2.000000000000000000e+00,1.000000000000000000e+00
6.165000000000009361e-02,-6.296618755769256559e-02,-6.413619143862572813e-02,-1.170003880933162543e-03,3.000000000000000000e+00,1.000000000000000000e+00
7.360000000000010978e-02,-6.446707743990096051e-02,-6.555031194254389015e-02,-1.083234502642929642e-03,3.000000000000000000e+00,1.000000000000000000e+00
8.555000000000012594e-02,-6.631342787792132709e-02,-6.731441317173678107e-02,-1.000985293815453980e-03,3.000000000000000000e+00,1.000000000000000000e+00
9.750000000000003109e-02,-6.853937188512740364e-02,-6.946236321242361955e-02,-9.229913272962159132e-04,3.000000000000000000e+00,1.000000000000000000e+00
1.094500000000000473e-01,-7.165542246059161680e-02,-7.250537687157228295e-02,-8.499544109806661529e-04,3.000000000000000000e+00,1.000000000000000000e+00
1.214000000000000634e-01,-7.530963012172416093e-02,-7.609083387245356433e-02,-7.812037507294034011e-04,3.000000000000000000e+00,1.000000000000000000e+00
1.333500000000000796e-01,-7.797351919624091743e-02,-7.869046371074940593e-02,-7.169445145084885063e-04,3.000000000000000000e+00,1.000000000000000000e+00
1.453000000000000957e-01,-8.502313295578180219e-02,-8.568128208483806463e-02,-6.581491290562624386e-04,3.000000000000000000e+00,1.000000000000000000e+00
1.572500000000000009e-01,-8.923098340174771825e-02,-8.983490188536608079e-02,-6.039184836183625338e-04,3.000000000000000000e+00,1.000000000000000000e+00
1.692000000000000171e-01,-1.816934433959007944e-01,-1.822488442191029789e-01,-5.554008232021845348e-04,3.000000000000000000e+00,1.000000000000000000e+00
1.811500000000000332e-01,-4.665150041665661051e-01,-4.670262537200596809e-01,-5.112495534935757036e-04,3.000000000000000000e+00,1.000000000000000000e+00
1.931000000000000494e-01,-5.737937741770691158e-01,-5.742659176456655912e-01,-4.721434685964753797e-04,3.000000000000000000e+00,1.000000000000000000e+00
2.050500000000000100e-01,-5.460349186592303727e-01,-5.464727470925762054e-01,-4.378284333458326572e-04,3.000000000000000000e+00,1.000000000000000000e+00
2.170000000000000817e-01,-4.667070649965613938e-01,-4.671140559588175534e-01,-4.069909622561596052e-04,3.000000000000000000e+00,1.000000000000000000e+00
2.289500000000000979e-01,-4.017308790310749611e-01,-4.021089913261773341e-01,-3.781122951023729861e-04,3.000000000000000000e+00,1.000000000000000000e+00
2.409000000000000585e-01,-3.498707872370608873e-01,-3.502218714591081583e-01,-3.510842220472709663e-04,4.000000000000000000e+00,1.000000000000000000e+00
2.528500000000000747e-01,-3.142969422857268547e-01,-3.146228193800608142e-01,-3.258770943339595050e-04,4.000000000000000000e+00,1.000000000000000000e+00
2.648000000000000353e-01,-2.820068884538546872e-01,-2.823090726114313997e-01,-3.021841575767125754e-04,4.000000000000000000e+00,1.000000000000000000e+00
2.767500000000000515e-01,-2.554395298200117237e-01,-2.557192960558288819e-01,-2.797662358171582042e-04,5.000000000000000000e+00,1.000000000000000000e+00
2.887000000000000122e-01,-2.330120228602425014e-01,-2.332705050816411552e-01,-2.584822213986537331e-04,5.000000000000000000e+00,1.000000000000000000e+00
3.006500000000000283e-01,-2.135676411679167663e-01,-2.138058620177044622e-01,-2.382208497876958653e-04,6.000000000000000000e+00,1.000000000000000000e+00
3.126000000000000445e-01,-1.962708723518420684e-01,-1.964897287095586365e-01,-2.188563577165680840e-04,6.000000000000000000e+00,1.000000000000000000e+00
3.245500000000000052e-01,-1.805189309776189799e-01,-1.807192188630682150e-01,-2.002878854492351479e-04,6.000000000000000000e+00,1.000000000000000000e+00
3.365000000000000213e-01,-1.658814455149837663e-01,-1.660638727006325810e-01,-1.824271856488146604e-04,7.000000000000000000e+00,1.000000000000000000e+00
3.484499999999999820e-01,-1.520562747310847118e-01,-1.522214596109526252e-01,-1.651848798679134145e-04,7.000000000000000000e+00,1.000000000000000000e+00
3.603999999999999981e-01,-1.388340532812774031e-01,-1.389825655653060543e-01,-1.485122840286512425e-04,8.000000000000000000e+00,1.000000000000000000e+00
3.723500000000000143e-01,-1.260772851421896046e-01,-1.262096546253938800e-01,-1.323694832042754399e-04,8.000000000000000000e+00,1.000000000000000000e+00
3.843000000000000305e-01,-1.137030670770110413e-01,-1.138198299084584170e-01,-1.167628314473756479e-04,8.000000000000000000e+00,1.000000000000000000e+00
3.962499999999999911e-01,-1.016744303706494101e-01,-1.017761703249273064e-01,-1.017399542778962829e-04,9.000000000000000000e+00,1.000000000000000000e+00
4.082000000000000073e-01,-8.999708455487549774e-02,-9.008446896475448551e-02,-8.738440987898776768e-05,9.000000000000000000e+00,1.000000000000000000e+00
4.201500000000000234e-01,-7.871849533823428724e-02,-7.879233129706864069e-02,-7.383595883435345453e-05,9.000000000000000000e+00,1.000000000000000000e+00
4.320999999999999841e-01,-6.792794237155139192e-02,-6.798921037199624762e-02,-6.126800044485569696e-05,1.000000000000000000e+01,1.000000000000000000e+00
4.440500000000000003e-01,-5.775060835984782009e-02,-5.780046536001588742e-02,-4.985700016806732249e-05,1.000000000000000000e+01,1.000000000000000000e+00
4.560000000000000164e-01,-4.833056808915132257e-02,-4.837033095441804070e-02,-3.976286526671812815e-05,1.000000000000000000e+01,1.000000000000000000e+00
4.679499999999999771e-01,-3.980549039127295047e-02,-3.983657559255347064e-02,-3.108520128052016940e-05,1.000000000000000000e+01,1.000000000000000000e+00
4.798999999999999932e-01,-3.227869530930609077e-02,-3.230253835510719235e-02,-2.384304580110158112e-05,1.000000000000000000e+01,1.000000000000000000e+00
4.918500000000000094e-01,-2.579886545667483752e-02,-2.581683722261502237e-02,-1.797176594018484730e-05,1.000000000000000000e+01,1.000000000000000000e+00
5.038000000000000256e-01,-2.035375537679031885e-02,-2.036709406875755399e-02,-1.333869196723513895e-05,1.000000000000000000e+01,1.000000000000000000e+00
