applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,total_current_density_mA_cm2,four_electron_current_density_mA_cm2,ss_steps,ss_converged
-4.999999999999998890e-01,-5.919959238321496897e-02,-5.923017408142237927e-02,-3.058169820741030165e-05,2.000000000000000000e+00,1.000000000000000000e+00
-4.880499999999997618e-01,-5.916229557060467825e-02,-5.919217333708211987e-02,-2.987776647744161407e-05,2.000000000000000000e+00,1.000000000000000000e+00
-4.760999999999998566e-01,-5.913451509781979948e-02,-5.916370538562704118e-02,-2.919028780724169936e-05,2.000000000000000000e+00,1.000000000000000000e+00
-4.641499999999997295e-01,-5.911384230423714220e-02,-5.914236111405239693e-02,-2.851880981525473091e-05,2.000000000000000000e+00,1.000000000000000000e+00
-4.521999999999998243e-01,-5.909847795979500384e-02,-5.912634087036394009e-02,-2.786291056893624996e-05,2.000000000000000000e+00,1.000000000000000000e+00
-4.402499999999999192e-01,-5.908707814955799220e-02,-5.911430034201980988e-02,-2.722219246181767360e-05,2.000000000000000000e+00,1.000000000000000000e+00
-4.282999999999997920e-01,-5.907863915534478788e-02,-5.910523543303945054e-02,-2.659627769466266223e-05,2.000000000000000000e+00,1.000000000000000000e+00
-4.163499999999998868e-01,-5.907241147480236237e-02,-5.909839627973086790e-02,-2.598480492850552270e-05,2.000000000000000000e+00,1.000000000000000000e+00
-4.043999999999997597e-01,-5.906783561392701248e-02,-5.909322304072203019e-02,-2.538742679501770905e-05,2.000000000000000000e+00,1.000000000000000000e+00
-3.924499999999998545e-01,-5.906449415416563375e-02,-5.908929796220400987e-02,-2.480380803837611836e-05,2.000000000000000000e+00,1.000000000000000000e+00
-3.804999999999999494e-01,-5.906207599105205847e-02,-5.908630961519069358e-02,-2.423362413863511255e-05,2.000000000000000000e+00,1.000000000000000000e+00
-3.685499999999998222e-01,-5.906034970161792158e-02,-5.908402626198042129e-02,-2.367656036249971008e-05,2.000000000000000000e+00,1.000000000000000000e+00
-3.565999999999999170e-01,-5.905914399333878073e-02,-5.908227630477608933e-02,-2.313231143730859474e-05,2.000000000000000000e+00,1.000000000000000000e+00
-3.446500000000000119e-01,-5.905834516149495450e-02,-5.908094574525762921e-02,-2.260058376267470859e-05,2.000000000000000000e+00,1.000000000000000000e+00
-3.326999999999998847e-01,-5.905782041347452938e-02,-5.907990148013002318e-02,-2.208106665549380843e-05,2.000000000000000000e+00,1.000000000000000000e+00
-3.207499999999999796e-01,-5.905755835970608048e-02,-5.907913186710891246e-02,-2.157350740283198176e-05,2.000000000000000000e+00,1.000000000000000000e+00
-3.087999999999998524e-01,-5.905747299514181592e-02,-5.907855059636919065e-02,-2.107760122737473152e-05,2.000000000000000000e+00,1.000000000000000000e+00
-2.968499999999999472e-01,-5.905754862355379331e-02,-5.907814171166391598e-02,-2.059308811012267038e-05,2.000000000000000000e+00,1.000000000000000000e+00
-2.848999999999999311e-01,-5.905775722199895633e-02,-5.907787692405640223e-02,-2.011970205744589846e-05,2.000000000000000000e+00,1.000000000000000000e+00
-2.729499999999999149e-01,-5.905812663764126169e-02,-5.907778383203647621e-02,-1.965719439521451672e-05,2.000000000000000000e+00,1.000000000000000000e+00
-2.609999999999997877e-01,-5.905865418486747065e-02,-5.907785948999838554e-02,-1.920530513091489588e-05,2.000000000000000000e+00,1.000000000000000000e+00
-2.490499999999997716e-01,-5.905936574116314730e-02,-5.907812952718698163e-02,-1.876378602383432792e-05,2.000000000000000000e+00,1.000000000000000000e+00
-2.370999999999997554e-01,-5.906030338045615419e-02,-5.907863577384356996e-02,-1.833239338741576852e-05,2.000000000000000000e+00,1.000000000000000000e+00
-2.251499999999998503e-01,-5.906152896088916887e-02,-5.907943984848063046e-02,-1.791088759146158838e-05,2.000000000000000000e+00,1.000000000000000000e+00
-2.131999999999998341e-01,-5.906312940289496632e-02,-5.908062843536045911e-02,-1.749903246549278091e-05,2.000000000000000000e+00,1.000000000000000000e+00
-2.012499999999998179e-01,-5.906522410614091501e-02,-5.908232070071047642e-02,-1.709659456956141854e-05,2.000000000000000000e+00,1.000000000000000000e+00
-1.892999999999998018e-01,-5.906797513434342006e-02,-5.908467847663190914e-02,-1.670334228848907587e-05,2.000000000000000000e+00,1.000000000000000000e+00
