applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,ss_steps,ss_converged
-4.999999999999998890e-01,-9.952491900960734883e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.760999999999998566e-01,-9.951909330398821529e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.521999999999998243e-01,-9.950982554739900010e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.282999999999997920e-01,-9.949507831624573306e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.043999999999997597e-01,-9.947161318114575712e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.804999999999999494e-01,-9.943428640591280843e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.565999999999999170e-01,-9.937493873136052924e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.326999999999998847e-01,-9.928065549302367288e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.087999999999998524e-01,-9.913106612866886547e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.848999999999999311e-01,-9.889421805518032738e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.609999999999997877e-01,-9.852043528266871686e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.370999999999997554e-01,-9.793357867456790045e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.131999999999998341e-01,-9.701957499307034549e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.892999999999998018e-01,-9.561352320391318660e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.653999999999998805e-01,-9.350748837880444864e-01,3.000000000000000000e+00,1.000000000000000000e+00
-1.414999999999998481e-01,-9.047821009138817816e-01,3.000000000000000000e+00,1.000000000000000000e+00
-1.175999999999999268e-01,-8.622128625757565779e-01,3.000000000000000000e+00,1.000000000000000000e+00
-9.369999999999989448e-02,-8.068896211414837705e-01,3.000000000000000000e+00,1.000000000000000000e+00
-6.979999999999986215e-02,-7.401576806525878016e-01,3.000000000000000000e+00,1.000000000000000000e+00
-4.589999999999994085e-02,-6.694301696837977600e-01,3.000000000000000000e+00,1.000000000000000000e+00
-2.199999999999990852e-02,-6.022420137576544041e-01,3.000000000000000000e+00,1.000000000000000000e+00
1.900000000000012790e-03,-5.458846196555920960e-01,3.000000000000000000e+00,1.000000000000000000e+00
2.580000000000004512e-02,-5.162383863103238157e-01,3.000000000000000000e+00,1.000000000000000000e+00
4.970000000000007745e-02,-5.034075825511156177e-01,3.000000000000000000e+00,1.000000000000000000e+00
7.360000000000010978e-02,-4.891261818038502573e-01,3.000000000000000000e+00,1.000000000000000000e+00
9.750000000000003109e-02,-4.761306060984132338e-01,4.000000000000000000e+00,1.000000000000000000e+00
1.214000000000000634e-01,-4.591690493517431859e-01,4.000000000000000000e+00,1.000000000000000000e+00
1.453000000000000957e-01,-4.376455636150279327e-01,4.000000000000000000e+00,1.000000000000000000e+00
1.692000000000000171e-01,-4.112720186669992506e-01,5.000000000000000000e+00,1.000000000000000000e+00
1.931000000000000494e-01,-3.800988049854380768e-01,5.000000000000000000e+00,1.000000000000000000e+00
2.170000000000000817e-01,-3.444449839932705593e-01,6.000000000000000000e+00,1.000000000000000000e+00
2.409000000000000585e-01,-3.050117806666927667e-01,6.000000000000000000e+00,1.000000000000000000e+00
2.648000000000000353e-01,-2.627915708929539074e-01,7.000000000000000000e+00,1.000000000000000000e+00
2.887000000000000122e-01,-2.191810807656638660e-01,7.000000000000000000e+00,1.000000000000000000e+00
3.126000000000000445e-01,-1.760042984816465039e-01,7.000000000000000000e+00,1.000000000000000000e+00
3.365000000000000213e-01,-1.354907777880519359e-01,8.000000000000000000e+00,1.000000000000000000e+00
3.603999999999999981e-01,-9.988254425255153890e-02,8.000000000000000000e+00,1.000000000000000000e+00
3.843000000000000305e-01,-7.071262942052891631e-02,8.000000000000000000e+00,1.000000000000000000e+00
4.082000000000000073e-01,-4.837237632807583204e-02,8.000000000000000000e+00,1.000000000000000000e+00
4.320999999999999841e-01,-3.221583367430071176e-02,8.000000000000000000e+00,1.000000000000000000e+00
4.560000000000000164e-01,-2.104014417228496775e-02,8.000000000000000000e+00,1.000000000000000000e+00
4.798999999999999932e-01,-1.355538084339256120e-02,7.000000000000000000e+00,1.000000000000000000e+00
5.038000000000000256e-01,-8.652120583149860988e-03,7.000000000000000000e+00,1.000000000000000000e+00
5.276999999999999469e-01,-5.486674104401806189e-03,7.000000000000000000e+00,1.000000000000000000e+00
5.515999999999999792e-01,-3.461214999029885945e-03,6.000000000000000000e+00,1.000000000000000000e+00
5.755000000000000115e-01,-2.170398711529044049e-03,6.000000000000000000e+00,1.000000000000000000e+00
5.993999999999999329e-01,-1.346558891944789815e-03,6.000000000000000000e+00,1.000000000000000000e+00
6.232999999999999652e-01,-8.148869547340535516e-04,5.000000000000000000e+00,1.000000000000000000e+00
6.471999999999999975e-01,-4.609121337826818806e-04,5.000000000000000000e+00,1.000000000000000000e+00
6.710999999999999188e-01,-2.077329646458943551e-04,5.000000000000000000e+00,1.000000000000000000e+00
7.643750000000000266e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.337499999999999911e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.031249999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.724999999999999201e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.041875000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.111250000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.180625000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
