applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,total_current_density_mA_cm2,four_electron_current_density_mA_cm2,ss_steps,ss_converged
-4.999999999999998890e-01,1.917120386647595653e+00,-2.264839133331160603e+00,-4.181959519978756035e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.880499999999997618e-01,1.903026507984192373e+00,-2.250676038142595647e+00,-4.153702546126788242e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.760999999999998566e-01,1.885684751944646020e+00,-2.233285503390873394e+00,-4.118970255335518971e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.641499999999997295e-01,1.864532035538988497e+00,-2.212099896121405784e+00,-4.076631931660394059e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.521999999999998243e-01,1.838976479639004902e+00,-2.186524029667902269e+00,-4.025500509306906949e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.402499999999999192e-01,1.808436690633088872e+00,-2.155974126569216054e+00,-3.964410817202304926e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.282999999999997920e-01,1.772398935799992747e+00,-2.119934747481895698e+00,-3.892333683281888668e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.163499999999998868e-01,1.730491750797307215e+00,-2.078033205223487112e+00,-3.808524956020794328e+00,2.000000000000000000e+00,1.000000000000000000e+00
-4.043999999999997597e-01,1.682572279661299630e+00,-2.030125752058653532e+00,-3.712698031719953384e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.924499999999998545e-01,1.628811608513066611e+00,-1.976382795473602183e+00,-3.605194403986669016e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.804999999999999494e-01,1.569759407005559826e+00,-1.917353455650132599e+00,-3.487112862655692425e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.685499999999998222e-01,1.506364651757600592e+00,-1.853986240255032447e+00,-3.360350892012633039e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.565999999999999170e-01,1.437039712400684177e+00,-1.784693084524914930e+00,-3.221732796925599107e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.446500000000000119e-01,1.370155569694594400e+00,-1.717844724610539497e+00,-3.088000294305134119e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.326999999999998847e-01,1.303058119003225546e+00,-1.650786969971923090e+00,-2.953845088975148414e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.207499999999999796e-01,1.237266684983336473e+00,-1.585039306311303076e+00,-2.822305991294639327e+00,2.000000000000000000e+00,1.000000000000000000e+00
