applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,ss_steps,ss_converged
-4.999999999999998890e-01,-9.953434764359536668e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.760999999999998566e-01,-9.953372164721990822e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.521999999999998243e-01,-9.953274963877632997e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.282999999999997920e-01,-9.953108389290911129e-01,2.000000000000000000e+00,1.000000000000000000e+00
-4.043999999999997597e-01,-9.952814167745110963e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.804999999999999494e-01,-9.952289393744965240e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.565999999999999170e-01,-9.951350597143800991e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.326999999999998847e-01,-9.949669789198363201e-01,2.000000000000000000e+00,1.000000000000000000e+00
-3.087999999999998524e-01,-9.946660483204368131e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.848999999999999311e-01,-9.941275005061028791e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.609999999999997877e-01,-9.931646007369901996e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.370999999999997554e-01,-9.914458901381850708e-01,2.000000000000000000e+00,1.000000000000000000e+00
-2.131999999999998341e-01,-9.883873904951083755e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.892999999999998018e-01,-9.829738597713896242e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.653999999999998805e-01,-9.734813864151281582e-01,2.000000000000000000e+00,1.000000000000000000e+00
-1.414999999999998481e-01,-9.570887263673534262e-01,3.000000000000000000e+00,1.000000000000000000e+00
-1.175999999999999268e-01,-9.299534927872273871e-01,3.000000000000000000e+00,1.000000000000000000e+00
-9.369999999999989448e-02,-8.872473661975581738e-01,3.000000000000000000e+00,1.000000000000000000e+00
-6.979999999999986215e-02,-8.243130719886104796e-01,3.000000000000000000e+00,1.000000000000000000e+00
-4.589999999999994085e-02,-7.431008731355063235e-01,3.000000000000000000e+00,1.000000000000000000e+00
-2.199999999999990852e-02,-6.541232637927276716e-01,3.000000000000000000e+00,1.000000000000000000e+00
1.900000000000012790e-03,-5.742601342574398249e-01,3.000000000000000000e+00,1.000000000000000000e+00
