evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,grad_2,grad_3,effective_k0_0,effective_k0_1
1,0,0.018109388551658934,0.3130809296768722,0,0,0.004999999999999999,0.0004999999999999999,0.4,0.3,-3.889971835372601,-13.612691042277351,-0.28369434389765846,-0.12363607066948387,0.004999999999999999,0.0004999999999999999
2,0,0.02578921905042472,0.26754505979954435,0,0,0.00554312867456318,0.0005183727867059517,0.6836943438976585,0.42363607066948383,2.7208839845885353,28.366853992291336,0.1297590417908396,0.22888972455061662,0.00554312867456318,0.0005183727867059517
3,0,0.0017172877236445346,0.06285906050695214,0,0,0.0052069024978919675,0.0005071451868310729,0.5115485931657251,0.34861369302693707,0.6549560958851512,-5.53521398378154,0.029142865607753574,-0.05475868552120028,0.0052069024978919675,0.0005071451868310729
4,1,0.000774819781867789,0.0323182935874293,0,0,0.005180077425251692,0.0005101684330715302,0.5048666496520597,0.3703537272058275,0.6272430839358974,-0.6308610969411559,0.030262480082089302,-0.008493090400533063,0.005180077425251692,0.0005101684330715302
5,2,0.00039592773510502326,0.014403125368882642,0,0,0.005128551587210694,0.0005112381295072229,0.489074502102558,0.3793542031503873,0.29798695845619816,0.6543747830127216,0.012830438889556393,0.005463861364818449,0.005128551587210694,0.0005112381295072229
6,3,0.0003402601482366095,0.002162529497591559,0,0,0.0050931954456158255,0.0005111639774927222,0.4802581353588951,0.37953492680451983,0.04875954587402199,-0.1785664978665246,-0.0017748182240904767,-0.0010748925312212424,0.0050931954456158255,0.0005111639774927222
7,4,0.0003391446578076548,0.0009028991386095152,0,0,0.00509104375039043,0.000511229889084049,0.4811679159926155,0.379679721985541,0.0743034843511877,-0.049178627626718485,-0.00022997405519002955,1.7295873433029532e-05,0.00509104375039043,0.000511229889084049
8,5,0.00033864083928353603,0.0010045812382446769,0,0,0.005084608520221476,0.0005112863813827906,0.4814781166180104,0.3797233417218356,0.08027359734426538,-0.012948451514555315,0.0001358405763119139,0.0003274625126626772,0.005084608520221476,0.0005112863813827906
9,6,0.00033476653741991804,0.0029931765998450675,0,0,0.005018015271918961,0.0005117930546038282,0.4836411146936736,0.3798679503544369,0.11015973581888104,0.16907469102567146,0.001943395185794133,0.001876839146402453,0.005018015271918961,0.0005117930546038282
10,7,0.00032744046938537776,0.005609139931274887,0,0,0.004870651656232131,0.0005128517689781541,0.4874361871938013,0.37985854329782764,0.14516458042542238,0.37502783457582317,0.003947025364329191,0.0036106534446086816,0.004870651656232131,0.0005128517689781541
11,8,0.00030765796378200334,0.00959464509560637,0,0,0.004453991247137459,0.0005159101701644138,0.49731587927001686,0.37934116672505935,0.20818373987010558,0.6824535734659589,0.007012066627822113,0.00613778258391174,0.004453991247137459,0.0005159101701644138
12,9,0.000268439160827932,0.013090287784201625,0,0,0.003660917613192491,0.0005225019542953043,0.5169200557410881,0.3776749314626123,0.29720560313276156,0.9526909968732953,0.009794842625210349,0.008235674505320763,0.003660917613192491,0.0005225019542953043
13,10,0.00020952503714430427,0.013008539359515972,0,0,0.0026049367086624178,0.0005338193671792175,0.5483408859081126,0.37428813125965793,0.3870696958274792,0.9374220158629042,0.01016739297822686,0.0076894964567788375,0.0026049367086624178,0.0005338193671792175
14,11,0.0005850676330224491,0.04743628021013947,0,0,0.0016251300363295548,0.0005400125013324819,0.5731681262101318,0.3888073054167803,-0.2106734720517252,4.815620168494191,-0.0011455778104131628,0.047036287792076775,0.0016251300363295548,0.0005400125013324819
15,11,0.00020375411172413594,0.01496927968153003,0,0,0.0024756234452926813,0.0005344842606894315,0.5510200966778189,0.37585495573534644,0.34105520031653647,1.3496357018654255,0.008776936375899195,0.01185353099268838,0.0024756234452926813,0.0005344842606894315
16,12,0.00015857731394529822,0.008585798997919177,0,0,0.0017850215314737419,0.0005443284619474859,0.5792681607065244,0.3714414128878707,0.30007655811550715,0.7556497524121341,0.006042653768044129,0.005897803753121464,0.0017850215314737419,0.0005443284619474859
