evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,grad_2,grad_3,effective_k0_0,effective_k0_1
1,0,0.00023158269328696148,0.0020259514350953254,0,0,0.004999999999999999,0.0004999999999999999,0.4,0.3,0.10527499268082148,0.10738379265068472,0.001604725004795449,0.00021225540777157349,0.004999999999999999,0.0004999999999999999
2,0,0.000227495217832292,0.00200573542952831,0,0,0.004986065521002069,0.0004998576857753447,0.39839527499520455,0.2997877445922284,0.10453480453049645,0.10640440306460759,0.001588557697270484,0.00021001661226005913,0.004986065521002069,0.0004998576857753447
3,1,3.7346648045296954e-05,0.0002298442699564659,0,0,0.0037608535532711105,0.00048513494481767995,0.24069774003335154,0.27993695859855616,-0.0037208299106079473,-0.03692402620407799,-0.00019571482944007223,-0.00010855695234246583,0.0037608535532711105,0.00048513494481767995
4,2,3.4689139457276645e-05,0.00010793106689788915,0,0,0.0037896099038310423,0.0004891126825182901,0.2574906399184197,0.2889770278538216,0.00872474973365049,-0.019489447567523393,-2.219896914578095e-05,-6.984675076482961e-05,0.0037896099038310423,0.0004891126825182901
5,3,3.329411663316987e-05,0.00011244169189205223,0,0,0.0037234049923492367,0.0004929389568081305,0.2644055330439401,0.29916562473130676,0.010902278828182663,-0.014670813282104593,1.52960130611209e-05,-5.8268343288535895e-05,0.0037234049923492367,0.0004929389568081305
6,4,2.6143145150070545e-05,0.00017123597266369836,0,0,0.003166060142079893,0.0005220910693589608,0.3030421061922944,0.37688406931528273,0.015698824032253426,0.0055739484892401185,0.000127126912512362,-4.19971475295586e-06,0.003166060142079893,0.0005220910693589608
7,5,2.3316894330753376e-05,0.0001038440885742438,0,0,0.0028252536918185103,0.000538590613765013,0.31574033754540726,0.42513367706250704,0.008889007202477678,0.006131805786500808,8.586135963338005e-05,3.114329785669338e-06,0.0028252536918185103,0.000538590613765013
8,6,2.2564297929098736e-05,2.007034012977198e-05,0,0,0.0026841299507065447,0.000544885150623719,0.31411764179823753,0.4504755390152542,0.00027988688066076103,0.0010433946129867755,1.903320976111751e-05,-5.987443150446289e-06,0.0026841299507065447,0.000544885150623719
9,7,2.2511106862643532e-05,1.4314323917578314e-05,0,0,0.0026726406562665086,0.0005454771763954102,0.3117679209633612,0.45531605136648584,-0.001729211908551287,-0.000519733138128188,1.8730785677691815e-06,-9.366052617127857e-06,0.0026726406562665086,0.0005454771763954102
10,8,2.246374550521557e-05,2.4168199164232015e-05,0,0,0.002674866955922623,0.0005458356199446013,0.30871905101090436,0.46036691895795695,-0.0030312385375679484,-0.0015663904051425436,-9.719045125500528e-06,-1.1713561743788099e-05,0.002674866955922623,0.0005458356199446013
11,9,2.2327713316482655e-05,4.800027872495978e-05,0,0,0.002701577086091802,0.000546693726855752,0.2994120224789425,0.475490602168529,-0.005266877067260436,-0.0033997125938999987,-3.091724611809246e-05,-1.601277265949574e-05,0.002701577086091802,0.000546693726855752
12,10,2.2031535190578015e-05,8.151123730715046e-05,0,0,0.0027875020590752975,0.0005487062759478304,0.27830269301902605,0.5111781631632715,-0.007889141325113463,-0.0055018065229861185,-5.980037285568368e-05,-2.1346164832800683e-05,0.0027875020590752975,0.0005487062759478304
13,11,2.1569171738134113e-05,0.00011219177522254669,0,0,0.002977135823286336,0.0005525564571790502,0.24119558435727861,0.5774969514887484,-0.009342353637664808,-0.00608073856039871,-8.857526013246683e-05,-2.408478163249475e-05,0.002977135823286336,0.0005525564571790502
14,12,2.1128930751788113e-05,8.88122048680313e-05,0,0,0.003114717199181967,0.0005536158735390662,0.22256850307915085,0.616837385565283,-0.006768546862133823,-0.002562998774944701,-7.22560300277581e-05,-1.7307296764900155e-05,0.003114717199181967,0.0005536158735390662
15,13,2.0722467088452005e-05,7.403497856823565e-06,0,0,0.0032239310831576207,0.0005492371855402111,0.2187341877750107,0.6369182828368172,0.00022856722803135608,0.005541444973242444,1.6199923426842494e-06,-4.4202201426385265e-07,0.0032239310831576207,0.0005492371855402111
16,14,2.0716619115210077e-05,7.84020747070844e-06,0,0,0.0032374360768397,0.0005481439381591003,0.21729834545849694,0.6391487621574299,0.00033888597362481676,0.005684863099049567,1.877330291401312e-06,-2.830159543539433e-07,0.0032374360768397,0.0005481439381591003
17,15,2.0646391880666764e-05,1.6261531643924887e-05,0,0,0.0032611859031414434,0.0005265444242233317,0.2087623250149679,0.6858755752843902,0.000805841988116001,0.008590745559795604,9.396643269081935e-06,5.571372177472193e-06,0.0032611859031414434,0.0005265444242233317
18,16,2.0341750425312406e-05,1.9484154209787364e-05,0,0,0.003417642486229668,0.00046891988726729294,0.19671016749582323,0.7139769674504166,0.0016183487027883491,0.009885351873258279,8.880619510902958e-06,4.9650456215604174e-06,0.003417642486229668,0.00046891988726729294
19,17,1.9024582718784436e-05,3.661238751471843e-05,0,0,0.0038980100577649915,0.00025406292486599634,0.1665021122143167,0.851066387988067,0.0035981287527403743,0.016799916438529572,1.3945890793911577e-05,2.534292996852582e-06,0.0038980100577649915,0.00025406292486599634
20,18,2.5005156577431713e-05,0.0003099534536142186,0,0,0.004544611387078583,7.618335388929452e-05,0.12866070001860658,0.95,-0.01082307324200447,-0.22115300657814593,-0.0002735140729196671,-8.324159847655287e-05,0.004544611387078583,7.618335388929452e-05
21,18,1.8738852777856088e-05,3.996176782543382e-05,0,0,0.004001978163453002,0.00020664642610807021,0.16001195061241258,0.8680344421002314,0.0004924155299187216,0.0022601588964924033,-3.772493423933473e-05,-1.2329892299621093e-05,0.004001978163453002,0.00020664642610807021
22,19,2.691349186575294e-05,0.0003525367498080707,0,0,0.004562454525960877,6.846906848301381e-05,0.12803758587869224,0.95,-0.012676377613912476,-0.28173090198693573,-0.00030949989787098326,-9.372646891372709e-05,0.004562454525960877,6.846906848301381e-05
23,19,1.8738754362403136e-05,4.094366490118014e-05,0,0,0.00400384739379751,0.00020583478096151343,0.1598980361686613,0.8683264591899429,0.00043292268855630586,0.0019034210828893171,-3.873300721447408e-05,-1.2625146592644333e-05,0.00400384739379751,0.00020583478096151343
24,20,1.7991220787547947e-05,3.482293090332597e-05,0,0,0.0041503542692516385,0.000150766343672547,0.15499732921568968,0.95,0.003520966890969281,0.014912699821227525,5.774964569204644e-06,-4.503200284211667e-06,0.0041503542692516385,0.000150766343672547
25,21,1.725960305321623e-05,4.821160150860059e-05,0,0,0.003882835322445775,0.00013414987769615145,0.18085895517495904,0.95,0.003885528684710665,0.01556624321329302,3.296775459871818e-05,-2.7535561170033116e-06,0.003882835322445775,0.00013414987769615145
26,22,1.6974428018903937e-05,1.3679599842933566e-05,0,0,0.003638598663907686,0.00013060366888771502,0.1964121884766486,0.95,0.0008343630532006687,0.005653582343173667,9.768043591521877e-06,-6.3213784186037325e-06,0.003638598663907686,0.00013060366888771502
27,23,1.6963471270268293e-05,8.96550536201309e-06,0,0,0.0036210334986105704,0.00012631444611463954,0.1980630779080331,0.95,1.90381649249165e-05,0.00010339178668759911,2.3585602870372587e-07,-8.960946220360294e-06,0.0036210334986105704,0.00012631444611463954
