evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,grad_2,grad_3,effective_k0_0,effective_k0_1
1,0,0.00025900909508799725,0.0017172545009536409,3,0,0.004999999999999999,0.0004999999999999999,0.4,0.3,0.10902444596190479,0.07031147701082958,0.0011626890873977706,0.0001227257660873648,0.004999999999999999,0.0004999999999999999
2,0,0.00025606947808206877,0.0017050141982784114,3,0,0.004985569950182541,0.0004999068126131912,0.39883731091260227,0.29987727423391264,0.10865127368959894,0.06989017181170132,0.0011532702997996101,0.00012186795953590846,0.004985569950182541,0.0004999068126131912
3,1,4.8416720040588695e-05,0.00023587374942381058,3,0,0.0031621049670853933,0.00048522783490179345,0.2562611534903252,0.2821856524871483,0.018376206462984546,-0.015439610293509803,-0.0001882856538809054,-4.4560145452867904e-05,0.0031621049670853933,0.00048522783490179345
4,2,4.1783156895304165e-05,0.00019508077604599129,3,0,0.0029936704128275034,0.0004874130769671434,0.2762192015208327,0.28761975994153377,0.017609727789697178,-0.012660902416784197,-0.0001473593773478386,-3.748334599798535e-05,0.0029936704128275034,0.0004874130769671434
5,3,2.0676099903578154e-05,7.013783155989535e-05,3,0,0.002179437605377455,0.0005007498070750252,0.3757688742340838,0.32115625905262946,0.009022951159981071,-0.003858546899854693,-5.2257816461752954e-05,-1.087852696132625e-05,0.002179437605377455,0.0005007498070750252
6,4,1.600598182438034e-05,3.0592359000368286e-05,3,0,0.0018175224899451186,0.000507029902074057,0.43297310716292,0.3349270342901809,0.004291277162295632,0.00015826056422815884,-2.4678980952109357e-05,2.0689760034200325e-06,0.0018175224899451186,0.000507029902074057
7,5,1.4415822022808751e-05,1.6090816287510232e-05,3,0,0.0015780637230678484,0.000501983737429026,0.4820527078650813,0.3186187825118113,0.0003708354468051148,0.0022421130365491964,-1.3205920391667523e-05,8.71700111350255e-06,0.0015780637230678484,0.000501983737429026
8,6,1.3526475332019705e-05,1.4165608054410975e-05,3,0,0.0014199951145592406,0.000483389036408425,0.526254100472001,0.2667429705838059,-0.0017609707497481056,0.0030288259544694234,-7.453151584305879e-06,1.002985056445186e-05,0.0014199951145592406,0.000483389036408425
9,7,1.2509821880652062e-05,1.989701534215812e-05,3,0,0.0012310423719018475,0.00043464361174610475,0.5976558228204809,0.1339758593227043,0.001705332182702534,0.0035962257277398872,1.716115322153804e-05,8.066337915799966e-06,0.0012310423719018475,0.00043464361174610475
10,8,1.228253312606205e-05,1.696253622651408e-05,3,0,0.0012030313874041498,0.00041607201425220003,0.6107278507651732,0.08306553431168863,0.0016445750096861604,0.0026893072422076135,1.5233724573742395e-05,5.316909319549348e-06,0.0012030313874041498,0.00041607201425220003
11,9,1.2120669308894284e-05,8.148564107671996e-06,3,0,0.001214370829039379,0.0003949699490523373,0.610181479652538,0.05,0.0010090926286192249,0.0016223790895482381,7.055287027975429e-06,2.546266139545737e-06,0.001214370829039379,0.0003949699490523373
12,10,1.2102094774051346e-05,3.0639223672518703e-06,3,0,0.0012331904076236422,0.00038935331320178487,0.6037877710776,0.05,-0.0005182602482382176,0.000993288730339541,-2.218565907278948e-06,1.2275769756134587e-06,0.0012331904076236422,0.00038935331320178487
13,11,1.2100570300635498e-05,2.1583812897327154e-06,3,0,0.001236364566595737,0.0003878009779568302,0.603252831724301,0.05,-0.00019197959636222048,0.0010089214831667565,-1.448634174668655e-06,1.20404665346174e-06,0.001236364566595737,0.0003878009779568302
14,12,1.2094833371626487e-05,2.011088708360612e-06,3,0,0.001243184474398694,0.00037991563821692325,0.6023191235135611,0.05,0.000500507412091415,0.0010263113000527303,6.008091699733204e-08,1.0872550438648772e-06,0.001243184474398694,0.00037991563821692325
15,13,1.2081160368481756e-05,4.5469210071536705e-06,3,0,0.0012503576454434727,0.0003591327358671085,0.6020684781285598,0.05,0.0013744277687931486,0.0010305738237543795,1.8944436718403631e-06,8.37277228614224e-07,0.0012503576454434727,0.0003591327358671085
16,14,1.2047053694051609e-05,9.508358706146869e-06,3,0,0.0012544611281774514,0.0003067992830467163,0.6046299297864294,0.05,0.0027410343371969286,0.0010463382741727457,5.1983807137697885e-06,3.9083496785212343e-07,0.0012544611281774514,0.0003067992830467163
17,15,1.1989718563194528e-05,1.6707888687123044e-05,3,0,0.0012436002716458261,0.00022933626815972415,0.6126950302704323,0.05,0.004431869485960786,0.0011313086726184988,1.085099470336501e-05,1.640696140272998e-08,0.0012436002716458261,0.00022933626815972415
18,16,1.1911658575254245e-05,1.5522234644597133e-05,3,0,0.0012148886814499701,0.000161503696295887,0.6237949122402225,0.05,0.004030515706382258,0.0010473593258513683,1.0658516658004674e-05,-2.4630330458024086e-07,0.0012148886814499701,0.000161503696295887
19,17,1.1877909481990072e-05,1.8191356424328798e-05,3,0,0.001210658407197479,8.05599726772161e-05,0.623699504333209,0.08648221669259955,-0.002315286987424095,-0.0016903352604095358,-1.6926890745054404e-05,-1.628146096451613e-06,0.001210658407197479,8.05599726772161e-05
20,18,1.1799938769433099e-05,9.90468008196355e-06,3,0,0.001152361794068855,4.039802849050948e-05,0.6464007682310673,0.0945933164469143,0.002168325234790115,0.0004737870530519612,8.049280510328765e-06,-4.5557323393369005e-07,0.001152361794068855,4.039802849050948e-05
21,19,1.1791444562775948e-05,8.988154306815925e-07,3,0,0.0011587358181834435,4.2535136305229316e-05,0.642939331060238,0.10030083643954449,0.00013805778331428285,-0.0002817148048580647,-4.791290587599952e-07,-6.647264878538395e-07,0.0011587358181834435,4.2535136305229316e-05
