evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0,0.0,0.0
1,0,1,3.0,-0.0023113724086125764,0.005544288142114225,3.085570134412271e-05,1,5,8.86655679779395e-08,4.915875007407977e-10,1,,0.008710567208714295,-1.7467854521220233e-18,-0.00013065850813071445,2.6201781781830344e-21
1,0,2,1.0,0.003554187655944925,0.0015827826133325699,1.943218921018747e-06,1,7,1.20081446476071e-07,1.9006284848917254e-10,1,,-0.0006221419414633907,3.758611467271289e-17,3.1107097073169545e-06,-1.8793057336356437e-20
1,0,3,-0.5,-0.001143440157923322,-0.0021919879907331577,5.497262788450951e-07,1,9,0.0,0.0,1,,0.000421222751661407,7.648924375553246e-06,1.053056879153517e-06,1.9122310938883103e-09
1,0,4,-1.0,-0.002428390050167554,-0.007709281910436147,1.3943909419925552e-05,1,9,0.0,0.0,1,,0.006551056403954314,0.0003376918338441055,3.2755282019771564e-05,1.6884591692205269e-07
1,0,5,-2.0,-0.022105785132328273,-0.03696647095511842,0.00011041999156183886,1,9,0.0,0.0,1,,0.04699391769646385,0.013025224018438673,0.0004699391769646386,1.3025224018438677e-05
1,0,6,-3.0,-0.06618032759836574,-0.07888880263111657,8.075266882902573e-05,1,8,0.0,0.0,1,,0.038764876220661465,0.03275025350638228,0.0005814731433099221,4.91253802595734e-05
1,0,7,-5.0,-0.13334625985682821,-0.1397557382376947,2.054070655740305e-05,1,9,0.0,0.0,1,,0.008214758442968569,0.02424736364152764,0.00020536896107421402,6.061840910381913e-05
1,0,8,-8.0,-0.17208735565253808,-0.1720215986775165,2.161989881907491e-09,1,8,0.0,0.0,1,,-1.3780662625408799e-05,-6.951912621126382e-05,-5.512265050163501e-07,-2.780765048450581e-07
1,0,9,-10.0,-0.1776468899218231,-0.1776918384687541,1.010185935609925e-09,1,8,0.0,0.0,1,,3.969841569693399e-06,1.2814212472553862e-05,1.9849207848466446e-07,6.407106236276906e-08
1,0,10,-15.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0,0.0,0.0
1,0,11,-20.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0,0.0,0.0
2,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0,0.0,0.0
2,0,1,3.0,-0.0023113724086125764,0.005547603903034612,3.088175433351588e-05,1,5,9.232226873536764e-08,5.121674256577946e-10,1,,0.008744692473653198,-1.7482913301948614e-18,-0.00013079182806069852,2.6219482391909675e-21
2,0,2,1.0,0.003554187655944925,0.0015800572636513863,1.948595402888557e-06,1,7,1.3897104056981422e-07,2.195822326050978e-10,1,,-0.0006237327799384891,3.764057992839233e-17,3.109663404605151e-06,-1.8816782336914673e-20
2,0,3,-0.5,-0.001143440157923322,-0.0021849583596990525,5.423800823150692e-07,1,8,0.0,0.0,1,,0.0004191391630273261,7.578777169364444e-06,1.0448238080668488e-06,1.8943411691213013e-09
2,0,4,-1.0,-0.002428390050167554,-0.007684104435642654,1.381126685084497e-05,1,9,0.0,0.0,1,,0.00652176424704368,0.0003353097773492946,3.251471185223583e-05,1.6762364203272458e-07
2,0,5,-2.0,-0.022105785132328273,-0.03688381029083118,0.00010919501379267324,1,9,0.0,0.0,1,,0.04683797478596007,0.012962983944618908,0.00046702799924058027,1.2960567971420817e-05
2,0,6,-3.0,-0.06618032759836574,-0.07879077470937977,7.95116881698412e-05,1,8,0.0,0.0,1,,0.038594369478957384,0.03257995098176733,0.0005772447861615966,4.886081835116795e-05
2,0,7,-5.0,-0.13334625985682821,-0.13969838356514352,2.0174737802876367e-05,1,9,0.0,0.0,1,,0.008173879355765811,0.024093301982111483,0.000203757236462617,6.022202899602203e-05
2,0,8,-8.0,-0.17208735565253808,-0.17200578978391992,3.3264954616106812e-09,1,8,0.0,0.0,1,,-2.0171469542295538e-05,-9.973018427873059e-05,-8.045301792087373e-07,-3.988463883528537e-07
