evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0,0.0,0.0
1,0,1,3.0,-0.002908532692799996,0.00554428806068512,3.572508934527442e-05,1,5,3.5302232100166043e-09,1.9572574463944115e-11,1,,0.009372714346164147,-1.8795953470775816e-18,-0.00014059071519246215,2.819393020616372e-21
1,0,2,2.0,0.00436153144295444,0.003034810611001809,8.800940829685452e-07,1,5,1.2163473317999636e-07,3.691384238210804e-10,1,,-0.0008050549762847629,2.6605032328512865e-18,8.050549762847628e-06,-2.6605032328512854e-21
1,0,3,1.0,-0.00026569384474186473,0.0015827826973956057,1.708432763416251e-06,1,6,1.1957118392822357e-06,1.892554273236549e-09,1,,0.0005834396118501762,-3.5244617811298313e-17,-2.9171980592508793e-06,1.762230890564915e-20
1,0,4,0.5,0.0006895594317925579,0.000953417843093804,3.4810630607209764e-08,1,8,0.0,0.0,1,,4.978686561145296e-05,-1.5543034363133277e-17,-1.2446716402863237e-07,3.88575859078332e-21
1,0,5,-0.25,0.0009017890435330913,-0.0008439879424734708,1.5238686424350818e-06,1,9,0.0,0.0,1,,0.0002802831040293097,2.9280028788704706e-06,3.503538800366371e-07,3.6600035985880883e-10
1,0,6,-0.5,-0.0002934224807384304,-0.002191987968992699,1.8022754565950851e-06,1,9,0.0,0.0,1,,0.0007626960427108676,1.3848017818513175e-05,1.9067401067771683e-06,3.4620044546282935e-09
1,0,7,-1.0,0.0004921341653420035,-0.007709281742793993,3.363161144911307e-05,1,9,0.0,0.0,1,,0.010174103297936473,0.0005244222924105566,5.087051648968237e-05,2.6221114620527816e-07
1,0,8,-1.5,-0.009127153923927083,-0.019234206708789663,5.107625799799909e-05,1,9,0.0,0.0,1,,0.023989936965464746,0.0031089087421554483,0.00017992452724098555,2.331681556616584e-06
1,0,9,-2.0,-0.022588090738443464,-0.03696646927332458,0.0001033688846461652,1,8,0.0,0.0,1,,0.04548120798153119,0.012603074089200908,0.0004548120798153118,1.2603074089200903e-05
1,0,10,-3.0,-0.07007531546109648,-0.07888880213730522,3.8838773695854715e-05,1,9,0.0,0.0,1,,0.02687838259424657,0.022708204477797287,0.0004031757389136985,3.4062306716695885e-05
1,0,11,-4.0,-0.10539000769620259,-0.1145870548744547,4.22928383994965e-05,1,9,0.0,0.0,1,,0.01934060641839249,0.03464169216634009,0.0003868121283678497,6.928338433268026e-05
1,0,12,-5.0,-0.1370569911908219,-0.13975572342359197,3.641577832094995e-06,1,9,0.0,0.0,1,,0.003458873560289341,0.010210454881065811,8.647183900723332e-05,2.5526137202664553e-05
1,0,13,-6.5,-0.15897384798703867,-0.16166968064893245,3.633756870464832e-06,1,8,0.0,0.0,1,,0.0015158122241688576,0.006750343708895638,4.926389728548768e-05,2.1938617053910703e-05
1,0,14,-8.0,-0.17156627129280105,-0.17202159528458938,1.036599687490908e-07,1,8,0.0,0.0,1,,0.00011206190623183211,0.0005557743983589232,4.482476249273342e-06,2.223097593435667e-06
1,0,15,-10.0,-0.17997856012390168,-0.17769183726485624,2.6145507170440866e-06,1,8,0.0,0.0,1,,-0.00021702342099115524,-0.0009222803124457622,-1.0851171049557415e-05,-4.611401562228929e-06
1,0,16,-13.0,-0.17848607394505406,-0.18062026864040756,2.2773934988382263e-06,1,7,0.0,0.0,1,,8.610496384596173e-05,0.00013221351048969013,5.596822649986368e-06,8.593878181830497e-07
1,0,17,-17.0,-0.18133881155134438,-0.18242110748032195,5.856822389403227e-07,1,7,0.0,0.0,1,,2.9004361132573856e-05,-6.440858119004256e-06,2.465370696267858e-06,-5.474729401158322e-08
