phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
5,nan,nan,0,1,0.5,,,-0.008099919324836108;4.320263085468357e-18,"ConvergenceError: Nonlinear solve failed to converge after 29 nonlinear iterations.
Reason:
   DIVERGED_DTOL"
3,0.0007089040237871147,-0.002908532692799996,1,5,2.5,1.660425925395726e-08,1.177082639258059e-11,-0.003866985475681421;3.150845770313392e-20,
2,0.0004870025183133787,0.00436153144295444,1,5,2.5,9.829571403224293e-08,4.787026027311403e-11,-0.002656539674972488;3.648797735641586e-19,
1,0.0003192597750672881,-0.0002656938447418647,1,5,2.5,1.455084101767431e-06,4.645498230342569e-10,-0.001741523353978406;4.367507874254714e-18,
0.5,0.0002163105057536929,0.0006895594317925579,1,5,2.5,4.329329168302183e-06,9.364793819696595e-10,-0.001179947575298341;1.516658529838039e-17,
-0.25,-0.0002329515317680802,0.0009017890435330913,1,9,4.5,3.176144432552833e-06,7.398900606775394e-10,0.001270575101745641;1.472522798498916e-07,
-0.5,-0.0006550496949476373,-0.0002934224807384304,1,8,4,4.634286843129802e-06,3.035702251207029e-09,0.003572448881468972;7.677617091519056e-07,
-1,-0.002823515850718997,0.0004921341653420035,1,10,5,3.196193913860645e-06,9.024533021914638e-09,0.01539087295859969;1.10635782501464e-05,
-1.5,-0.009209191876670348,-0.009127153923927083,1,10,5,6.95936088958495e-06,6.409053580035129e-08,0.05012556312721606;0.0001094616926485024,
-2,-0.02305317944904347,-0.02258809073844346,1,11,5.5,3.630374678357894e-06,8.3691982760703e-08,0.1250665929390632;0.0006857051244886868,
-3,-0.06648225801385936,-0.07007531546109648,1,11,5.5,2.956959657906438e-06,1.965859362101918e-07,0.3561055732874722;0.006547081378940414,
-4,-0.1072782403066891,-0.1053900076962026,1,10,5,2.324908647956806e-06,2.494126884883263e-07,0.5642019515156316;0.02098783892517764,
-5,-0.136114613198917,-0.1370569911908219,1,9,4.5,1.80464171857496e-06,2.456385527760396e-07,0.7015895470665836;0.0408991602993541,
-6.5,-0.1608336546671917,-0.1589738479870387,1,9,4.5,6.14412856564114e-07,9.88183259109654e-08,0.8088715543059354;0.06845652640695073,
-8,-0.1721558309712194,-0.1715662712928011,1,8,4,4.346930925708652e-07,7.483498309923675e-08,0.8559060022213942;0.08318317710521293,
-10,-0.1780352025313098,-0.1799785601239017,1,8,4,6.378767858458703e-08,1.135645300021082e-08,0.8847340672101904;0.0864263709414782,
-13,-0.1809172833720393,-0.1784860739450541,1,7,3.5,2.543366387841662e-07,4.6013893750807e-08,0.9078934661700864;0.07898837343632606,
-17,-0.1827120844859512,-0.1813388115513444,1,7,3.5,4.262082577645647e-07,7.787339920128922e-08,0.9298353842713153;0.0668368777425717,
-22,-0.184295010184723,-0.1848138882109413,1,7,3.5,3.995829357450574e-07,7.364114121277687e-08,0.9509796139574084;0.05432731577007525,
-28,-0.1857832631608049,-0.1881782427828769,1,7,3.5,2.824173431546918e-07,5.246841558448345e-08,0.9696083812014118;0.04381678801906207,
