evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,-1.0,-0.008122387304030951,-0.0076329444789509015,1.1977713951115913e-07,1,10,0.0,0.0,1,,-0.000581586117807454,4.303697293717784e-05,-2.9079305890372686e-06,2.151848646858891e-08
1,0,1,-2.0,-0.02789442154196056,-0.035270243929381696,2.7201377945390146e-05,1,10,0.0,0.0,1,,0.023247402098761853,-0.017381761129589265,0.0002324740209876185,-1.7381761129589258e-05
1,0,2,-3.0,-0.061296974539645534,-0.07036216192086385,4.108881112830052e-05,1,10,0.0,0.0,1,,0.03302725101342274,-0.10929581931330822,0.0004954087652013418,-0.00016394372896996227
1,0,3,-4.0,-0.10806108394883196,-0.09453699034820551,9.145055385925306e-05,1,9,0.0,0.0,1,,-0.053163152202011184,0.35044947000054966,-0.001063263044040224,0.0007008989400010991
1,0,4,-5.0,-0.13548126398906657,-0.10751333396081135,0.00039110255503268225,1,9,0.0,0.0,1,,-0.11865628136300256,1.0240063828448422,-0.0029664070340750604,0.002560015957112107
1,0,5,-6.5,-0.15931503094253247,-0.11620623216182326,0.0009291842661578116,1,9,0.0,0.0,1,,-0.1932926725741883,1.8794929566200371,-0.006282011858661119,0.00610835210901512
1,0,6,-8.0,-0.1716718651389106,-0.12060783624939504,0.0013037675232145554,1,9,0.0,0.0,1,,-0.22905013891450082,2.2809038206342604,-0.009162005556580047,0.00912361528253704
1,0,7,-10.0,-0.17359786690865228,-0.12515125802440988,0.0011735369561914448,1,9,0.0,0.0,1,,-0.21025307079822275,2.1029285568276803,-0.010512653539911142,0.010514642784138405
1,0,8,-13.0,-0.18080749195004384,-0.13138242511225048,0.0012214186159601988,1,9,0.0,0.0,1,,-0.19942643971948362,1.9950076129782124,-0.012962718581766411,0.01296754948435838
1,0,9,-17.0,-0.1820896560953913,-0.13894442761630058,0.0009307553702564465,1,8,0.0,0.0,1,,-0.1551778674945689,1.5523195974361879,-0.013190118737038339,0.013194716578207595
1,0,10,-22.0,-0.18910360027324252,-0.14715681331241154,0.0008797664681686526,1,8,0.0,0.0,1,,-0.12806448953464677,1.2812271969489937,-0.014087093848811134,0.014093499166438928
