phi_applied,target_current_density,simulated_current_density
-1,-0.008122387304030951,-0.008408231453050365
-2,-0.02789442154196056,-0.04026089978667992
-3,-0.06129697453964553,-0.08126134948365893
-4,-0.108061083948832,-0.1131146713832855
-5,-0.1354812639890666,-0.1344772956123163
-6.5,-0.1593150309425325,-0.1533458762143224
-8,-0.1716718651389106,-0.1636449827086955
-10,-0.1735978669086523,-0.1713356604428805
-13,-0.1808074919500438,-0.1773139829562444
-17,-0.1820896560953913,-0.1809595522369414
-22,-0.1891036002732425,-0.1820359986147123
-28,-0.1832562407713948,-0.1808089905886667
-35,-0.1885126321939949,-0.1792886585232744
-41,-0.1859119715816313,-0.1780748992184092
-46.5,-0.1886093566851096,-0.1770205989827197
