evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,-1.0,-0.007374144457341952,-0.007709281725024281,5.615849409478637e-08,1,9,0.0,0.0,1,,0.00040604246183872824,2.1233256275407506e-05,2.030212309193641e-06,1.0616628137703747e-08
1,0,1,-2.0,-0.027210802909530558,-0.03696647147942004,4.7586534622765215e-05,1,9,0.0,0.0,1,,0.030821734166574407,0.008549668512977898,0.00030821734166574394,8.549668512977894e-06
1,0,2,-3.0,-0.06202917813359604,-0.07888880317897003,0.00014212347833530615,1,9,0.0,0.0,1,,0.05141499299342052,0.043442453129191955,0.0007712248949013073,6.516367969378789e-05
1,0,3,-4.0,-0.10795054015085055,-0.11458708758726797,2.2021880937908597e-05,1,6,4.415758450430468e-06,5.059911346583235e-07,1,,0.013978725020968495,0.02505459298141245,0.0002795745004193697,5.010918596282498e-05
1,0,4,-5.0,-0.13557069797477647,-0.13975572424940355,8.757222459661131e-06,1,8,0.0,0.0,1,,0.005364685620898445,0.015844185570235883,0.000134117140522462,3.9610463925589725e-05
1,0,5,-6.0,-0.1532335800100144,-0.15603595193827416,3.926644212149276e-06,1,8,0.0,0.0,1,,0.0020797894040096407,0.008373827985870023,6.239368212028873e-05,2.5121483957610202e-05
1,0,6,-7.0,-0.16525636708079586,-0.16604475340570604,3.107764986533059e-07,1,8,0.0,0.0,1,,0.00033596473232526473,0.0016038207591788406,1.175876563138424e-05,5.613372657125939e-06
1,0,7,-8.0,-0.168345056302483,-0.17202159091103858,6.758453363954778e-06,1,8,0.0,0.0,1,,0.0009104665299837451,0.004619251124252293,3.641866119935036e-05,1.8477004497009088e-05
1,0,8,-9.0,-0.17577828688927494,-0.1755612750452551,2.3547070222458422e-08,1,7,0.0,0.0,1,,-3.225706434055542e-05,-0.00015422936180922478,-1.4515678953249878e-06,-6.940321281415017e-07
1,0,9,-10.0,-0.177500655837663,-0.17769183546655784,1.8274825252401667e-08,1,7,0.0,0.0,1,,1.8208154342990448e-05,7.440218681450856e-05,9.104077171493816e-07,3.7201093407253716e-07
2,0,0,-1.0,-0.007374144457341952,-0.0066546130032535036,2.588627567113232e-07,1,8,0.0,0.0,1,,-0.0009496332359573745,-4.2317664992690235e-05,-3.899683826781057e-06,-1.5489211006682294e-08
2,0,1,-2.0,-0.027210802909530558,-0.03435199599592528,2.5498319348586257e-05,1,9,0.0,0.0,1,,0.026905846838349217,0.0068454618375812775,0.00022097856685813875,5.011183998871523e-06
2,0,2,-3.0,-0.06202917813359604,-0.07640236722677693,0.00010329428235417151,1,9,0.0,0.0,1,,0.05432442048280459,0.044542790090232924,0.0006692522626668754,4.891096954332079e-05
2,0,3,-4.0,-0.10795054015085055,-0.11284546247470739,1.198013227829548e-05,1,8,0.0,0.0,1,,0.012913276853346999,0.02351267494356485,0.0002121142984005833,3.4424657749459216e-05
2,0,4,-5.0,-0.13557069797477647,-0.13867446660740965,4.81668986246001e-06,1,8,0.0,0.0,1,,0.004999798709639134,0.015594967175009727,0.00010265876038702458,2.8540532335342092e-05
2,0,5,-6.0,-0.1532335800100144,-0.15541978644361193,2.3897492851517046e-06,1,8,0.0,0.0,1,,0.0020327486694490062,0.008897481143389703,5.008508638918443e-05,1.9540061515456296e-05
