evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,-1.0,-0.008122387304030951,-0.007709281608856311,8.532815769285218e-08,1,9,0.0,0.0,1,,-0.0005005252439308759,-2.6165693850010465e-05,-2.50262621965438e-06,-1.3082846925005224e-08
1,0,1,-2.0,-0.02789442154196056,-0.03696647142955004,4.11510445814546e-05,1,9,0.0,0.0,1,,0.02864788798034145,0.007950108798227988,0.0002864788798034143,7.950108798227989e-06
1,0,2,-3.0,-0.061296974539645534,-0.07888880318589434,0.0001547362175594912,1,9,0.0,0.0,1,,0.05364790988772262,0.045329134921375226,0.00080471864831584,6.79937023820628e-05
1,0,3,-4.0,-0.10806108394883196,-0.11458703931294477,2.1294046707196192e-05,1,9,0.0,0.0,1,,0.013723230552641581,0.024582993211976666,0.00027446461105283104,4.916598642395333e-05
1,0,4,-5.0,-0.13548126398906657,-0.13975572731108024,9.135518345621264e-06,1,8,0.0,0.0,1,,0.005479192107560698,0.01618557942021898,0.0001369798026890175,4.046394855054747e-05
1,0,5,-6.5,-0.15931503094253247,-0.16166968083556313,2.7721880593760956e-06,1,8,0.0,0.0,1,,0.0013239714900904254,0.005894814301871719,4.302907342793908e-05,1.915814648108307e-05
1,0,6,-8.0,-0.1716718651389106,-0.1720215953394588,6.115560658831812e-08,1,8,0.0,0.0,1,,8.607374911371134e-05,0.0004267466367482547,3.4429499645485615e-06,1.7069865469930274e-06
1,0,7,-10.0,-0.17359786690865228,-0.17769183727361362,8.380296674585168e-06,1,8,0.0,0.0,1,,0.00038853930185199785,0.001651005125481423,1.942696509259955e-05,8.255025627407143e-06
1,0,8,-13.0,-0.18080749195004384,-0.18062026861911049,1.752628782299855e-08,1,7,0.0,0.0,1,,-7.75653326944371e-06,-8.973200462721953e-06,-5.041746625138174e-07,-5.832580300770541e-08
1,0,9,-17.0,-0.1820896560953913,-0.18242110748032178,5.493001028635285e-08,1,7,0.0,0.0,1,,9.220046593908832e-06,-5.924020440922914e-06,7.837039604821724e-07,-5.035417374784015e-08
1,0,10,-22.0,-0.18910360027324252,-0.18402715463883018,1.2885150139569943e-05,1,6,7.325604682659067e-08,1.3481102845158688e-08,1,,-9.925670314589302e-05,9.394691860389065e-05,-1.0918237346050731e-05,1.0334161046425254e-06
1,0,11,-28.0,-0.18325624077139477,-0.1856017892881355,2.7507989221925946e-06,1,6,4.2804581054853504e-08,7.944606833509837e-09,1,,3.1424372833079686e-05,-6.347545133443582e-05,4.39941219663393e-06,-8.886563186822623e-07
1,0,12,-35.0,-0.18851263219399492,-0.18716342540666425,9.101794774888551e-07,1,5,3.6691246591319e-07,6.867259394471859e-08,1,,-1.074178570108584e-05,4.6054398947302646e-05,-1.879812497690369e-06,8.059519815780739e-07
1,0,13,-41.0,-0.1859119715816313,-0.18835474127124838,2.9835618782586484e-06,1,5,4.1330345987742653e-07,7.784769842644756e-08,1,,1.2564044447611612e-05,-8.210886657979897e-05,2.5756291117601725e-06,-1.6832317648858909e-06
1,0,14,-46.5,-0.18860935668510956,-0.18937167000974084,2.90560802454098e-07,1,5,1.402674800464462e-06,2.656268694445352e-07,1,,2.725339975251213e-06,-2.1939086363675425e-05,6.336415442462279e-07,-5.100837579553877e-07
2,0,0,-1.0,-0.008122387304030951,-0.007671783913230719,1.0152170790032332e-07,1,8,0.0,0.0,1,,-0.0005491455695984481,-2.850066634741943e-05,-2.732951169645979e-06,-1.4202155215010554e-08
2,0,1,-2.0,-0.02789442154196056,-0.03684821083871525,4.0085171385337874e-05,1,9,0.0,0.0,1,,0.028381545795382164,0.007859960849487015,0.0002824947812455949,7.833387655403232e-06
2,0,2,-3.0,-0.061296974539645534,-0.07875098484469974,0.00015232123786447036,1,9,0.0,0.0,1,,0.05351417094650304,0.04518561335329173,0.0007989773068067755,6.754927269133907e-05
2,0,3,-4.0,-0.10806108394883196,-0.11447419382394017,2.0563989135105033e-05,1,9,0.0,0.0,1,,0.013566896622402133,0.024297314854311382,0.000270075317331777,4.843033951031199e-05
2,0,4,-5.0,-0.13548126398906657,-0.13967575764885515,8.796888531004456e-06,1,8,0.0,0.0,1,,0.00541083558999821,0.015977800952025178,0.00013464143455860718,3.980945679463925e-05
2,0,5,-6.5,-0.15931503094253247,-0.16162741963883437,2.6735707413938205e-06,1,8,0.0,0.0,1,,0.001309067035689194,0.005822598726891034,4.234670577085997e-05,1.8859468902552783e-05
2,0,6,-8.0,-0.1716718651389106,-0.17200025014433476,5.3918355894255634e-08,1,8,0.0,0.0,1,,8.140629196740201e-05,0.000402897623523345,3.2410993829784305e-06,1.6061419800609093e-06
2,0,7,-10.0,-0.17359786690865228,-0.17768254153061858,8.342283383662076e-06,1,8,0.0,0.0,1,,0.00039058501471426614,0.0016549621092730572,1.9438375394525868e-05,8.246834815841477e-06
2,0,8,-13.0,-0.18080749195004384,-0.1806156869792677,1.839457340733048e-08,1,7,0.0,0.0,1,,-8.009475354288523e-06,-9.102418443827387e-06,-5.181933193029817e-07,-5.8965690624224365e-08
2,0,9,-17.0,-0.1820896560953913,-0.18241742627035681,5.3716643798645514e-08,1,7,0.0,0.0,1,,9.203959837973022e-06,-6.206976513792543e-06,7.786961442483188e-07,-5.258093012401695e-08
2,0,10,-22.0,-0.18910360027324252,-0.18402379464478968,1.2902212611428452e-05,1,6,4.636743428064765e-08,8.532711204267684e-09,1,,-0.0001004817469430532,9.822820632882396e-05,-1.1001559343932007e-05,1.0768572477189476e-06
2,0,11,-28.0,-0.18325624077139477,-0.1855989525498825,2.744149238532864e-06,1,6,4.2808628787365085e-08,7.945236663031707e-09,1,,3.1923937488047064e-05,-6.643068096251095e-05,4.448554043913846e-06,-9.268852614143447e-07
2,0,12,-35.0,-0.18851263219399492,-0.18716134851368846,9.129837923305713e-07,1,5,3.66594800375923e-07,6.861237719646418e-08,1,,-1.1022230235460041e-05,4.790110914927255e-05,-1.9199145979894204e-06,8.354353634603288e-07
2,0,13,-41.0,-0.1859119715816313,-0.1883531948440583,2.9797855085100466e-06,1,5,4.151539970000185e-07,7.819561415045584e-08,1,,1.2961270224057793e-05,-8.53452981557843e-05,2.6446963132867697e-06,-1.7436635837456404e-06
2,0,14,-46.5,-0.18860935668510956,-0.1893704881050648,2.89660519220438e-07,1,5,1.4075810096898362e-06,2.6655430285238424e-07,1,,2.8336133229063965e-06,-2.2921256714133596e-05,6.557494373733764e-07,-5.311175091423785e-07
3,1,0,-1.0,-0.008122387304030951,-0.004067261435742073,8.222022903832726e-06,1,9,0.0,0.0,1,,-0.005612011975032189,-0.00016632210549807626,-1.4621317435335104e-05,-4.190001937187661e-08
3,1,1,-2.0,-0.02789442154196056,-0.024262589905535908,6.59510051766811e-06,1,9,0.0,0.0,1,,-0.018666932644705928,-0.0038078789798074906,-9.726819862699932e-05,-1.918568822128588e-06
3,1,2,-3.0,-0.061296974539645534,-0.06324707613836672,1.901448122667599e-06,1,9,0.0,0.0,1,,0.01205316552171182,0.009283364724811062,9.420854408952376e-05,7.016021604120648e-06
3,1,3,-4.0,-0.10806108394883196,-0.10166005172162802,2.0486606786851877e-05,1,8,0.0,0.0,1,,-0.029814352283357597,-0.053704910291953054,-0.0003107086091785314,-5.4117563624126995e-05
3,1,4,-5.0,-0.13548126398906657,-0.13063430032223047,1.1746528393813261e-05,1,9,0.0,0.0,1,,-0.014270141994805379,-0.04362681707322878,-0.00018589436095435102,-5.4952541486517746e-05
3,1,5,-6.5,-0.15931503094253247,-0.15693817903134635,2.824712503853085e-06,1,9,0.0,0.0,1,,-0.0031924779999040814,-0.014355065712894527,-5.4064126007276624e-05,-2.3506219709933188e-05
3,1,6,-8.0,-0.1716718651389106,-0.16970007007123153,1.943987894458496e-06,1,8,0.0,0.0,1,,-0.00120257481099554,-0.005937522174272179,-2.5065132618435867e-05,-1.1966288828676728e-05
3,1,7,-10.0,-0.17359786690865228,-0.17673190437229175,4.9110954117435e-06,1,8,0.0,0.0,1,,0.0007418785705968408,0.002848999489755023,1.93286153476298e-05,7.1772259889158945e-06
3,1,8,-13.0,-0.18080749195004384,-0.18017893210243785,1.9754374101159665e-07,1,7,0.0,0.0,1,,-6.39031079742804e-05,-1.927428509736792e-06,-2.1643786938430693e-06,-6.312274556059486e-09
3,1,9,-17.0,-0.1820896560953913,-0.1820632363208854,3.490022424567311e-10,1,7,0.0,0.0,1,,-2.0960950974344542e-06,8.070054211447215e-06,-9.283843705610225e-08,3.456126445275917e-08
3,1,10,-22.0,-0.18910360027324252,-0.18367144185469816,1.4754172542078911e-05,1,7,0.0,0.0,1,,-0.00033034415593779186,0.0012128868457518226,-1.8934647563832277e-05,6.7221347876488286e-06
3,1,11,-28.0,-0.18325624077139477,-0.1852452378886918,1.9780547663081597e-06,1,7,0.0,0.0,1,,0.00010703587211225812,-0.0005447966625594566,7.808278592841402e-06,-3.8428790815583556e-06
3,1,12,-35.0,-0.18851263219399492,-0.1868159148562905,1.4394248620324696e-06,1,6,2.217284542590637e-08,4.142240495053073e-09,1,,-7.804051588095928e-05,0.0005331253796776926,-7.1163302253499345e-06,4.700690436928388e-06
3,1,13,-41.0,-0.1859119715816313,-0.1880107119082797,2.2023554793524265e-06,1,6,3.489185431960695e-08,6.5600423704292865e-09,1,,8.586351987205518e-05,-0.000724703653465043,9.171924296624255e-06,-7.4852887302807505e-06
3,1,14,-46.5,-0.18860935668510956,-0.18902209585328755,8.517681047353576e-08,1,5,8.263850818767818e-07,1.5620516924386152e-07,1,,1.5845995271378948e-05,-0.00014912645107177807,1.919731060930794e-06,-1.7469154470333182e-06
4,2,0,-1.0,-0.008122387304030951,-0.0037385183528252652,9.609153490672523e-06,1,9,0.0,0.0,1,,-0.006559441974062894,-0.00017354245944127693,-1.4666640492731204e-05,-3.2080064824768746e-08
4,2,1,-2.0,-0.02789442154196056,-0.023747219646588852,8.599641780488059e-06,1,9,0.0,0.0,1,,-0.02460114216092812,-0.004691718348872284,-0.00011001426926608425,-1.734568350085063e-06
4,2,2,-3.0,-0.061296974539645534,-0.06342180608477596,2.2574545475908275e-06,1,9,0.0,0.0,1,,0.015374181248444354,0.011565539781425513,0.0001031280969323172,6.4138182744918165e-06
4,2,3,-4.0,-0.10806108394883196,-0.10232612494229551,1.644487740332693e-05,1,9,0.0,0.0,1,,-0.03121333509555712,-0.057768030679360816,-0.00027916689635239223,-4.271466878963317e-05
4,2,4,-5.0,-0.13548126398906657,-0.13140600562876598,8.303865351598809e-06,1,8,0.0,0.0,1,,-0.013917793993609848,-0.046250937381735,-0.00015559805373942018,-4.274841656011113e-05
4,2,5,-6.5,-0.15931503094253247,-0.15758598528614465,1.4947994409357338e-06,1,8,0.0,0.0,1,,-0.0026335315812149067,-0.013782659049547197,-3.827503879511489e-05,-1.6560592040353165e-05
4,2,6,-8.0,-0.1716718651389106,-0.1701548376101325,1.1506862615327815e-06,1,8,0.0,0.0,1,,-0.0010247446455830965,-0.006105121087259448,-1.8330292574335228e-05,-9.028461662829646e-06
4,2,7,-10.0,-0.17359786690865228,-0.176993728460725,5.765937840418162e-06,1,8,0.0,0.0,1,,0.0008713554718077144,0.004180321005668612,1.94831473422773e-05,7.727501919815007e-06
4,2,8,-13.0,-0.18080749195004384,-0.18033295928737855,1.1259062396837845e-07,1,7,0.0,0.0,1,,-5.229732780649995e-05,-1.8227600641663153e-05,-1.520150557489083e-06,-4.380284776925052e-08
4,2,9,-17.0,-0.1820896560953913,-0.1822049731314127,6.649009398445801e-09,1,7,0.0,0.0,1,,9.111200407763548e-06,-2.434752723521104e-05,3.463285327054329e-07,-7.651265475451299e-08
4,2,10,-22.0,-0.18910360027324252,-0.18382402887359559,1.3936937081982762e-05,1,7,0.0,0.0,1,,-0.00033850180365578846,0.0013708979337102773,-1.665127219049819e-05,5.575159438844677e-06
4,2,11,-28.0,-0.18325624077139477,-0.18540425089839344,2.306973752844654e-06,1,6,0.0,0.0,1,,0.00011564709077661699,-0.0007006613359257384,7.240298902319113e-06,-3.626566732857112e-06
4,2,12,-35.0,-0.18851263219399492,-0.18696766006901996,1.1934694334739955e-06,1,6,0.0,0.0,1,,-6.968120654663792e-05,0.0006190491351847756,-5.45315018177031e-06,4.0051856805728305e-06
4,2,13,-41.0,-0.1859119715816313,-0.18815459985797622,2.5146907929333734e-06,1,6,0.0,0.0,1,,9.132771196926329e-05,-0.0009815795226450583,8.372404188456854e-06,-7.439415849921997e-06
4,2,14,-46.5,-0.18860935668510956,-0.18916616493349198,1.5501771273254446e-07,1,5,2.0500866283091666e-07,3.8780710476249425e-08,1,,2.1820497840104534e-05,-0.0002529963240500036,2.2687224047913324e-06,-2.174686473539552e-06
5,3,0,-1.0,-0.008122387304030951,-0.00364478416236613,1.002446494712324e-05,1,8,0.0,0.0,1,,-0.007669264669913519,-0.00018090779461165513,-1.4657328339748789e-05,-1.9070202242010835e-08
5,3,1,-2.0,-0.02789442154196056,-0.025049482374656762,4.046839432830105e-06,1,9,0.0,0.0,1,,-0.020285868896937686,-0.0035436126199968796,-7.753980436898031e-05,-7.470922905864517e-07
5,3,2,-3.0,-0.061296974539645534,-0.0668521478555293,1.542997528475391e-05,1,9,0.0,0.0,1,,0.047431897415146466,0.033117775715774664,0.0002719523673182567,1.0473225027055123e-05
5,3,3,-4.0,-0.10806108394883196,-0.10608183015240934,1.9587227953267372e-06,1,9,0.0,0.0,1,,-0.012358832553494915,-0.02305063982811454,-9.447970538463307e-05,-9.719434461594472e-06
5,3,4,-5.0,-0.13548126398906657,-0.1344420708173872,5.399612240322144e-07,1,8,0.0,0.0,1,,-0.004041687097907585,-0.01506222682799255,-3.8621913175690496e-05,-7.938842890696367e-06
5,3,5,-6.5,-0.15931503094253247,-0.15942053054033736,5.56508256856202e-09,1,8,0.0,0.0,1,,0.00017330331147431252,0.001222052892045725,2.152887364281965e-06,8.373391154125043e-07
5,3,6,-8.0,-0.1716718651389106,-0.17122202825758198,1.0117660990098494e-07,1,8,0.0,0.0,1,,-0.00031488982987689913,-0.0028152199445597137,-4.814483605407202e-06,-2.3741072655821334e-06
5,3,7,-10.0,-0.17359786690865228,-0.17754650378555256,7.795866592802918e-06,1,8,0.0,0.0,1,,0.0009982780012108437,0.008476918753330261,1.907886748973e-05,8.935853502726365e-06
5,3,8,-13.0,-0.18080749195004384,-0.18065535855415657,1.15722850721845e-08,1,7,0.0,0.0,1,,-1.5485883171323778e-05,-5.213922380266879e-05,-3.8475158865302523e-07,-7.145060876068279e-08
5,3,9,-17.0,-0.1820896560953913,-0.1824979496419004,8.335181006071268e-08,1,7,0.0,0.0,1,,2.6841425229273992e-05,2.716238217526135e-06,8.720785099522825e-07,4.8675990350418876e-09
5,3,10,-22.0,-0.18910360027324252,-0.1841202566113477,1.2416857026271552e-05,1,6,3.4455265879801246e-08,6.343912395401219e-09,1,,-0.0002192037301184955,0.00018953777607072172,-9.216620633985193e-06,4.3955829575166647e-07
5,3,11,-28.0,-0.18325624077139477,-0.18568200464383636,2.942165182421675e-06,1,6,3.028743053743873e-08,5.623830817702569e-09,1,,6.645437827828378e-05,-0.00031823101891929336,3.556171699754065e-06,-9.39287537598941e-07
5,3,12,-35.0,-0.18851263219399492,-0.18720724515664716,8.520176586370861e-07,1,5,2.5249632198775605e-07,4.726914085151357e-08,1,,-2.002415089738727e-05,0.00023512319835750924,-1.339439939433226e-06,8.674841423677521e-07
5,3,13,-41.0,-0.1859119715816313,-0.18837613306064135,3.036045897321225e-06,1,5,2.8352472697923365e-07,5.340930683828127e-08,1,,2.5241930304794925e-05,-0.00039371082367634026,1.9779144845809013e-06,-1.7016068709935077e-06
5,3,14,-46.5,-0.18860935668510956,-0.18938258063172544,2.989376358090075e-07,1,5,7.612108954591329e-07,1.4416008378703715e-07,1,,5.676360511990587e-06,-9.713790660277175e-05,5.044568387160616e-07,-4.7614553073263545e-07
6,4,0,-1.0,-0.008122387304030951,-0.003621857414819501,1.0127384641842714e-05,1,8,0.0,0.0,1,,-0.0076875517268704145,-0.0001813191364668685,-1.4649342057731349e-05,-1.915349992127246e-08
6,4,1,-2.0,-0.02789442154196056,-0.024898624825637566,4.487398982766331e-06,1,9,0.0,0.0,1,,-0.02136272961557985,-0.0037494740419891383,-8.141732102604219e-05,-7.92145298807714e-07
6,4,2,-3.0,-0.061296974539645534,-0.06661008408399806,1.4114566515145315e-05,1,9,0.0,0.0,1,,0.045516396954616505,0.03208827528552513,0.00026020713430507415,1.0168856803496482e-05
6,4,3,-4.0,-0.10806108394883196,-0.10586471329062788,2.4120220341099674e-06,1,9,0.0,0.0,1,,-0.013874712313808074,-0.025958743173021156,-0.00010575819915573381,-1.0968523124676216e-05
6,4,4,-5.0,-0.13548126398906657,-0.13429000140738753,7.095532692539712e-07,1,8,0.0,0.0,1,,-0.004652979060866144,-0.01751400622621396,-4.433341346623938e-05,-9.250389214605886e-06
6,4,5,-6.5,-0.15931503094253247,-0.15934852482477188,5.609200737543842e-10,1,8,0.0,0.0,1,,4.460775852792593e-05,0.0003666152180559198,5.525274087367888e-07,2.517261578975915e-07
6,4,6,-8.0,-0.1716718651389106,-0.17118889912374424,1.1662808590203663e-07,1,8,0.0,0.0,1,,-0.00034013677879820236,-0.003031307622731632,-5.1852971620218744e-06,-2.561677777412198e-06
