phi_applied,target_current_density,simulated_current_density
-1,-0.008122387304030951,-0.003641426925026644
-2,-0.02789442154196056,-0.02514098726099356
-3,-0.06129697453964553,-0.06708940545641399
-4,-0.108061083948832,-0.1063555850996396
-5,-0.1354812639890666,-0.134678440090378
-6.5,-0.1593150309425325,-0.1595691655185199
-8,-0.1716718651389106,-0.1713043531842338
-10,-0.1735978669086523,-0.1775839297046924
-13,-0.1808074919500438,-0.1806736573997278
-17,-0.1820896560953913,-0.1825127027892112
-22,-0.1891036002732425,-0.1841333089238828
-28,-0.1832562407713948,-0.1856916444212524
-35,-0.1885126321939949,-0.1872131768957339
-41,-0.1859119715816313,-0.1883803643810662
-46.5,-0.1886093566851096,-0.1893857797258694
