evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1
1,0,0,-1.0,-0.002547038291970156,-0.0023587991448671825,1.7716988251027887e-08,1,10,3.0936866928191907e-06,7.297408101403224e-09,1,,-4.250581894587626e-05,-9.504459998704271e-07
1,0,1,-2.357142857142857,-0.0015910135898789942,-0.007737466626196378,1.8889481408740777e-05,1,10,5.76724949146047e-06,4.4624157823774935e-08,1,,0.004544722703838593,0.00019989171158851218
1,0,2,-3.7142857142857144,-0.003919789285705239,-0.01856340274457293,0.00010721790258131775,1,11,3.7135449418329163e-06,6.893628636331361e-08,1,,0.024640424385850783,0.0022250651883304376
1,0,3,-5.071428571428571,-0.003698291559970565,-0.03968201961344908,0.0006474145144511742,1,12,1.0534939057254845e-06,4.1804809870760185e-08,1,,0.11515334502191531,0.022476131372326475
1,0,4,-6.428571428571429,-0.010269476269019893,-0.07523461710785756,0.0021102324044882763,1,11,2.639199926550713e-07,1.9855924834888405e-08,1,,0.3129053501391087,0.14454450533135407
1,0,5,-7.7857142857142865,-0.024762917691254632,-0.12226663817140926,0.004753458705251428,1,11,4.692356987202888e-06,5.737187139254196e-07,1,,0.5145117980389654,0.6352691433173159
1,0,6,-9.142857142857142,-0.05388044265733569,-0.1704091606171076,0.0067893309120122805,1,10,9.341741732899054e-06,1.5919183674051318e-06,1,,0.48597036112299746,1.770826333397178
1,0,7,-10.5,-0.09531488487184651,-0.21366894875922113,0.007003663290497277,1,10,2.229416087007138e-06,4.763569916577115e-07,1,,0.30727017669158024,3.343366940823931
1,0,8,-11.857142857142858,-0.13981812041502212,-0.2543140948902393,0.00655461931302001,1,11,3.4500905053769224e-06,8.774096713071167e-07,1,,0.1623446173789769,4.791504170563399
1,0,9,-13.214285714285715,-0.1670837793784777,-0.29445485528541837,0.008111699064959968,1,11,4.0866787746999716e-06,1.2033473248962423e-06,1,,0.09222177049742437,6.208833931507229
1,0,10,-14.571428571428573,-0.1997499794558106,-0.3311135680157236,0.008628210223451142,1,11,1.903362169142822e-06,6.30230238607421e-07,1,,0.04632052315438844,5.849183083531414
1,0,11,-15.928571428571429,-0.2221304965081713,-0.35970429792542086,0.009463299343868716,1,10,1.8967754906704467e-06,6.822795903249634e-07,1,,0.02264325628497085,4.527624463257391
1,0,12,-17.285714285714285,-0.25324175820363737,-0.3787790780267445,0.007879818572667355,1,10,5.886633737098114e-07,2.2297350121824877e-07,1,,0.009316466582482355,2.613780248123443
1,0,13,-18.642857142857142,-0.28612320454239415,-0.39011263582906597,0.00540691888058161,1,9,9.87991596833404e-07,3.8542838681765446e-07,1,,0.0033981605364154935,1.240628449831135
1,0,14,-20.0,-0.31760118637704415,-0.3963727136562428,0.003102469906793608,1,9,0.0,0.0,1,,0.0011174343910130755,0.5086275048376004
2,0,0,-1.0,-0.002547038291970156,-0.0021133867528601497,9.402682868623963e-08,1,10,2.8976137859868026e-06,6.123796334606135e-09,1,,-9.85157463902152e-05,-1.964684034257772e-06
2,0,1,-2.357142857142857,-0.0015910135898789942,-0.006947536690765929,1.4346198942841867e-05,1,10,5.4442125748100206e-06,3.782407253811321e-08,1,,0.003994218356821146,0.00015674151618668807
2,0,2,-3.7142857142857144,-0.003919789285705239,-0.016748432099154453,8.228719460106423e-05,1,11,3.684758571990772e-06,6.171415614653064e-08,1,,0.02198898080830122,0.001765682756815445
2,0,3,-5.071428571428571,-0.003698291559970565,-0.03614747711559035,0.0005264750592552198,1,12,1.3093433210917983e-06,4.732951970620736e-08,1,,0.1079112639025792,0.018603029563422184
2,0,4,-6.428571428571429,-0.010269476269019893,-0.06963255883447918,0.0017619863001088183,1,12,4.2165241017084043e-07,2.9360736258920994e-08,1,,0.3074780025700862,0.12404908795373341
2,0,5,-7.7857142857142865,-0.024762917691254632,-0.11537844604249549,0.004105565066786949,1,11,4.0331965284951965e-06,4.6534394804176316e-07,1,,0.5366332394606373,0.5726247684352697
2,0,6,-9.142857142857142,-0.05388044265733569,-0.16330615556079817,0.005986873734063237,1,10,9.712275499099182e-06,1.5860743735052196e-06,1,,0.531245377786739,1.6746400523827119
2,0,7,-10.5,-0.09531488487184651,-0.2062079688916228,0.006148288130802724,1,9,8.347665391440663e-06,1.7213551253558723e-06,1,,0.3423420691298879,3.290627320466915
2,0,8,-11.857142857142858,-0.13981812041502212,-0.24588197670450967,0.0056246571569511005,1,10,5.785945974623966e-06,1.4226680648266044e-06,1,,0.18053561319797964,4.899925768156216
2,0,9,-13.214285714285715,-0.1670837793784777,-0.28547216871523307,0.007007899340724451,1,11,4.3646001873975215e-06,1.2459773192641244e-06,1,,0.10356045372860351,6.745137331556672
2,0,10,-14.571428571428573,-0.1997499794558106,-0.32304931745357984,0.007601377199216638,1,11,2.4430586719770153e-06,7.892303646173104e-07,1,,0.05294491929879525,6.793364349935475
2,0,11,-15.928571428571429,-0.2221304965081713,-0.35372046367683624,0.008657987603821457,1,10,2.5360385123069722e-06,8.97050993431403e-07,1,,0.0266018754938846,5.616641995537637
2,0,12,-17.285714285714285,-0.25324175820363737,-0.3749679113982877,0.007408639202328816,1,10,7.77232553440493e-07,2.9143749374904715e-07,1,,0.011173081625194184,3.395669692209255
2,0,13,-18.642857142857142,-0.28612320454239415,-0.3879189681863994,0.005181182232059882,1,10,0.0,0.0,1,,0.004133374829861599,1.6597899900710267
2,0,14,-20.0,-0.31760118637704415,-0.3951830939496825,0.0030094678682435205,1,9,0.0,0.0,1,,0.001371192984377237,0.6922337964732588
3,1,0,-1.0,-0.002547038291970156,-0.00026203604415364385,2.6106176362632613e-06,1,7,6.464748144121209e-06,1.6940079814700866e-09,1,,-0.0005447361795715742,-1.285079224968761e-06
3,1,1,-2.357142857142857,-0.0015910135898789942,-0.0008765197458140064,2.552501893006894e-07,1,8,5.516199520525328e-06,4.835084472880856e-09,1,,-0.0005663317183160412,-2.658425988772619e-06
