evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,grad_0,effective_k0_0,k0_1,grad_1,effective_k0_1
1,0,0.06812637450931529,0.08448590753662608,0,0,0.01,1.9645813343935878,0.01,0.001,30.98915169087741,0.001
2,0,0.06116774604710063,0.0802263045627816,0,0,0.009010810222175569,2.065900120755918,0.009010810222175569,0.0008484863133918822,34.71121030202551,0.0008484863133918822
3,1,0.000493485696444133,0.0021088082754910763,0,0,0.0013749624997858318,0.012573600211425204,0.0013749624997858318,3.6387721911549415e-05,-25.164548955181832,3.6387721911549415e-05
4,2,0.00043308155068720085,0.0008139229202186035,0,0,0.001371940514944029,0.06175184288002946,0.001371940514944029,4.002353327316496e-05,-8.574445282596734,4.002353327316496e-05
5,3,0.00042272964070671815,6.029054424522901e-05,0,0,0.001345400911571295,-0.01046423953312186,0.001345400911571295,4.2486328914720024e-05,0.5196223493392438,4.2486328914720024e-05
6,4,0.00042267460388404563,2.284373981349752e-06,0,0,0.0013485615484813706,0.0007254731357753882,0.0013485615484813706,4.2328255202604145e-05,0.0038880912829863945,4.2328255202604145e-05
7,5,0.00042267470732339126,2.9118878725204926e-07,0,0,0.0013483809173725854,-7.95946396692079e-05,0.0013483809173725854,4.232760861016353e-05,-0.0015802689953936522,4.232760861016353e-05
8,5,0.00042267460908530416,1.9409291601855182e-06,0,0,0.0013485372491584143,0.000617191429889306,0.0013485372491584143,4.232816822449848e-05,0.003152529844655305,4.232816822449848e-05
9,5,0.00042267460453143126,2.2296407836653266e-06,0,0,0.0013485576765418265,0.0007082195019993522,0.0013485576765418265,4.2328241343299985e-05,0.003770890110088132,4.2328241343299985e-05
10,5,0.00042267460398519286,2.2754283787327547e-06,0,0,0.001348560915631643,0.0007226532432508337,0.001348560915631643,4.2328252937370564e-05,0.0038689395859847764,4.2328252937370564e-05
11,5,0.00042267460390055933,2.2829060901985103e-06,0,0,0.0013485614446265472,0.0007250103961445806,0.0013485614446265472,4.232825483086444e-05,0.003884952996195068,4.232825483086444e-05
12,5,0.0004226746038867635,2.2841334254554986e-06,0,0,0.0013485615314358741,0.0007253973016588429,0.0013485615314358741,4.2328255141591196e-05,0.0038875771873971843,4.2328255141591196e-05
13,5,0.00042267460388449037,2.2843342857350773e-06,0,0,0.0013485615456858941,0.00072546058238733,0.0013485615456858941,4.2328255192598e-05,0.003888013934465917,4.2328255192598e-05
14,5,0.00042267460388410944,2.2843672912085286e-06,0,0,0.001348561548022697,0.0007254710323348831,0.001348561548022697,4.232825520096234e-05,0.003888075924177059,4.232825520096234e-05
15,5,0.0004226746038840692,2.284373752781915e-06,0,0,0.0013485615484039673,0.0007254730400220021,0.0013485615484039673,4.232825520232705e-05,0.0038880952891044984,4.232825520232705e-05
16,5,0.0004226746038840802,2.2843740738788936e-06,0,0,0.0013485615484707869,0.0007254731572154229,0.0013485615484707869,4.232825520256623e-05,0.003888092946372268,4.232825520256623e-05
17,5,0.0004226746054014546,2.184177846273281e-06,0,0,0.0013485545533941956,0.0006940964340923601,0.0013485545533941956,4.2328218268431546e-05,0.003633229573129171,4.2328218268431546e-05
18,5,0.0004226746041030639,2.2689161629153156e-06,0,0,0.001348560469417025,0.0007206331269772517,0.001348560469417025,4.232824950513749e-05,0.0038487823049777603,4.232824950513749e-05
19,5,0.0004226746039177569,2.281970812318728e-06,0,0,0.001348561380826461,0.0007247206690351067,0.001348561380826461,4.232825431738538e-05,0.003881984763493662,4.232825431738538e-05
20,5,0.00042267460388931247,2.2840014055926084e-06,0,0,0.0013485615224123372,0.0007253564632335669,0.0013485615224123372,4.232825506495953e-05,0.0038871472371795335,4.232825506495953e-05
21,5,0.0004226746038848667,2.2843165274517525e-06,0,0,0.001348561544433915,0.0007254551120695896,0.001348561544433915,4.2328255181233564e-05,0.003887951759821817,4.2328255181233564e-05
22,5,0.00042267460388414885,2.2843650549410847e-06,0,0,0.0013485615478536607,0.000725470336552775,0.0013485615478536607,4.23282551992898e-05,0.0038880694055443143,4.23282551992898e-05
23,5,0.00042267460388407366,2.2843732781173767e-06,0,0,0.0013485615483789291,0.0007254729084784986,0.0013485615483789291,4.2328255202063284e-05,0.003888090847272707,4.2328255202063284e-05
24,5,0.0004226746038840701,2.2843752602579234e-06,0,0,0.0013485615484668085,0.0007254735299534725,0.0013485615484668085,4.2328255202527275e-05,0.0038880957298790264,4.2328255202527275e-05
