noise_percent,seed,k0_1_true,k0_2_true,k0_1_est,k0_2_est,k0_1_true_phys,k0_2_true_phys,k0_1_est_phys,k0_2_est_phys,rel_err_k0_1,rel_err_k0_2,final_loss,optimizer_success,elapsed_seconds
0.0,20260304,0.0011428571428571427,4.7619047619047614e-05,0.0011436317353152807,4.7603103566043035e-05,2.4e-08,1e-09,2.4016266441620896e-08,9.996651748869038e-10,0.0006777684008706901,0.0003348251130961549,2.0358101427500348e-09,True,118.46876907348633
2.0,20260304,0.0011428571428571427,4.7619047619047614e-05,0.0012190066686654734,4.546762005244507e-05,2.4e-08,1e-09,2.5599140041974944e-08,9.548200211013464e-10,0.06663083508228933,0.04517997889865347,6.816211966399469e-05,True,45.741822957992554
2.0,20261304,0.0011428571428571427,4.7619047619047614e-05,0.0011398835781368704,4.808170538122411e-05,2.4e-08,1e-09,2.393755514087428e-08,1.0097158130057064e-09,0.0026018691302383172,0.009715813005706416,4.68647196187911e-05,True,45.72144317626953
2.0,20262304,0.0011428571428571427,4.7619047619047614e-05,0.001148707198855802,4.603209126634385e-05,2.4e-08,1e-09,2.4122851175971845e-08,9.666739165932209e-10,0.005118798998826819,0.03332608340677904,6.816434557457051e-05,True,109.10639810562134
5.0,20260304,0.0011428571428571427,4.7619047619047614e-05,0.0013485615484813706,4.2328255202604145e-05,2.4e-08,1e-09,2.8319792518108787e-08,8.888933592546871e-10,0.17999135492119944,0.11110664074531286,0.00042267460388404563,False,154.39361119270325
5.0,20261304,0.0011428571428571427,4.7619047619047614e-05,0.00113563840999795,4.8767429376222066e-05,2.4e-08,1e-09,2.3848406609956955e-08,1.0241160169006635e-09,0.00631639125179355,0.024116016900663513,0.00029304861858011716,True,46.45338702201843
5.0,20262304,0.0011428571428571427,4.7619047619047614e-05,0.001157784721776509,4.374930143288664e-05,2.4e-08,1e-09,2.4313479157306692e-08,9.187353300906194e-10,0.013061631554445518,0.08126466990938051,0.0004262488377683191,True,40.1740300655365
10.0,20260304,0.0011428571428571427,4.7619047619047614e-05,0.0016100974464392176,3.732306085156516e-05,2.4e-08,1e-09,3.381204637522357e-08,7.837842778828684e-10,0.4088352656343156,0.2162157221171315,0.001669206528733851,True,46.763020038604736
10.0,20261304,0.0011428571428571427,4.7619047619047614e-05,0.0011280564557279954,4.991031340115321e-05,2.4e-08,1e-09,2.3689185570287905e-08,1.0481165814242174e-09,0.012950601238003926,0.048116581424217514,0.0011724482632412554,True,46.93662166595459
10.0,20262304,0.0011428571428571427,4.7619047619047614e-05,0.0011724660490138284,4.024305594316843e-05,2.4e-08,1e-09,2.4621787029290398e-08,8.45104174806537e-10,0.025907792887099983,0.15489582519346295,0.0017063023433545473,True,46.82765793800354
