evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1
1,0,0,-1.0,-0.007374144457341952,-0.00606437289877288,8.577507678182366e-07,1,9,0.0,0.0,1,,-0.0021805724257268435,0.00011388114370739481
1,0,1,-2.0,-0.027210802909530558,-0.035226519642610914,3.21258573724926e-05,1,10,0.0,0.0,1,,0.04198463812727777,-0.030005552484759675
1,0,2,-3.0,-0.06202917813359604,-0.07745564332735137,0.00011898791418707717,1,9,0.0,0.0,1,,0.08644022910867981,-0.38498275306268814
1,0,3,-4.0,-0.10795054015085055,-0.1091948840212261,7.741958338704566e-07,1,9,0.0,0.0,1,,0.006283551060127194,-0.08016993043427532
1,0,4,-5.0,-0.13557069797477647,-0.12765661898447273,3.131632313238051e-05,1,9,0.0,0.0,1,,-0.039776415521663916,0.8454600765844552
1,0,5,-6.0,-0.1532335800100144,-0.13723274656679957,0.00012801333543875043,1,9,0.0,0.0,1,,-0.0820163820268366,2.163244764717656
1,0,6,-7.0,-0.16525636708079586,-0.14226373617324284,0.00026433053802546333,1,9,0.0,0.0,1,,-0.11838436555715096,3.3898294162718763
1,0,7,-8.0,-0.168345056302483,-0.14535007231366054,0.0002643846443230925,1,8,0.0,0.0,1,,-0.1164301386313441,3.4344258217693437
1,0,8,-9.0,-0.17577828688927494,-0.14766772887027613,0.0003951017360697507,1,9,0.0,0.0,1,,-0.13804193319972632,4.114908185286243
1,0,9,-10.0,-0.177500655837663,-0.14966437933166216,0.0003874291448592356,1,9,0.0,0.0,1,,-0.13160444656552794,3.937820335944928
2,0,0,-1.0,-0.007374144457341952,-0.006104718257975945,8.057214378184214e-07,1,9,0.0,0.0,1,,-0.002108400842348717,0.00011111269763261352
2,0,1,-2.0,-0.027210802909530558,-0.03535381994187428,3.315436319452039e-05,1,10,0.0,0.0,1,,0.04236568267546863,-0.03050997255492321
2,0,2,-3.0,-0.06202917813359604,-0.077610543075401,0.0001213894667248591,1,9,0.0,0.0,1,,0.08652434694195761,-0.38810950178449294
2,0,3,-4.0,-0.10795054015085055,-0.10937453191271064,1.013876268922541e-06,1,9,0.0,0.0,1,,0.0071095855995936446,-0.09160004427180682
2,0,4,-5.0,-0.13557069797477647,-0.12787276837094247,2.9629060092788974e-05,1,9,0.0,0.0,1,,-0.038180120976943434,0.8222580948588782
2,0,5,-6.0,-0.1532335800100144,-0.1374772972942628,0.00012413022250934555,1,9,0.0,0.0,1,,-0.07964713225171825,2.1331584791857905
2,0,6,-7.0,-0.16525636708079586,-0.14252012406094505,0.00025846837332883956,1,9,0.0,0.0,1,,-0.11543971660098591,3.3599537365345498
2,0,7,-8.0,-0.168345056302483,-0.14560622594055916,0.00025852720311416653,1,8,0.0,0.0,1,,-0.11353556716790301,3.4056680121633587
2,0,8,-9.0,-0.17577828688927494,-0.1479175958098194,0.0003881090537124285,1,9,0.0,0.0,1,,-0.13491045585996223,4.0902630193986615
2,0,9,-10.0,-0.177500655837663,-0.1499054279109853,0.0003807483021626152,1,9,0.0,0.0,1,,-0.12863832717662443,3.915096672069666
3,1,0,-1.0,-0.007374144457341952,-0.0076926296626694994,5.071641300626293e-08,1,9,0.0,0.0,1,,0.0004805654070110131,-3.475552707308645e-05
3,1,1,-2.0,-0.027210802909530558,-0.03998699454462494,8.161553634832846e-05,1,10,0.0,0.0,1,,0.05209601696873636,-0.048985443721280636
3,1,2,-3.0,-0.06202917813359604,-0.08309793530162429,0.0002219462643026775,1,9,0.0,0.0,1,,0.08435381193014248,-0.4879932450284391
3,1,3,-4.0,-0.10795054015085055,-0.11570578197880403,3.0071887905018753e-05,1,8,0.0,0.0,1,,0.025581922330144936,-0.47270968819881903
3,1,4,-5.0,-0.13557069797477647,-0.1356196300121151,1.197172139073736e-09,1,9,0.0,0.0,1,,0.0001173215192701729,-0.004881410264769562
3,1,5,-6.0,-0.1532335800100144,-0.14647993983047683,2.2805827837331853e-05,1,9,0.0,0.0,1,,-0.019385829027293782,0.9885412910497359
3,1,6,-7.0,-0.16525636708079586,-0.15215379117345829,8.58387477037613e-05,1,9,0.0,0.0,1,,-0.03750967076680613,2.2103104016542234
3,1,7,-8.0,-0.168345056302483,-0.15533144024841194,8.46771014013833e-05,1,8,0.0,0.0,1,,-0.036688939251013936,2.289038220823549
3,1,8,-9.0,-0.17577828688927494,-0.1574391746260534,0.00016816151930152247,1,8,0.0,0.0,1,,-0.05015827583869949,3.1983176729866183
3,1,9,-10.0,-0.177500655837663,-0.15909459872351717,0.0001693914692445783,1,9,0.0,0.0,1,,-0.04837342260149661,3.110589299186168
4,2,0,-1.0,-0.007374144457341952,-0.00783082235261371,1.0427735001491849e-07,1,9,0.0,0.0,1,,0.0006836348752950533,-5.069939594930745e-05
4,2,1,-2.0,-0.027210802909530558,-0.04040598278317334,8.70563859488944e-05,1,10,0.0,0.0,1,,0.05275485647248841,-0.05081989196541265
4,2,2,-3.0,-0.06202917813359604,-0.0838241835539797,0.00023751113063728347,1,9,0.0,0.0,1,,0.08433470656086481,-0.5079805364828981
4,2,3,-4.0,-0.10795054015085055,-0.1169939717377025,4.089182743303475e-05,1,8,0.0,0.0,1,,0.027810304417059645,-0.56467290917208
4,2,4,-5.0,-0.13557069797477647,-0.13766266449831524,2.1881619678042534e-06,1,9,0.0,0.0,1,,0.005410337423424397,-0.23559363182069754
4,2,5,-6.0,-0.1532335800100144,-0.1492169661410384,8.066593486224971e-06,1,9,0.0,0.0,1,,-0.009873368096263534,0.6460669899603858
4,2,6,-7.0,-0.16525636708079586,-0.15531724427333965,4.939308109084036e-05,1,9,0.0,0.0,1,,-0.02415331141188944,1.906748991855721
4,2,7,-8.0,-0.168345056302483,-0.1586466242965243,4.702979168709867e-05,1,8,0.0,0.0,1,,-0.023231497951515905,1.9816496031389215
4,2,8,-9.0,-0.17577828688927494,-0.16073612340089372,0.0001131333412055954,1,8,0.0,0.0,1,,-0.035014140182708216,3.079136572773753
4,2,9,-10.0,-0.177500655837663,-0.16229374964220433,0.00011562499801872233,1,9,0.0,0.0,1,,-0.034035802865772305,3.0293973373903857
5,3,0,-1.0,-0.007374144457341952,-0.006854377551918527,1.3507881798672502e-07,1,8,0.0,0.0,1,,-0.000830372445821146,5.088722670453536e-05
5,3,1,-2.0,-0.027210802909530558,-0.03783877724069031,5.647691919189583e-05,1,10,0.0,0.0,1,,0.049212509691414566,-0.041076617655738834
5,3,2,-3.0,-0.06202917813359604,-0.08179904252695287,0.00019542376906586532,1,9,0.0,0.0,1,,0.09015095876421168,-0.5060201920263353
5,3,3,-4.0,-0.10795054015085055,-0.11653911286570036,3.688179063913034e-05,1,9,0.0,0.0,1,,0.029786110749237323,-0.6242725048167448
5,3,4,-5.0,-0.13557069797477647,-0.13894416848334096,5.6901516360784756e-06,1,9,0.0,0.0,1,,0.009019038925766519,-0.4715076182578483
5,3,5,-6.0,-0.1532335800100144,-0.152019978228686,7.364146418216985e-07,1,9,0.0,0.0,1,,-0.0028137267396176565,0.25843491281042924
5,3,6,-7.0,-0.16525636708079586,-0.15915605656748136,1.8606894179422967e-05,1,9,0.0,0.0,1,,-0.01358163439020992,1.677307917230824
5,3,7,-8.0,-0.168345056302483,-0.16298563554198361,1.4361695444033993e-05,1,9,0.0,0.0,1,,-0.01170861314051276,1.6543884813115017
5,3,8,-9.0,-0.17577828688927494,-0.16519989837544322,5.595115177478403e-05,1,7,0.0,0.0,1,,-0.022563668727858643,3.3733685215784317
5,3,9,-10.0,-0.177500655837663,-0.16668818857605047,5.845472414170907e-05,1,9,0.0,0.0,1,,-0.022246877036306848,3.4040385680448377
6,4,0,-1.0,-0.007374144457341952,-0.004096079437427134,5.372855137394589e-06,1,9,0.0,0.0,1,,-0.006239409563890013,0.00019452004033564214
6,4,1,-2.0,-0.027210802909530558,-0.02867057540232303,1.0654678653568442e-06,1,10,0.0,0.0,1,,0.01108550657586105,-0.005278693655440935
6,4,2,-3.0,-0.06202917813359604,-0.07261033109393407,5.598039898503841e-05,1,9,0.0,0.0,1,,0.09099122913570808,-0.35075463572889226
6,4,3,-4.0,-0.10795054015085055,-0.11065427931134743,3.6551027240018767e-06,1,9,0.0,0.0,1,,0.01743408671201187,-0.29503572705372605
6,4,4,-5.0,-0.13557069797477647,-0.13641599093788132,3.572600967376115e-07,1,9,0.0,0.0,1,,0.003867682910073943,-0.19638773983402544
6,4,5,-6.0,-0.1532335800100144,-0.15223659956909658,4.969849997863084e-07,1,9,0.0,0.0,1,,-0.0034403728908969137,0.3904718091173864
6,4,6,-7.0,-0.16525636708079586,-0.16137494683277506,7.532711570869888e-06,1,9,0.0,0.0,1,,-0.0114334160263227,2.185220069815835
6,4,7,-8.0,-0.168345056302483,-0.16642675909630772,1.839932085609259e-06,1,9,0.0,0.0,1,,-0.005272335660107365,1.3419488588992143
6,4,8,-9.0,-0.17577828688927494,-0.169212716432591,2.15533577108408e-05,1,8,0.0,0.0,1,,-0.017570309436303156,5.1285554711263
6,4,9,-10.0,-0.177500655837663,-0.1708641835279827,2.2021382358569226e-05,1,8,0.0,0.0,1,,-0.017268472373992896,5.354505257287447
7,5,0,-1.0,-0.007374144457341952,-0.003006288164813209,9.539084296091496e-06,1,9,0.0,0.0,1,,-0.008867491194052357,0.00019101105864526076
7,5,1,-2.0,-0.027210802909530558,-0.023879954257343815,5.547276371886959e-06,1,10,0.0,0.0,1,,-0.03278953243019713,0.011053201143969483
7,5,2,-3.0,-0.06202917813359604,-0.06706635269740743,1.2686563793155816e-05,1,9,0.0,0.0,1,,0.061869910480338935,-0.18879714340915918
7,5,3,-4.0,-0.10795054015085055,-0.10673705509353179,7.362729921680932e-07,1,9,0.0,0.0,1,,-0.011356100883627753,0.16407652869022835
7,5,4,-5.0,-0.13557069797477647,-0.13425911620868988,8.601233645648985e-07,1,8,0.0,0.0,1,,-0.008494948517571212,0.39737876304516284
7,5,5,-6.0,-0.1532335800100144,-0.15151200958511118,1.4819023639506473e-06,1,9,0.0,0.0,1,,-0.007849813055814562,0.9186362991152583
7,5,6,-7.0,-0.16525636708079586,-0.16174426266893785,6.1674386998935125e-06,1,9,0.0,0.0,1,,-0.012494053599829172,2.8319095127485165
7,5,7,-8.0,-0.168345056302483,-0.16756484276906863,3.0436657886118665e-07,1,9,0.0,0.0,1,,-0.00236284080946037,0.815115334869943
7,5,8,-9.0,-0.17577828688927494,-0.17080669650106128,1.235835549408947e-05,1,8,0.0,0.0,1,,-0.0146515113975667,6.256331693138293
7,5,9,-10.0,-0.177500655837663,-0.17266639728045644,1.1685027898956956e-05,1,8,2.5579288696850004e-07,4.416684754038336e-08,1,,-0.013825526926798913,6.550518276204694
8,6,0,-1.0,-0.007374144457341952,-0.002909914767097038,9.96467336363213e-06,1,9,0.0,0.0,1,,-0.009115066593557736,0.00018902971549809681
8,6,1,-2.0,-0.027210802909530558,-0.023407512549239305,7.232508782341998e-06,1,10,0.0,0.0,1,,-0.038410834778326554,0.012484485559939753
8,6,2,-3.0,-0.06202917813359604,-0.06649368659655679,9.965917907925452e-06,1,9,0.0,0.0,1,,0.05688410479565297,-0.16939412491039738
8,6,3,-4.0,-0.10795054015085055,-0.10635134582704547,1.2787112426453682e-06,1,9,0.0,0.0,1,,-0.01553260689627695,0.2212735300357801
8,6,4,-5.0,-0.13557069797477647,-0.13410064534545377,1.0805273664887272e-06,1,8,0.0,0.0,1,,-0.00981313827504782,0.45899601642218124
8,6,5,-6.0,-0.1532335800100144,-0.15156582004356267,1.3907116528494667e-06,1,9,0.0,0.0,1,,-0.00770209154126776,0.9245269198371977
8,6,6,-7.0,-0.16525636708079586,-0.16198942870546865,5.3364431740902585e-06,1,9,0.0,0.0,1,,-0.011401353782446316,2.7592954149257833
8,6,7,-8.0,-0.168345056302483,-0.16797015264190024,7.027637735904323e-08,1,8,0.0,0.0,1,,-0.001097273423766462,0.4209410257612075
8,6,8,-9.0,-0.17577828688927494,-0.17132403586081915,9.92017611224996e-06,1,8,0.0,0.0,1,,-0.012407604235979024,6.08882828574059
8,6,9,-10.0,-0.177500655837663,-0.17324305746325236,9.063571958887229e-06,1,8,0.0,0.0,1,,-0.01146011276615006,6.358908462290875
9,7,0,-1.0,-0.007374144457341952,-0.0029694623867784443,9.700612071371844e-06,1,8,0.0,0.0,1,,-0.008969718886732134,0.00019023903700917096
9,7,1,-2.0,-0.027210802909530558,-0.02370400520503896,6.148815070113593e-06,1,10,0.0,0.0,1,,-0.034862565104272616,0.011594653097687055
9,7,2,-3.0,-0.06202917813359604,-0.06689160044479847,1.1821575366241109e-05,1,9,0.0,0.0,1,,0.060511438000229865,-0.18347094772026618
9,7,3,-4.0,-0.10795054015085055,-0.10674441510256899,7.273688160462336e-07,1,9,0.0,0.0,1,,-0.011368533566055234,0.16547206220879135
9,7,4,-5.0,-0.13557069797477647,-0.13454481121561376,5.26221821312284e-07,1,8,0.0,0.0,1,,-0.006540520925650636,0.3186300817453392
9,7,5,-6.0,-0.1532335800100144,-0.1521483348186041,5.888785627395473e-07,1,9,0.0,0.0,1,,-0.004612351295975462,0.6047596321679225
9,7,6,-7.0,-0.16525636708079586,-0.16278238482489818,3.0602941012463585e-06,1,9,0.0,0.0,1,,-0.007447229874611684,2.1448072858757974
9,7,7,-8.0,-0.168345056302483,-0.1690017492417455,2.1562280823883956e-07,1,8,0.0,0.0,1,,0.0015384811214390688,-0.7844400671935917
