evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1
1,0,0,-1.0,-0.008122387304030951,-0.00606437289877288,2.1177116461248202e-06,1,9,0.0,0.0,1,,-0.0034813193319260757,0.00017842243765086888
1,0,1,-2.0,-0.02789442154196056,-0.035226519642610914,2.6879831278778998e-05,1,10,0.0,0.0,1,,0.03840398753104607,-0.0274465355636247
1,0,2,-3.0,-0.061296974539645534,-0.07745564332737954,0.00013055128849584577,1,9,0.0,0.0,1,,0.09054303844121431,-0.4032556202220518
1,0,3,-4.0,-0.10806108394883196,-0.10919488490287857,6.427523016984699e-07,1,9,0.0,0.0,1,,0.005723002497473303,-0.07308273691423021
1,0,4,-5.0,-0.13548126398906657,-0.12765662489329133,3.061248848956504e-05,1,9,0.0,0.0,1,,-0.039327926580080996,0.8359546224300183
1,0,5,-6.5,-0.15931503094253247,-0.14011203673632858,0.00018437749324173833,1,9,0.0,0.0,1,,-0.09894555406262605,2.7466540193694695
1,0,6,-8.0,-0.1716718651389106,-0.1453501170401788,0.0003464172114865019,1,9,0.0,0.0,1,,-0.13326403456042069,3.9308998187800235
1,0,7,-10.0,-0.17359786690865228,-0.14966439020823094,0.0002864056534848388,1,9,0.0,0.0,1,,-0.11315255111665476,3.3857055648261016
1,0,8,-13.0,-0.18080749195004384,-0.1548487549207317,0.0003369280140785059,1,9,0.0,0.0,1,,-0.10748650928950045,3.223640518459852
1,0,9,-17.0,-0.1820896560953913,-0.16058680614520945,0.00023118627799000564,1,8,0.0,0.0,1,,-0.07318690639004699,2.1961152137413387
1,0,10,-22.0,-0.18910360027324252,-0.16620267423406207,0.0002622262067259971,1,8,0.0,0.0,1,,-0.05968478898537433,1.791552093363179
1,0,11,-28.0,-0.18325624077139477,-0.17100158941552174,7.5088239926999e-05,1,8,0.0,0.0,1,,-0.022329391412051026,0.6702075138444009
1,0,12,-35.0,-0.18851263219399492,-0.17433989315096177,0.00010043326599095064,1,7,0.0,0.0,1,,-0.015470933390192707,0.46423396544987605
1,0,13,-41.0,-0.1859119715816313,-0.17556724641035445,5.3506669434612974e-05,1,7,0.0,0.0,1,,-0.006297368962113286,0.18894235160240813
1,0,14,-46.5,-0.18860935668510956,-0.17571112342466322,8.318221062046073e-05,1,7,0.0,0.0,1,,-0.004029842203301869,0.12090253639544533
2,0,0,-1.0,-0.008122387304030951,-0.006108673807523068,2.027521023008958e-06,1,9,0.0,0.0,1,,-0.0033976970213736436,0.00017582333662314356
2,0,1,-2.0,-0.02789442154196056,-0.03536626166323017,2.791419739890583e-05,1,10,0.0,0.0,1,,0.038848175929123756,-0.027997700736929875
2,0,2,-3.0,-0.061296974539645534,-0.0776256110258394,0.0001333121847491319,1,9,0.0,0.0,1,,0.0905941980586421,-0.40664594207362886
2,0,3,-4.0,-0.10806108394883196,-0.1093918817712997,8.855114221424041e-07,1,9,0.0,0.0,1,,0.006634315851629866,-0.08563141975971342
2,0,4,-5.0,-0.13548126398906657,-0.1278935983557428,2.8786334881559242e-05,1,9,0.0,0.0,1,,-0.03758565055632956,0.8105073666772918
2,0,5,-6.5,-0.15931503094253247,-0.14038872593345078,0.00017910251064838368,1,9,0.0,0.0,1,,-0.09603635094077402,2.712865276493693
2,0,6,-8.0,-0.1716718651389106,-0.14563091438852718,0.00033906555799190425,1,9,0.0,0.0,1,,-0.12983640130391755,3.9008529870476676
2,0,7,-10.0,-0.17359786690865228,-0.14992862658684686,0.0002801164687057227,1,9,0.0,0.0,1,,-0.110185440296731,3.3589910657199926
2,0,8,-13.0,-0.18080749195004384,-0.15508043289126147,0.0003309407839070529,1,9,0.0,0.0,1,,-0.10485690373281667,3.204155735143306
2,0,9,-17.0,-0.1820896560953913,-0.16077724742500743,0.00022710938166671483,1,8,0.0,0.0,1,,-0.07137094986558748,2.182092823409435
2,0,10,-22.0,-0.18910360027324252,-0.1663484932298039,0.00025889744827916526,1,8,0.0,0.0,1,,-0.05832067260440678,1.783702053463268
2,0,11,-28.0,-0.18325624077139477,-0.17110349444989417,7.384462157737179e-05,1,8,0.0,0.0,1,,-0.021758681375843872,0.6654253634397969
2,0,12,-35.0,-0.18851263219399492,-0.17440087202281265,9.95708875644756e-05,1,7,0.0,0.0,1,,-0.015106632860314252,0.4618710203729061
2,0,13,-41.0,-0.1859119715816313,-0.1756012049359907,5.315595441041586e-05,1,7,0.0,0.0,1,,-0.006138177321413197,0.18764686176354492
2,0,14,-46.5,-0.18860935668510956,-0.17572853125251342,8.295783191252633e-05,1,7,0.0,0.0,1,,-0.003926201811895496,0.12001933329933617
3,1,0,-1.0,-0.008122387304030951,-0.007842953231549848,3.904170043168086e-08,1,9,0.0,0.0,1,,-0.00041781705467928423,3.1052807556899376e-05
3,1,1,-2.0,-0.02789442154196056,-0.04038675999015145,7.802925995207202e-05,1,10,0.0,0.0,1,,0.04984598292463605,-0.04792690002988119
3,1,2,-3.0,-0.061296974539645534,-0.0835288412063843,0.00024712794774382676,1,9,0.0,0.0,1,,0.0865835929119578,-0.5107336287835118
3,1,3,-4.0,-0.10806108394883196,-0.11614567927470572,3.2680340791569686e-05,1,9,0.0,0.0,1,,0.025747074584807093,-0.4881091001189768
3,1,4,-5.0,-0.13548126398906657,-0.13611928946803553,2.0353825590696384e-07,1,9,0.0,0.0,1,,0.0017283335492551005,-0.06652526988196025
3,1,5,-6.5,-0.15931503094253247,-0.1503646085090516,4.00550308688734e-05,1,9,0.0,0.0,1,,-0.024469802013156895,1.4337732180955547
3,1,6,-8.0,-0.1716718651389106,-0.15596134539604742,0.00012341021529542094,1,7,0.0,0.0,1,,-0.04222555108493723,2.7853431303712126
3,1,7,-10.0,-0.17359786690865228,-0.15969244865482815,9.668032840691196e-05,1,8,0.0,0.0,1,,-0.03483864396092114,2.3724663508468127
3,1,8,-13.0,-0.18080749195004384,-0.163603050776018,0.00014799639805526777,1,8,0.0,0.0,1,,-0.037359389197093404,2.559565593721471
3,1,9,-17.0,-0.1820896560953913,-0.1677312282437205,0.00010308222518580985,1,8,0.0,0.0,1,,-0.025245855808900534,1.73222987341039
3,1,10,-22.0,-0.18910360027324252,-0.1716220723454318,0.0001528019093454057,1,8,0.0,0.0,1,,-0.023063845929022723,1.5840569968100795
3,1,11,-28.0,-0.18325624077139477,-0.1747221108923893,3.6415686395866106e-05,1,8,0.0,0.0,1,,-0.007551727348286178,0.5186646219843696
