phi_applied,target_current_density,simulated_current_density
-1,-0.008122387304030951,-0.002926774970858022
-2,-0.02789442154196056,-0.02349749997469638
-3,-0.06129697453964553,-0.0666767783426845
-4,-0.108061083948832,-0.1067199056687218
-5,-0.1354812639890666,-0.1348107362628916
-6.5,-0.1593150309425325,-0.1590103564924701
-8,-0.1716718651389106,-0.1706054981048333
-10,-0.1735978669086523,-0.1771735405293356
-13,-0.1808074919500438,-0.180527410555957
-17,-0.1820896560953913,-0.182335045998323
-22,-0.1891036002732425,-0.1823272134348106
-28,-0.1832562407713948,-0.1807186711484049
-35,-0.1885126321939949,-0.1790329904003366
-41,-0.1859119715816313,-0.1777773161154185
-46.5,-0.1886093566851096,-0.1767372736858594
