evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,0.002324931185357227,0.06688720998929693,0.004999999999999999,0.0004999999999999999,0.4,0.3
2,0.0006887123670524896,0.003042640215042128,0.0050704189968099125,0.0004910201488762874,0.4458080867608402,0.2522854457552425
3,0.0006793652781009909,0.0027885531367691373,0.005053663535297878,0.000489851990471802,0.44568589730419406,0.24958505824612442
4,0.0006510992320971433,0.0027347892818231196,0.004987193555445701,0.00048520708181569845,0.4451971394776094,0.23878350820965222
5,0.0005951201188454981,0.0038632373187329223,0.004783069483932539,0.0004742470764796065,0.43738852410499757,0.21450914154085862
6,0.0004948255603185221,0.004723052900811288,0.004313851129208986,0.0004515494011426508,0.4116461589807267,0.16490007042047297
7,0.0003921357932991002,0.003279102975079451,0.0037429440756853506,0.0004211541776984878,0.3668246462043748,0.10973595786271466
8,0.00035284726721877406,0.0014638286153328432,0.0035949554650087506,0.00039658397303499757,0.34265115191683143,0.1002129819650333
9,0.00033505215398603466,0.0013836410306785295,0.003605919778898582,0.0003741656628668437,0.3277432350927423,0.10889514674177335
10,0.00032958730519160213,0.0015374514278479628,0.0036468193291207505,0.0003674188892252284,0.32727176612419356,0.1130310328146917
11,0.00027602005608931416,0.003372328928833124,0.004140609894019611,0.000268732764151759,0.31111872930768697,0.14920367233221724
12,0.00024192129365363172,0.0014825369960313095,0.004230604184080346,0.00023096819022896245,0.3017038299818857,0.1459994806144
13,0.00021235560016219263,0.0008685470575025179,0.004251052004880955,0.0001651762047408328,0.2654772141392851,0.13046552902175665
14,0.00020521040334925807,0.0006452376986989651,0.004064244772340613,0.000155778484867796,0.27461587736789583,0.1344464994250465
15,0.00019614308482195124,0.0012017965667724738,0.0038164907722770583,0.00013359925717553077,0.2885549576119137,0.1520393149726402
16,0.00017540640201636607,0.0018345499082204576,0.003123630965005598,9.705737737307454e-05,0.341313508824392,0.21017321288406335
17,0.00014993136182322347,0.0017687141375978515,0.002246485045556448,6.705899079609307e-05,0.4332329800174236,0.30561045006983667
18,0.00013538029035908096,0.0012098371583083621,0.0016413149273632646,5.359824065525005e-05,0.570232057163072,0.4430502329278996
19,0.00012567882499297628,0.00042529691261292184,0.0014740155384294074,5.3543595144939467e-05,0.5791952754732586,0.44631112362824926
20,0.00012513461586265278,1.5781406611284997e-05,0.0014592570220074617,5.5104845837554646e-05,0.5782452568428162,0.4440004336992525
21,0.00012512638162141284,3.933328915396087e-06,0.0014704605120655972,5.568072124795106e-05,0.576208670561158,0.441814429709922
22,0.0001251255957308061,2.5896173853468473e-06,0.0014735741604944995,5.5810847134020466e-05,0.575806385198623,0.4414273452298518
23,0.000125125595651602,1.4019604427588655e-06,0.001473484141978148,5.581972360532466e-05,0.5758153378957286,0.4414051264419774
