phi_applied,flux_clean,flux_noisy
-1,-0.002819451201137672,0.001789441175982866
-2,-0.02280168364757939,-0.02120650459008381
-3,-0.06408144171047786,-0.06630909840075078
-4,-0.09958232622819777,-0.0996292223073795
-5,-0.121117997357992,-0.1239665942040159
-6.5,-0.1357339594135733,-0.1380865242451343
-8,-0.1416567297415814,-0.1430134434584222
-10,-0.1463470490184126,-0.1496549084916584
-13,-0.1519549925578369,-0.1504691014621718
-17,-0.1582049806277019,-0.1615512154411468
-22,-0.1643747095730307,-0.1699537717041776
-28,-0.1697171091007695,-0.1665185114345139
-35,-0.1735608880924956,-0.1751931610113371
-41,-0.175125341354615,-0.1802174673893505
-46.5,-0.1754808619207162,-0.1791819575124929
