evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,effective_k0_0,effective_k0_1
1,0,0.0002597574871916809,0.0021151485649526457,0,0,0.0012631578947368421,5.2631578947368424e-05,0.4,0.3,-0.0021039307924707014,-0.00021755153944489415,0.0012631578947368421,5.2631578947368424e-05
2,0,0.0002553032446184238,0.0020927778778670196,0,0,0.0012631578947368421,5.2631578947368424e-05,0.4021039307924707,0.3002175515394449,-0.0020817692190548418,-0.0002143738899338725,0.0012631578947368421,5.2631578947368424e-05
3,1,3.561748998733427e-05,0.00018411716287756132,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6000424789832409,0.3127759110634506,-0.00018395819674965706,-7.649281972636449e-06,0.0012631578947368421,5.2631578947368424e-05
4,2,3.364491082050156e-05,1.97363545356809e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6192858451455049,0.3127188710062296,-1.9401976710061827e-05,3.6175945185040334e-06,0.0012631578947368421,5.2631578947368424e-05
5,3,3.3616956159913e-05,4.882660471518253e-06,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6215954843363545,0.31214197598081084,-6.870207446015411e-07,4.834084792038095e-06,0.0012631578947368421,5.2631578947368424e-05
6,4,3.3613506679346217e-05,5.196898690454617e-06,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6218733806098262,0.31146355952873805,1.6764435906633548e-06,4.9190743932342264e-06,0.0012631578947368421,5.2631578947368424e-05
7,5,3.358427591169772e-05,1.1416670614453399e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6233485088228276,0.30422609351047636,1.0227088075694306e-05,5.074153861572892e-06,0.0012631578947368421,5.2631578947368424e-05
8,6,3.352384886957215e-05,2.4933556720191692e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6262723732830652,0.2825393056288928,2.447315546582602e-05,4.769372313473391e-06,0.0012631578947368421,5.2631578947368424e-05
9,7,3.346212941266118e-05,2.8016980513047543e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6279951614801131,0.25847873015819006,2.7747947283584436e-05,3.873321393314126e-06,0.0012631578947368421,5.2631578947368424e-05
10,8,3.3359322352413083e-05,1.971189712678139e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.629241571508345,0.21237780961643601,1.9620716014608605e-05,1.8937770224854342e-06,0.0012631578947368421,5.2631578947368424e-05
11,9,3.33176033681487e-05,5.649928721245932e-06,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6289153793921202,0.18196759555095143,5.613475089291397e-06,6.407745134324764e-07,0.0012631578947368421,5.2631578947368424e-05
12,10,3.331050774235419e-05,2.1639282082104368e-07,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6289414394553389,0.1646634075167531,1.4101220344883293e-07,1.6413839094311014e-07,0.0012631578947368421,5.2631578947368424e-05
