evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1
1,0,0,-1.0,-0.007374144457341952,-0.0022862188734773924,1.2943493373471793e-05,1,9,0.0,0.0,1,,-1.085943512559383e-05,-6.561315914181648e-09
1,0,1,-2.0,-0.027210802909530558,-0.017465504999976754,4.7485415672976396e-05,1,10,0.0,0.0,1,,-0.0002194409622776284,-1.0185582666615822e-06
1,0,2,-3.0,-0.06202917813359604,-0.054911902685673634,2.5327804900797326e-05,1,9,0.0,0.0,1,,-0.0003565923749723392,-7.35361103237929e-06
1,0,3,-4.0,-0.10795054015085055,-0.09492929782202669,8.477637589297854e-05,1,9,0.0,0.0,1,,-0.0007081140140522083,-4.2186943784831766e-05
1,0,4,-5.0,-0.13557069797477647,-0.1256202539629614,4.950566801612942e-05,1,8,0.0,0.0,1,,-0.00044723316331092246,-5.9362254411966644e-05
1,0,5,-6.0,-0.1532335800100144,-0.14654890389549338,2.2342447378023628e-05,1,8,0.0,0.0,1,,-0.0002172065685092885,-5.1836878154224525e-05
1,0,6,-7.0,-0.16525636708079586,-0.16000836390537693,1.377076866459951e-05,1,8,0.0,0.0,1,,-0.00011463882635374,-4.07029352631419e-05
1,0,7,-8.0,-0.168345056302483,-0.16832922775581696,1.252714447738119e-10,1,8,0.0,0.0,1,,-1.8162579014272883e-07,-9.243581250944012e-08
1,0,8,-9.0,-0.17577828688927494,-0.17334784735626999,2.9535181617968e-06,1,7,0.0,0.0,1,,-2.2564798759530777e-05,-1.137806203938837e-05
1,0,9,-10.0,-0.177500655837663,-0.17635884161506463,6.518698594626665e-07,1,7,0.0,0.0,1,,-7.099023319306954e-06,-3.6132993638764543e-06
2,0,0,-1.0,-0.007374144457341952,-0.002290727476456688,1.2920564100776361e-05,1,8,0.0,0.0,1,,-1.0876867505954838e-05,-6.568781706656315e-09
2,0,1,-2.0,-0.027210802909530558,-0.017513030698964014,4.702339292401788e-05,1,10,0.0,0.0,1,,-0.00021873137382161112,-1.0147856881066395e-06
2,0,2,-3.0,-0.06202917813359604,-0.05501776852707064,2.457993233523616e-05,1,9,0.0,0.0,1,,-0.0003513041881707688,-7.230638276298903e-06
2,0,3,-4.0,-0.10795054015085055,-0.09504441089057196,8.328408624151105e-05,1,9,0.0,0.0,1,,-0.0007012886556366318,-4.16548786987045e-05
2,0,4,-5.0,-0.13557069797477647,-0.12571613668560783,4.855618910098676e-05,1,8,0.0,0.0,1,,-0.00044239393834818205,-5.852079936797009e-05
2,0,5,-6.0,-0.1532335800100144,-0.14661893640163615,2.187675503292937e-05,1,8,0.0,0.0,1,,-0.00021462637974389027,-5.106106980167248e-05
2,0,6,-7.0,-0.16525636708079586,-0.16005597409628725,1.352204359665915e-05,1,8,0.0,0.0,1,,-0.00011340988310865871,-4.0168256369081535e-05
2,0,7,-8.0,-0.168345056302483,-0.16836054854891258,1.2000484972296103e-10,1,8,0.0,0.0,1,,1.773697966915296e-07,9.021246134325819e-08
2,0,8,-9.0,-0.17577828688927494,-0.17336836201848835,2.903868941418014e-06,1,7,0.0,0.0,1,,-2.2320955204589667e-05,-1.1246470957889922e-05
2,0,9,-10.0,-0.177500655837663,-0.1763725668872335,6.362923400392955e-07,1,7,0.0,0.0,1,,-6.994347311246507e-06,-3.5606344537850295e-06
3,1,0,-1.0,-0.007374144457341952,-0.002753807973484431,1.0673754612032472e-05,1,8,0.0,0.0,1,,-1.172489440437047e-05,-7.116154639749575e-09
3,1,1,-2.0,-0.027210802909530558,-0.022323121400846135,1.1944715265167578e-05,1,10,0.0,0.0,1,,-0.00012643593623877075,-5.482709153712042e-07
3,1,2,-3.0,-0.06202917813359604,-0.06494650890949882,4.255409428015676e-06,1,9,0.0,0.0,1,,0.00014491059406045528,2.4087165651825858e-06
3,1,3,-4.0,-0.10795054015085055,-0.10541467041674181,3.215317654184653e-06,1,9,0.0,0.0,1,,-0.00012656515366552253,-5.443402232368983e-06
3,1,4,-5.0,-0.13557069797477647,-0.13417249144797933,9.774907457885266e-07,1,8,0.0,0.0,1,,-5.54689149342392e-05,-5.046897938029003e-06
3,1,5,-6.0,-0.1532335800100144,-0.15271065909316126,1.367231426412452e-07,1,8,0.0,0.0,1,,-1.4370739226363925e-05,-2.425329821569304e-06
3,1,6,-7.0,-0.16525636708079586,-0.16414282903030664,6.199834949428022e-07,1,8,0.0,0.0,1,,-2.0825213188008996e-05,-5.26170814190526e-06
3,1,7,-8.0,-0.168345056302483,-0.17100874339029049,3.5476144508771118e-06,1,8,0.0,0.0,1,,3.1864162041697936e-05,1.0867105190147851e-05
3,1,8,-9.0,-0.17577828688927494,-0.1750761742388675,2.4648108693110996e-07,1,7,0.0,0.0,1,,-5.345203062524782e-06,-2.191758461267508e-06
3,1,9,-10.0,-0.177500655837663,-0.1775001937703671,1.0675309244328625e-13,1,7,0.0,0.0,1,,3.1018679903693375e-09,-6.200628158731764e-10
4,2,0,-1.0,-0.007374144457341952,-0.002803169011531499,1.0446908263101064e-05,1,8,0.0,0.0,1,,-1.1790625607967527e-05,-7.150126032740762e-09
4,2,1,-2.0,-0.027210802909530558,-0.02282489789334354,9.618081405507017e-06,1,10,0.0,0.0,1,,-0.00011415709793173232,-4.925918690089428e-07
