phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
-1,-0.002823517842217851,-0.007374144457341952,1,10,5,4.165391994694513e-06,1.176110760647484e-08,0.0153908854124661;1.106198776846551e-05,
-2,-0.02305320466840268,-0.02721080290953056,1,11,5.5,5.309380993444959e-06,1.223988965667888e-07,0.1250667756833507;0.0006856599487471122,
-3,-0.06648225800875268,-0.06202917813359604,1,11,5.5,2.956898632327348e-06,1.96581879052804e-07,0.3561055733098121;0.00654708132874421,
-4,-0.1072782403066796,-0.1079505401508506,1,10,5,2.324908583146672e-06,2.494126815355546e-07,0.5642019515156406;0.02098783892511635,
-5,-0.1361146131989165,-0.1355706979747765,1,9,4.5,1.804641744879684e-06,2.456385563565089e-07,0.7015895470665808;0.04089916029935396,
-6,-0.1545377618906195,-0.1532335800100144,1,9,4.5,5.955977214416985e-07,9.20423936789927e-08,0.7825628762633793;0.06042187290317142,
-7,-0.1656719930578437,-0.1652563670807959,1,8,4,6.350419802837483e-07,1.052087373609734e-07,0.8287979083556877;0.07492272149682877,
-8,-0.1721558045629188,-0.168345056302483,1,8,4,2.446340451890288e-07,4.211518117580582e-08,0.8559053717672449;0.0831836635052851,
-9,-0.1758725748823357,-0.1757782868892749,1,7,3.5,2.429358917827541e-07,4.272577119879273e-08,0.872947070339019;0.08641649626547732,
-10,-0.1780351923497442,-0.177500655837663,1,7,3.5,3.46841640790495e-08,6.17500203747845e-09,0.8847345781686187;0.08642580444384429,
