evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,effective_k0_0,effective_k0_1
1,0,0.0002703825263670779,0.00190984863315345,0,0,0.0012631578947368421,5.2631578947368424e-05,0.4,0.3,-0.0019026721128688653,-0.00016541049685322068,0.0012631578947368421,5.2631578947368424e-05
2,0,0.0002667483101293236,0.0018916808775578228,0,0,0.0012631578947368421,5.2631578947368424e-05,0.4019026721128689,0.3001654104968532,-0.0018846300244257054,-0.00016317540731096672,0.0012631578947368421,5.2631578947368424e-05
3,1,6.81499935941769e-05,0.00015043582604541767,0,0,0.0012631578947368421,5.2631578947368424e-05,0.600914896492976,0.3101103195448637,-0.00015038303472544206,-3.985050154472245e-06,0.0012631578947368421,5.2631578947368424e-05
4,2,6.671945687930745e-05,1.4597056980543411e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6182180057454405,0.30985796806340593,-1.4130898995834944e-05,3.6594762005978553e-06,0.0012631578947368421,5.2631578947368424e-05
5,3,6.670302794440577e-05,4.390531866279348e-06,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6200521709688992,0.30927232477195515,-1.444927931734852e-07,4.388153586821607e-06,0.0012631578947368421,5.2631578947368424e-05
6,4,6.670004126757384e-05,4.669384370236948e-06,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6202902595698274,0.3085928916951104,1.4173253643334515e-06,4.44908296265985e-06,0.0012631578947368421,5.2631578947368424e-05
7,5,6.666492121289986e-05,1.5158867430533015e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6224339768109851,0.2977165058913768,1.4411122184502978e-05,4.7022142826333125e-06,0.0012631578947368421,5.2631578947368424e-05
8,6,6.661546863366608e-05,2.3136668141759065e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6243369643482298,0.28002881780779576,2.2685144585081406e-05,4.548585258719544e-06,0.0012631578947368421,5.2631578947368424e-05
9,7,6.649722661286209e-05,3.379815551287798e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6278663806321821,0.22742195842977256,3.361547656425833e-05,3.509280756862242e-06,0.0012631578947368421,5.2631578947368424e-05
10,8,6.639126303551917e-05,2.8963748420513925e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.6290536915300953,0.17643446963879778,2.8898027879298174e-05,1.950053141360073e-06,0.0012631578947368421,5.2631578947368424e-05
11,9,5000000000.000047,1.0911756894094346e-05,5,0,0.0012631578947368421,5.2631578947368424e-05,0.6277375430215046,0.13865390083609708,1.0687734082702087e-05,2.1997224127747767e-06,0.0012631578947368421,5.2631578947368424e-05
