phi_applied,target_current_density,simulated_current_density
-1,-0.008122387304030951,-0.002828335376648564
-2,-0.02789442154196056,-0.02306836754724456
-3,-0.06129697453964553,-0.06629919991884239
-4,-0.108061083948832,-0.106640085609281
-5,-0.1354812639890666,-0.1349732050601061
-6.5,-0.1593150309425325,-0.1593463211662635
-8,-0.1716718651389106,-0.1709410267299588
-10,-0.1735978669086523,-0.177397798825787
-13,-0.1808074919500438,-0.1806518577894248
-17,-0.1820896560953913,-0.1824973195056546
-22,-0.1891036002732425,-0.1839728948211824
-28,-0.1832562407713948,-0.1854254322139889
-35,-0.1885126321939949,-0.1869691015843379
-41,-0.1859119715816313,-0.1881894729480259
-46.5,-0.1886093566851096,-0.1892426789983532
