evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,grad_0,grad_1,effective_k0_0,effective_k0_1
1,0,0.0008295374560893273,0.0021258110029498674,0,0,0.004999999999999999,0.0004999999999999999,0.18322763127869984,0.22839261375144002,0.004999999999999999,0.0004999999999999999
2,0,0.000825022992295646,0.002119235732944196,0,0,0.004975772531523732,0.0004996973630342834,0.1835445972372332,0.22827823716420964,0.004975772531523732,0.0004996973630342834
3,1,9.042579105753786e-05,4.954952637750584e-05,0,0,0.0010456587415464762,0.0003623642699126861,0.008188569467798244,0.05448171487171162,0.0010456587415464762,0.0003623642699126861
4,2,8.96975749677811e-05,4.122535966063065e-05,0,0,0.0010270662932672719,0.00034927640381835986,-0.004008157539469024,0.049886712053851194,0.0010270662932672719,0.00034927640381835986
5,3,8.769113063263214e-05,6.610405256772502e-05,0,0,0.0010091169304946592,0.00030115972467309796,-0.025339545857554224,0.04333616194758729,0.0010091169304946592,0.00030115972467309796
6,4,8.331585420466876e-05,0.0001150238761924926,0,0,0.0010200470653500854,0.00020347185980723495,-0.04844615198145329,0.03589758230403949,0.0010200470653500854,0.00020347185980723495
7,5,7.363705908182565e-05,0.00011156850714106096,0,0,0.0011252794766053826,7.497284682941382e-05,-0.042992190413877716,0.036030328087279524,0.0011252794766053826,7.497284682941382e-05
8,6,7.312434286128437e-05,0.00020868371427977384,0,0,0.0014849988388588064,1.5829298720986095e-05,0.06099739633524128,0.18848320170699698,0.0014849988388588064,1.5829298720986095e-05
9,6,6.863792126991024e-05,1.9431344255774414e-05,0,0,0.001279277660809845,3.652359050363474e-05,0.006084092177307251,0.08929512485393205,0.001279277660809845,3.652359050363474e-05
10,7,6.789355987491514e-05,4.152805801745857e-05,0,0,0.001315304429545306,2.4988249945657083e-05,0.013578836129940278,0.10033036389234508,0.001315304429545306,2.4988249945657083e-05
11,8,6.702055204830176e-05,3.464369125194823e-05,0,0,0.0013249838598710074,1.5065846616155264e-05,0.011300380402867254,0.09808297642875065,0.0013249838598710074,1.5065846616155264e-05
12,9,6.632414529193247e-05,1.0888115941540744e-05,0,0,0.001316894487110802,8.247538749067094e-06,0.0035480694516567403,0.08814402201241504,0.001316894487110802,8.247538749067094e-06
13,10,6.596865363099761e-05,4.361644525569448e-06,0,0,0.0013192581225545564,4.322137390059257e-06,0.0014012396296412043,0.0956271433041849,0.0013192581225545564,4.322137390059257e-06
14,11,6.57046915077225e-05,5.633499563002386e-06,0,0,0.0013260883240443257,1.7795532683841485e-06,0.001838384594150536,0.11608845271852096,0.0013260883240443257,1.7795532683841485e-06
15,12,6.560088772926825e-05,9.377772872323555e-07,0,0,0.0013246130501625693,7.767084410066157e-07,0.0003054916222394594,0.05930574716924911,0.0013246130501625693,7.767084410066157e-07
