evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1
1,0,0,-1.0,-0.008122387304030951,-0.009233467956018312,6.172501076103539e-07,1,9,0.0,0.0,1,,0.001541168986728829,9.592659728337421e-05
1,0,1,-2.0,-0.02789442154196056,-0.04450528698078926,0.00013796042531343404,1,9,0.0,0.0,1,,0.054584497466200914,0.0187630426412361
1,0,2,-3.0,-0.061296974539645534,-0.08972545300706636,0.0004040891939863067,1,9,0.0,0.0,1,,0.08020921732398098,0.08297413823265665
1,0,3,-4.0,-0.10806108394883196,-0.12494535588957738,0.00014253931948452107,1,9,0.0,0.0,1,,0.030211625782837422,0.0645508409560634
1,0,4,-5.0,-0.13548126398906657,-0.14807174252159452,7.926007483902713e-05,1,8,0.0,0.0,1,,0.012790450385179866,0.04347057002615041
1,0,5,-6.5,-0.15931503094253247,-0.1666888321866825,2.7186472394118892e-05,1,8,0.0,0.0,1,,0.003021692570431395,0.014575224128304259
1,0,6,-8.0,-0.1716718651389106,-0.1747429654801151,4.715828652878234e-06,1,8,0.0,0.0,1,,0.0005249405269698078,0.0026472076003545824
1,0,7,-10.0,-0.17359786690865228,-0.1789078726815084,1.4098080653875286e-05,1,8,0.0,0.0,1,,0.0003526081836515475,0.0012515304528694408
1,0,8,-13.0,-0.18080749195004384,-0.18120387610237668,7.856019811008118e-08,1,7,0.0,0.0,1,,1.2955639139200392e-05,4.9282485650758226e-06
1,0,9,-17.0,-0.1820896560953913,-0.18285050526228439,2.894457273813773e-07,1,6,5.04971658857856e-08,9.233432296529287e-09,1,,1.5089347312416818e-05,-1.778722769994095e-05
1,0,10,-22.0,-0.18910360027324252,-0.18434505652097208,1.1321869321134059e-05,1,6,8.451548352011852e-08,1.5580011586413534e-08,1,,-5.590099920021738e-05,0.00023720453959822266
1,0,11,-28.0,-0.18325624077139477,-0.18578082367161844,3.186759410051161e-06,1,6,3.8241411622734176e-08,7.1045212213238784e-09,1,,1.694794180241729e-05,-0.00013543534096974074
1,0,12,-35.0,-0.18851263219399492,-0.1872402378783931,8.094936471872215e-07,1,5,4.927867081175902e-07,9.226954592045367e-08,1,,-5.044179616437325e-06,4.8294532928657864e-05
1,0,13,-41.0,-0.1859119715816313,-0.18839271802499785,3.0770514581406325e-06,1,5,1.970087273264395e-06,3.71150096156736e-07,1,,6.216330736773942e-06,-6.146163538035597e-05
1,0,14,-46.5,-0.18860935668510956,-0.18939374293633027,3.0763089555090644e-07,1,5,1.8948402070344487e-06,3.588715590807645e-07,1,,1.1659725449443774e-06,-1.1610000520119923e-05
2,0,0,-1.0,-0.008122387304030951,-0.009198746166773441,5.792742007021772e-07,1,9,0.0,0.0,1,,0.0014963245040762645,9.266986317954972e-05
2,0,1,-2.0,-0.02789442154196056,-0.04442511701691795,0.00013663194644288556,1,9,0.0,0.0,1,,0.054569372399079004,0.018698471429157034
2,0,2,-3.0,-0.061296974539645534,-0.08965600759425622,0.0004021173778962528,1,9,0.0,0.0,1,,0.08043944382040542,0.08296593453385162
2,0,3,-4.0,-0.10806108394883196,-0.12490072088221238,0.00014178668602403448,1,9,0.0,0.0,1,,0.03029704072371228,0.06452139117060489
2,0,4,-5.0,-0.13548126398906657,-0.14804600976521756,7.893641820965559e-05,1,8,0.0,0.0,1,,0.01283511829522125,0.04346142733657806
2,0,5,-6.5,-0.15931503094253247,-0.16667828182843925,2.7108731804407988e-05,1,8,0.0,0.0,1,,0.0030343293946299955,0.014575562902440673
2,0,6,-8.0,-0.1716718651389106,-0.1747385668493939,4.70232969054567e-06,1,8,0.0,0.0,1,,0.0005271535623582608,0.002646599473444292
2,0,7,-10.0,-0.17359786690865228,-0.17890620375996474,1.4089220063493583e-05,1,8,0.0,0.0,1,,0.0003544824519782257,0.0012519494652488317
2,0,8,-13.0,-0.18080749195004384,-0.18120310636478462,7.825538257511666e-08,1,7,0.0,0.0,1,,1.3003994421040457e-05,4.864205130854331e-06
2,0,9,-17.0,-0.1820896560953913,-0.1828500311607749,2.890851200289753e-07,1,6,5.0574596195794536e-08,9.247566490344639e-09,1,,1.5169449348216215e-05,-1.7886131603752328e-05
2,0,10,-22.0,-0.18910360027324252,-0.18434478671797996,1.1323153226873357e-05,1,6,8.452068135186205e-08,1.5580946977067356e-08,1,,-5.625891391830666e-05,0.0002379012227226836
2,0,11,-28.0,-0.18325624077139477,-0.18578067722355238,3.1863897004913257e-06,1,6,3.89191732410288e-08,7.230430643101471e-09,1,,1.705993191854816e-05,-0.0001357735027184794
2,0,12,-35.0,-0.18851263219399492,-0.18724015216663542,8.096027100137409e-07,1,5,4.955827038865176e-07,9.279302687348334e-08,1,,-5.079631223216899e-06,4.842976327708767e-05
2,0,13,-41.0,-0.1859119715816313,-0.1883926634033691,3.0769159572211466e-06,1,5,1.974662398836132e-06,3.7201190863922484e-07,1,,6.262073255177356e-06,-6.16524007501388e-05
2,0,14,-46.5,-0.18860935668510956,-0.1893937110265464,3.07605866464276e-07,1,5,1.899050555437702e-06,3.5966891515082366e-07,1,,1.1751819710352598e-06,-1.1652166353558595e-05
3,1,0,-1.0,-0.008122387304030951,-0.002378811824405927,1.6494329645074785e-05,1,9,0.0,0.0,1,,-0.012173154105488328,-0.00017541159781462042
3,1,1,-2.0,-0.02789442154196056,-0.02108177834288531,2.320605367895431e-05,1,9,0.0,0.0,1,,-0.08113071737424188,-0.009323489628995991
3,1,2,-3.0,-0.061296974539645534,-0.06562187322015753,9.352374298347495e-06,1,9,0.0,0.0,1,,0.06505046937949381,0.025194830763040108
3,1,3,-4.0,-0.10806108394883196,-0.10866641788879812,1.8321458943746052e-07,1,8,0.0,0.0,1,,0.006301522202234512,0.00460680676555644
3,1,4,-5.0,-0.13548126398906657,-0.13845520142551063,4.422151937942551e-06,1,9,0.0,0.0,1,,0.018323964369725925,0.0190815854461094
3,1,5,-6.5,-0.15931503094253247,-0.16266314945507468,5.604948787015989e-06,1,8,0.0,0.0,1,,0.008587379857097219,0.01133635204891447
3,1,6,-8.0,-0.1716718651389106,-0.17306039034739357,9.640011272986288e-07,1,7,0.0,0.0,1,,0.0014898174530324308,0.001987447600920715
3,1,7,-10.0,-0.17359786690865228,-0.17828533943489264,1.0986199342122563e-05,1,7,0.0,0.0,1,,0.0018934256040054978,0.001639129159731415
3,1,8,-13.0,-0.18080749195004384,-0.18092662761963507,7.0966538844066374e-09,1,7,0.0,0.0,1,,2.335479217632311e-05,-4.627316612646972e-06
3,1,9,-17.0,-0.1820896560953913,-0.18267666905227103,1.722921057726736e-07,1,6,7.059691589113001e-08,1.2896409440354972e-08,1,,7.675881849512661e-05,-5.879215652444411e-05
3,1,10,-22.0,-0.18910360027324252,-0.18424209258167173,1.1817128517598941e-05,1,6,8.632909172789688e-08,1.590545251062281e-08,1,,-0.00040893535310426683,0.0005783972833071236
3,1,11,-28.0,-0.18325624077139477,-0.18572414003440485,3.045263386183126e-06,1,6,6.739102291826391e-07,1.2516148212293743e-07,1,,0.00012938263869811085,-0.00030442341723814443
