evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,-1.0,-0.008122387304030951,-0.0029497549852624066,1.3378062552584307e-05,1,5,0.0,0.0,1,,-0.010581198429876955,-0.00013536798908338,-1.4015993526574703e-05,-1.0514145976315267e-10
1,0,1,-2.0,-0.02789442154196056,-0.02362138157512079,9.12943527910574e-06,1,10,0.0,0.0,1,,-0.04274872338236703,-0.0032672815050416183,-0.00011325103374014631,-5.0754502482212486e-09
1,0,2,-3.0,-0.061296974539645534,-0.06684564210884901,1.539385589676559e-05,1,9,0.0,0.0,1,,0.06955599559887075,0.01703970530781648,0.0002764043384619435,3.970464883453887e-08
1,0,3,-4.0,-0.10806108394883196,-0.10686057932107705,7.206056806305092e-07,1,8,0.0,0.0,1,,-0.011351244188345905,-0.006333659951151345,-6.014402474985993e-05,-1.9677628586099203e-08
1,0,4,-5.0,-0.13548126398906657,-0.13491408244783437,1.6084745035710827e-07,1,9,0.0,0.0,1,,-0.003519838889596692,-0.003800597939210054,-2.3312122638147565e-05,-1.4759782501283979e-08
1,0,5,-6.5,-0.15931503094253247,-0.15907446814984164,2.893522861345858e-08,1,9,0.0,0.0,1,,-0.0007099741059569844,-0.0018215365104310491,-6.112866279182729e-06,-9.196218091147938e-09
1,0,6,-8.0,-0.1716718651389106,-0.1706508391440161,5.212470411234605e-07,1,7,4.017935580850036e-08,6.856641060482005e-09,1,,-0.0014675063380207999,-0.006712772351190957,-1.5551024372308842e-05,-4.171093558180685e-08
1,0,7,-10.0,-0.17359786690865228,-0.17721310062784548,6.534957422190733e-06,1,8,0.0,0.0,1,,0.0019453552786601667,0.015247400858647777,2.5768429893160862e-05,1.1842784950323294e-07
1,0,8,-13.0,-0.18080749195004384,-0.18057517776357307,2.6984940617922497e-08,1,8,0.0,0.0,1,,-4.039021278073117e-05,-0.0004022582790744656,-6.955182383264598e-07,-4.061686210685123e-09
1,0,9,-17.0,-0.1820896560953913,-0.18242639314208314,5.669591930756099e-08,1,7,0.0,0.0,1,,2.9330193531058992e-05,0.0005784480539498268,6.604696709553813e-07,7.637853265173572e-09
1,0,10,-22.0,-0.18910360027324252,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
1,0,11,-28.0,-0.18325624077139477,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
1,0,12,-35.0,-0.18851263219399492,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
1,0,13,-41.0,-0.1859119715816313,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
1,0,14,-46.5,-0.18860935668510956,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
2,0,0,-1.0,-0.008122387304030951,-0.002949545457598388,1.3379146384101811e-05,1,5,0.0,0.0,1,,-0.010581020690549205,-0.0001353617651337145,-1.4015648653753564e-05,-1.0513662106960115e-10
2,0,1,-2.0,-0.02789442154196056,-0.02361941392262137,9.1378450727048e-06,1,10,0.0,0.0,1,,-0.042766977976599105,-0.003268777496947984,-0.00011329850963021181,-5.077773930001188e-09
2,0,2,-3.0,-0.061296974539645534,-0.06684202948576957,1.537381717776773e-05,1,9,0.0,0.0,1,,0.06951191292029861,0.01703049270361949,0.00027622700415227573,3.9683180613971266e-08
2,0,3,-4.0,-0.10806108394883196,-0.10685696357632275,7.249529357458892e-07,1,8,0.0,0.0,1,,-0.011385943355341748,-0.006353975205756349,-6.032740557914057e-05,-1.974074386022793e-08
2,0,4,-5.0,-0.13548126398906657,-0.13491112909898043,1.6252689644661128e-07,1,9,0.0,0.0,1,,-0.0035383923366639394,-0.003821410804472624,-2.3434820344936752e-05,-1.4840609506836615e-08
2,0,5,-6.5,-0.15931503094253247,-0.15907260430035622,2.9385338418276936e-08,1,9,0.0,0.0,1,,-0.0007155365504221145,-0.0018363332690402104,-6.160710737561707e-06,-9.270920681923209e-09
2,0,6,-8.0,-0.1716718651389106,-0.1706497605178512,5.223489281938102e-07,1,7,4.018670196753611e-08,6.8578513423567244e-09,1,,-0.001469213889304363,-0.006723113533603386,-1.5568997564174122e-05,-4.177519046340001e-08
2,0,7,-10.0,-0.17359786690865228,-0.1772125969351379,6.5331365821833844e-06,1,8,0.0,0.0,1,,0.0019453246641854523,0.015255090524254897,2.576782316951526e-05,1.1848757071442567e-07
