evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1
1,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0
1,0,1,3.0,-0.002908532692799996,0.0014006860697592621,9.28468317179641e-06,1,5,1.3462921568349617e-09,1.8857326724436296e-12,1,,-1.8107588076786033e-05,1.3817138101119446e-22
1,0,2,2.0,0.00436153144295444,0.000766817793815003,6.4609831096546956e-06,1,5,3.848648728396669e-08,2.9512124406598506e-11,1,,5.512627323486808e-06,-7.218600530360691e-22
1,0,3,1.0,-0.00026569384474186473,0.0004005692536272914,2.219532581242343e-07,1,5,2.2038472060233183e-06,8.827953759714749e-10,1,,-2.6670254913707757e-07,6.523946459218872e-22
1,0,4,0.5,0.0006895594317925579,0.00024225955483440838,1.0003858996338618e-07,1,6,2.9816560551711397e-06,7.223368223550387e-10,1,,5.4052986446975114e-08,-6.864163369183493e-22
1,0,5,-0.25,0.0009017890435330913,-0.0002202464054283575,6.294817743630626e-07,1,8,0.0,0.0,1,,6.082873315640603e-08,6.746083583634716e-12
1,0,6,-0.5,-0.0002934224807384304,-0.0005862055476368289,4.286096213121616e-08,1,8,0.0,0.0,1,,8.344450358116504e-08,1.6408041560252807e-11
1,0,7,-1.0,0.0004921341653420035,-0.002286220342980873,3.85962688695902e-06,1,9,0.0,0.0,1,,5.8957564746633494e-06,3.5746149569656034e-09
1,0,8,-1.5,-0.009127153923927083,-0.006993781820688867,2.275638265437551e-06,1,9,0.0,0.0,1,,-1.8406454605260255e-05,-3.267788383611838e-08
1,0,9,-2.0,-0.022588090738443464,-0.01746550361750278,1.3120449405813622e-05,1,9,0.0,0.0,1,,-0.00011501673214832806,-5.351454201106509e-07
1,0,10,-3.0,-0.07007531546109648,-0.05491190842992218,0.00011496445639653273,1,8,0.0,0.0,1,,-0.000761259275927546,-1.565994911197193e-05
1,0,11,-4.0,-0.10539000769620259,-0.09492929688043754,5.4713235385533116e-05,1,9,0.0,0.0,1,,-0.0005688809516639098,-3.389209885677621e-05
1,0,12,-5.0,-0.1370569911908219,-0.12562026574447374,6.539934446757822e-05,1,9,0.0,0.0,1,,-0.0005137469825525022,-6.823243565533507e-05
1,0,13,-6.5,-0.15897384798703867,-0.1540572292282482,1.2086570009648527e-05,1,9,0.0,0.0,1,,-0.00013177725148989694,-3.9204692880809205e-05
1,0,14,-8.0,-0.17156627129280105,-0.16832922910393147,5.239221066260339e-06,1,8,0.0,0.0,1,,-4.6079870005078596e-05,-2.0719048985678418e-05
1,0,15,-10.0,-0.17997856012390168,-0.17635884353958328,6.551174075400538e-06,1,8,0.0,0.0,1,,-2.255978647583751e-05,-1.139185924684136e-05
1,0,16,-13.0,-0.17848607394505406,-0.18022113748777419,1.5052227486388381e-06,1,7,0.0,0.0,1,,4.796553804323576e-06,1.581936373311884e-06
1,0,17,-17.0,-0.18133881155134438,-0.1822198837082173,3.8814407280802653e-07,1,7,0.0,0.0,1,,1.875912845078442e-06,3.211597371986891e-07
1,0,18,-22.0,-0.18481388821094127,-0.18389193051748406,4.250029942632109e-07,1,6,3.081420137000412e-08,5.666482977284559e-09,1,,-1.8146489561371754e-06,-2.938042703067125e-07
1,0,19,-28.0,-0.18817824278287687,-0.18551683881544512,3.5415355389322875e-06,1,6,2.4918154780869177e-08,4.62273730406082e-09,1,,-4.56718031093884e-06,-8.066932142153109e-07
2,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0
2,0,1,3.0,-0.002908532692799996,0.0013915379711023409,9.24530385727678e-06,1,5,1.1057340249891874e-09,1.5386708834136398e-12,1,,-1.7951134821730096e-05,1.3777202889472499e-22
2,0,2,2.0,0.00436153144295444,0.0007634755100253665,6.473003248243064e-06,1,5,3.3373018842219355e-08,2.5479483431976868e-11,1,,5.49370449439786e-06,-7.222049448775801e-22
2,0,3,1.0,-0.00026569384474186473,0.00039969580575332283,2.2137169349305433e-07,1,5,2.3187178590468193e-06,9.267839519368389e-10,1,,-2.6577252303349737e-07,6.514044320038996e-22
2,0,4,0.5,0.0006895594317925579,0.00024199563792184597,1.0015667479197089e-07,1,6,3.1597467691362954e-06,7.646473511606269e-10,1,,5.402609887730418e-08,-6.867537807667193e-22
2,0,5,-0.25,0.0009017890435330913,-0.00022036509541389725,6.296149557779312e-07,1,7,0.0,0.0,1,,6.091244065515096e-08,6.757832072879488e-12
2,0,6,-0.5,-0.0002934224807384304,-0.000586832829081566,4.30448162574202e-08,1,8,0.0,0.0,1,,8.371027892531388e-08,1.646117582660151e-11
2,0,7,-1.0,0.0004921341653420035,-0.0022908999998730996,3.8726395823772556e-06,1,9,0.0,0.0,1,,5.916882819202486e-06,3.587872854237669e-09
2,0,8,-1.5,-0.009127153923927083,-0.007012794647422186,2.235257575071181e-06,1,9,0.0,0.0,1,,-1.8282776859139533e-05,-3.245707121372085e-08
2,0,9,-2.0,-0.022588090738443464,-0.017514840360516162,1.2868934698569686e-05,1,9,0.0,0.0,1,,-0.00011410339136861909,-5.30602315592596e-07
2,0,10,-3.0,-0.07007531546109648,-0.0550217748956732,0.00011330454177742174,1,8,0.0,0.0,1,,-0.0007557811465985732,-1.5514538588269633e-05
2,0,11,-4.0,-0.10539000769620259,-0.09504868075012667,5.347152150281914e-05,1,9,0.0,0.0,1,,-0.000561920989360855,-3.336895491088929e-05
2,0,12,-5.0,-0.1370569911908219,-0.12571958483468335,6.426839144210989e-05,1,9,0.0,0.0,1,,-0.0005086593269787233,-6.73105957303291e-05
2,0,13,-6.5,-0.15897384798703867,-0.1541172535005354,1.1793255003170236e-05,1,9,0.0,0.0,1,,-0.00012996469751874948,-3.854877428998167e-05
2,0,14,-8.0,-0.17156627129280105,-0.16836150650501558,5.135258672514394e-06,1,8,0.0,0.0,1,,-4.552655563492355e-05,-2.0435593303076583e-05
2,0,15,-10.0,-0.17997856012390168,-0.1763729741793536,6.500125001767015e-06,1,8,0.0,0.0,1,,-2.2407586203840038e-05,-1.1317671819079458e-05
2,0,16,-13.0,-0.17848607394505406,-0.18022729682483402,1.5159285585351846e-06,1,7,0.0,0.0,1,,4.795257407302757e-06,1.5928705942967752e-06
2,0,17,-17.0,-0.18133881155134438,-0.18222454597306753,3.922627329123068e-07,1,7,0.0,0.0,1,,1.87497946872648e-06,3.309332116593237e-07
2,0,18,-22.0,-0.18481388821094127,-0.18389627013435336,4.210114672411878e-07,1,6,3.10260272185554e-08,5.705570682579264e-09,1,,-1.7891050801250053e-06,-3.0571357093050983e-07
2,0,19,-28.0,-0.18817824278287687,-0.18552062198663413,3.531474148312491e-06,1,6,2.4754502545844667e-08,4.592470709274821e-09,1,,-4.487278342126021e-06,-8.586288021655118e-07
3,1,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0
3,1,1,3.0,-0.002908532692799996,0.0007158215214776306,6.567971735276028e-06,1,5,8.29369732179386e-10,5.936807035561431e-13,1,,-7.783172244114238e-06,1.104576612963175e-22
3,1,2,2.0,0.00436153144295444,0.0004901654391963261,7.493737367527047e-06,1,5,5.9863263592327175e-09,2.934290289045849e-12,1,,3.795065006873113e-06,-7.545521967129212e-22
3,1,3,1.0,-0.00026569384474186473,0.0003202948420825556,1.716913705431046e-07,1,5,2.066826944921953e-06,6.619953781656328e-10,1,,-1.876891539085926e-07,5.663090507680799e-22
3,1,4,0.5,0.0006895594317925579,0.00021666098761413894,1.1181646925318284e-07,1,6,3.188870479678436e-06,6.909060307105485e-10,1,,5.112084452806949e-08,-7.211326467786295e-22
3,1,5,-0.25,0.0009017890435330913,-0.0002327636404823039,6.43604896403271e-07,1,6,2.353375578221499e-06,5.477815561447195e-10,1,,6.504670555720313e-08,7.235913115775081e-12
3,1,6,-0.5,-0.0002934224807384304,-0.0006540002062406685,6.500814806418382e-08,1,8,0.0,0.0,1,,1.1427839883532027e-07,2.259196658171362e-11
3,1,7,-1.0,0.0004921341653420035,-0.002814768800101111,5.4678036114282235e-06,1,9,0.0,0.0,1,,8.494618749132902e-06,5.1730260590830745e-09
3,1,8,-1.5,-0.009127153923927083,-0.009170104192011894,9.223627642780554e-10,1,9,0.0,0.0,1,,4.1808909044869976e-07,7.74340192820618e-10
3,1,9,-2.0,-0.022588090738443464,-0.0229423716816058,6.27574933440017e-08,1,9,0.0,0.0,1,,8.694529170898911e-06,3.927281887030575e-08
3,1,10,-3.0,-0.07007531546109648,-0.06612517770457474,7.801794147749194e-06,1,8,0.0,0.0,1,,-0.0001959004528147757,-3.143944351748159e-06
3,1,11,-4.0,-0.10539000769620259,-0.10659250591918798,7.230009881413773e-07,1,9,0.0,0.0,1,,5.895325972608534e-05,2.442391886943945e-06
