evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,grad_0,grad_1,effective_k0_0,effective_k0_1
1,0,0.0009042515464732322,0.0026991203598910186,1,0,0.004999999999999999,0.0004999999999999999,0.23341054037662645,0.21974068307296096,0.004999999999999999,0.0004999999999999999
2,0,0.0008969817212983075,0.00268642754490886,1,0,0.004969157546128111,0.0004997088241382178,0.23374860219673074,0.21949101227195264,0.004969157546128111,0.0004997088241382178
3,1,6.8522627577614e-05,0.0003212272874932192,1,0,0.0013449469439343982,0.00040828060384180605,0.10112197207737053,0.07609653671334167,0.0013449469439343982,0.00040828060384180605
4,2,5.364130025571829e-05,5.815250965934435e-05,1,0,0.0011286590578627948,0.0003869396926954139,0.017927408189015708,0.03905914514711589,0.0011286590578627948,0.0003869396926954139
5,3,5.29604732689144e-05,2.772660556937039e-05,1,0,0.0010914049383640714,0.0003756338731188306,-0.0027835305109790245,0.031019533378299775,0.0010914049383640714,0.0003756338731188306
6,4,5.264840968860276e-05,3.256972324131215e-05,1,0,0.0010850723104129688,0.00036408069678792236,-0.008613956397356516,0.029160353921530907,0.0010850723104129688,0.00036408069678792236
7,5,5.073878926858936e-05,7.622186121225663e-05,1,0,0.0010793555548995,0.00028764926144125684,-0.03006901325878598,0.02265139780038384,0.0010793555548995,0.00028764926144125684
8,6,4.706313384227874e-05,0.0001148674868127141,1,0,0.001114162829133718,0.00017248957377735542,-0.04470498474313818,0.016133842955175347,0.001114162829133718,0.00017248957377735542
9,7,3.9360784812451696e-05,3.2627343514214284e-05,1,0,0.001290958075035636,3.8893747356046144e-05,-0.010960646773716814,0.019417409509428926,0.001290958075035636,3.8893747356046144e-05
10,8,3.902881588163755e-05,3.7742938904834426e-05,1,0,0.0013669614318281033,2.1852630306231826e-05,0.011983007928607481,0.027773980326436062,0.0013669614318281033,2.1852630306231826e-05
11,9,3.8908569189207534e-05,1.1010285513075574e-05,1,0,0.0013418761268871604,2.5292427964697525e-05,0.003538626905868466,0.02227552153252551,0.0013418761268871604,2.5292427964697525e-05
12,10,3.8888170949301906e-05,8.841112968339026e-06,1,0,0.001341412403232603,2.439799442114439e-05,0.002839611078972296,0.01981510846874696,0.001341412403232603,2.439799442114439e-05
13,11,3.882447525623855e-05,6.210199286095631e-07,1,0,0.0013425775984290736,1.9108421741708973e-05,0.00019026405656215147,0.004528932524651107,0.0013425775984290736,1.9108421741708973e-05
