phi_applied,target_current_density,simulated_current_density
5,nan,nan
3,-0.002908532692799996,nan
2,0.00436153144295444,nan
1,-0.0002656938447418647,nan
0.5,0.0006895594317925579,nan
-0.25,0.0009017890435330913,nan
-0.5,-0.0002934224807384304,nan
-1,0.0004921341653420035,nan
-1.5,-0.009127153923927083,nan
-2,-0.02258809073844346,nan
-3,-0.07007531546109648,nan
-4,-0.1053900076962026,nan
-5,-0.1370569911908219,nan
-6.5,-0.1589738479870387,nan
-8,-0.1715662712928011,nan
-10,-0.1799785601239017,nan
-13,-0.1784860739450541,nan
-17,-0.1813388115513444,nan
-22,-0.1848138882109413,nan
-28,-0.1881782427828769,nan
