evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,grad_2,grad_3,effective_k0_0,effective_k0_1
1,0,0.0009017657074125494,0.004125609856598364,1,0,0.004999999999999999,0.0004999999999999999,0.6479995672378898,0.31250399062416184,0.2393635430604963,0.14628329972642287,0.003052843705744661,0.00027954358317562134,0.004999999999999999,0.0004999999999999999
2,0,0.000884822405940096,0.004086026860005388,1,0,0.0049683734199402006,0.0004998061428027257,0.6449467235321451,0.31222444704098623,0.2385181183207982,0.14585242180878463,0.0030239199835882303,0.00027874559791854644,0.0049683734199402006,0.0004998061428027257
3,1,8.31001570545988e-05,0.000560861970853641,1,0,0.002617959537890315,0.0004676699985265295,0.3247819569404049,0.2628726036382271,-0.021226204749643422,-0.05585187523337666,-0.0005290870086689312,-0.00012101143961000154,0.002617959537890315,0.0004676699985265295
4,2,6.822762475035897e-05,0.00019273653546306838,1,0,0.0026967583339715826,0.00047456441225990944,0.37248399552469613,0.275331822073394,0.028664174571694685,-0.013632250859636203,-6.193845558094207e-05,-3.7529095960423106e-05,0.0026967583339715826,0.00047456441225990944
5,3,6.480214320722615e-05,0.00018143205174301036,1,0,0.0026048408589616017,0.00047676608948868604,0.3839254285715634,0.2800807710390746,0.02896329404017101,-0.011052979962278242,-4.026966742507349e-05,-3.115711611662563e-05,0.0026048408589616017,0.00047676608948868604
6,3,5.4313828803346306e-05,0.00016677879844123278,1,0,0.00226745073243481,0.00048567541721555684,0.4296911607590326,0.29907656690179685,0.031044951074856823,-0.0009379838083941271,3.8865118382496997e-05,-5.640626667838476e-06,0.00226745073243481,0.00048567541721555684
7,4,4.349672771432808e-05,4.1047975580087765e-05,1,0,0.0017057499061847927,0.0004992595954910603,0.500770284401537,0.3250953157727837,0.01016520797434887,0.0015369669810572117,-8.43504606742413e-07,9.331654854124646e-06,0.0017057499061847927,0.0004992595954910603
8,5,4.217424643564383e-05,1.8859893667928433e-05,1,0,0.001522066275327816,0.0005015208724975182,0.5331443713173631,0.32288677767610907,0.0015989801419612577,0.002759852586292511,-9.603136191375529e-06,1.4896778854228488e-05,0.001522066275327816,0.0005015208724975182
9,6,4.1604435842373575e-05,2.0091028637108636e-05,1,0,0.0014293761461845343,0.0004972980371384284,0.5559433971192169,0.30190436833243584,-0.0016581017307112336,0.003496867446303056,-9.415451205694349e-06,1.6406824338654617e-05,0.0014293761461845343,0.0004972980371384284
10,7,4.0385857750915495e-05,1.7800383911191268e-05,1,0,0.0012725935684277418,0.0004757031931269097,0.6080539285655703,0.21751800298182583,-0.0033450795083537726,0.004393427950916049,1.8553973337716877e-06,1.3934658788096094e-05,0.0012725935684277418,0.0004757031931269097
11,8,3.969893537875161e-05,2.6374442093215018e-05,1,0,0.0012115425251217505,0.00044242463534507155,0.6409793314650059,0.12083609692609261,0.0028944446677682456,0.003823910360953707,2.401513471277772e-05,6.2057131562581625e-06,0.0012115425251217505,0.00044242463534507155
12,9,3.957387104072399e-05,3.236637129715249e-06,1,0,0.001239872636672998,0.00043517142064271926,0.633143044119886,0.1089347568489679,3.5896297560887405e-06,0.0018681761668718723,2.3596426166396554e-06,1.1847407554881023e-06,0.001239872636672998,0.00043517142064271926
13,10,3.9562982393217554e-05,1.7744816564357735e-06,1,0,0.001242965777008869,0.00042995385562191675,0.6337874782485498,0.0973815989295672,0.00026142094968257536,0.0014525802377468873,6.173261800138899e-07,-3.7399701205153253e-07,0.001242965777008869,0.00042995385562191675
14,11,3.9555752437062184e-05,1.5952742713172763e-06,1,0,0.001242078098687088,0.0004246848254802752,0.6342905713593475,0.096876687319414,0.00017888794841940852,0.0014089106020503807,2.415322893657349e-07,-5.715365769014168e-07,0.001242078098687088,0.0004246848254802752
15,11,3.952914796291054e-05,2.38523533913157e-06,1,0,0.0012385337203311302,0.0004042465531333489,0.6363029438025386,0.09485704087880119,-0.00015551756218041147,0.0012471469839968915,-1.572108058810888e-06,-1.2936492629783933e-06,0.0012385337203311302,0.0004042465531333489
16,12,3.9240356469861005e-05,4.337568135050724e-06,1,0,0.0012044586709934486,0.0002225855025983464,0.6553372338134474,0.10955601597199262,0.0005360753547871311,0.0013911850037371498,1.6514570382574241e-06,-3.656284975565305e-06,0.0012044586709934486,0.0002225855025983464
17,13,3.950007332756025e-05,0.00014986676335249197,1,0,0.0011471036701657946,2.8007664308959785e-05,0.6982915802118991,0.2262166832333239,0.03076636195064694,0.014128681696000626,0.00012586573160658856,-3.6481163094694642e-06,0.0011471036701657946,2.8007664308959785e-05
18,13,3.89339270033879e-05,4.550416527240483e-05,1,0,0.0011786348708450651,8.863472416688945e-05,0.6744182826678281,0.1613786620611517,0.009332446343997651,0.004389999881434882,3.759917943529554e-05,-3.827693509859987e-06,0.0011786348708450651,8.863472416688945e-05
19,14,3.832697722264035e-05,5.563477142923879e-05,1,0,0.0011642299273518847,2.2201144956371904e-05,0.6837837446480975,0.28825202743797373,0.011632276455895499,0.007728696291892319,4.5944513386954116e-05,-3.4333972908182424e-06,0.0011642299273518847,2.2201144956371904e-05
20,15,3.767160678464225e-05,2.8062863908667382e-05,1,0,0.001165775798840319,3.872676634714626e-06,0.6767534764824277,0.5034476695361135,-0.004932758735070787,-0.009976691971168974,-2.471142314471804e-05,-1.240182478335206e-06,0.001165775798840319,3.872676634714626e-06
21,16,3.758679425678367e-05,2.0939189895975803e-05,1,0,0.0011326694380940237,1.135608874968191e-06,0.6912126123098457,0.6134312358104145,0.0038547815560223456,0.04084609268336674,1.8364613707618445e-05,3.251669303547532e-07,0.0011326694380940237,1.135608874968191e-06
22,17,3.756524849099441e-05,1.8683063206510952e-06,1,0,0.0011435691212952287,1.3777446650128464e-06,0.6862832828405487,0.6009156485005217,0.0003571486906296933,0.014443970716606512,1.6121250094839783e-06,7.148716494198756e-08,0.0011435691212952287,1.3777446650128464e-06
23,18,3.756460481047858e-05,8.250445721126505e-07,1,0,0.0011435129505661399,1.2881624180080566e-06,0.6862269274951327,0.6081510271603904,0.0001521655339578971,0.013789500547171544,7.0901853828838e-07,1.256665415069571e-07,0.0011435129505661399,1.2881624180080566e-06
