evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0,0.0,0.0
1,0,1,3.0,-0.002908532692799996,0.002634732393071324,1.5363893906120036e-05,1,5,6.86273093779504e-09,1.8081459506741338e-11,1,,0.0029209677384007685,-1.1141857515428642e-18,-4.3814516076011526e-05,1.671278627314296e-21
1,0,2,2.0,0.00436153144295444,0.001848249164173972,3.158293906415979e-06,1,5,4.874446481314193e-08,9.009191634899716e-11,1,,-0.0009288874947530614,4.789186102617004e-18,9.288874947530612e-06,-4.789186102617001e-21
1,0,3,1.0,-0.00026569384474186473,0.0012357899886098218,1.1272268509082387e-06,1,5,5.928619583178594e-06,7.326572163627448e-09,1,,0.0003703093325972596,-2.80717869686709e-17,-1.8515466629862973e-06,1.403589348433545e-20
1,0,4,0.5,0.0006895594317925579,0.0008429933052714145,1.177097676536346e-08,1,8,0.0,0.0,1,,2.562984292442915e-05,-8.967852871316553e-18,-6.407460731107285e-08,2.2419632178291385e-21
1,0,5,-0.25,0.0009017890435330913,-0.000895477065194109,1.6150827327897105e-06,1,8,0.0,0.0,1,,0.0003055443904539583,3.199125335845944e-06,3.8193048806744775e-07,3.99890666980743e-10
1,0,6,-0.5,-0.0002934224807384304,-0.0024571827216986917,2.3409291901802047e-06,1,9,0.0,0.0,1,,0.0009641490278732663,1.755845169368815e-05,2.410372569683166e-06,4.38961292342204e-09
1,0,7,-1.0,0.0004921341653420035,-0.009377063177723813,4.870052809818865e-05,1,9,0.0,0.0,1,,0.014275132889531727,0.0007230344093249611,7.137566444765865e-05,3.615172046624804e-07
1,0,8,-1.5,-0.009127153923927083,-0.023934832853101343,0.00010963367763475549,1,9,0.0,0.0,1,,0.03948475443839745,0.004770964725367367,0.00029613565828798065,3.5782235440255217e-06
1,0,9,-2.0,-0.022588090738443464,-0.04501886592528615,0.0002515698377413391,1,7,1.9254346196601438e-07,8.668089968022485e-09,1,,0.07416578354107907,0.01782691459118757,0.0007416578354107899,1.7826914591187573e-05
1,0,10,-3.0,-0.07007531546109648,-0.08995665191745508,0.00019763376964546738,1,9,0.0,0.0,1,,0.05703074507146677,0.037116057121853466,0.0008554611760720016,5.567408568278018e-05
1,0,11,-4.0,-0.10539000769620259,-0.12453760279197282,0.00018331519897577992,1,9,0.0,0.0,1,,0.03590034194890283,0.047304267648922094,0.0007180068389780569,9.46085352978441e-05
1,0,12,-5.0,-0.1370569911908219,-0.1472300404292906,5.174546540415041e-05,1,9,0.0,0.0,1,,0.011200001579965957,0.024821233340115073,0.0002800000394991471,6.205308335028754e-05
1,0,13,-6.5,-0.15897384798703867,-0.16584240895806274,2.3588564906332932e-05,1,8,0.0,0.0,1,,0.0031471692515017075,0.011534019475879134,0.00010228300067380466,3.748556329660708e-05
