evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,grad_2,grad_3,effective_k0_0,effective_k0_1
1,0,0.00032736817029486987,0.0022012015988793496,1,0,0.004999999999999999,0.0004999999999999999,0.4,0.3,0.1410433605378982,0.09040733679976262,0.0014731756355394487,0.00016556380413182894,0.004999999999999999,0.0004999999999999999
2,0,0.0003225454638350843,0.002177211157419347,1,0,0.004981339968384417,0.000499880181736672,0.3985268243644606,0.29983443619586814,0.14022333398141254,0.08943160405427994,0.0014546789069729202,0.00016356306805584897,0.004981339968384417,0.000499880181736672
3,1,0.0001001547932440092,0.000356480254973732,1,0,0.0033787593261427207,0.0004890504662684942,0.282462625916108,0.28614599900240395,0.025167144237787334,-0.03289234633230886,-0.00028387257858617014,-8.23771627903292e-05,0.0033787593261427207,0.0004890504662684942
4,2,9.029198232495174e-05,0.00030266824436150875,1,0,0.0032004745321176633,0.000492217522818939,0.30126146266858944,0.29264619084896154,0.024789579551904584,-0.02798390608195118,-0.000228655743194784,-7.032392267475153e-05,0.0032004745321176633,0.000492217522818939
5,3,5.205211459382301e-05,0.00010040269935783514,1,0,0.002183917115617184,0.0005164570106272588,0.4153950346612583,0.33873626962487285,0.013946856635125916,-0.008408621518760238,-6.927089436642755e-05,-1.6232335614295523e-05,0.002183917115617184,0.0005164570106272588
6,4,4.474827054545679e-05,4.0712021681861716e-05,1,0,0.0017831251145549699,0.0005293875298712382,0.47542888755666524,0.353369965844482,0.006967782193252764,-0.001135199798709051,-2.8368483228990138e-05,5.687544418974003e-06,0.0017831251145549699,0.0005293875298712382
7,5,4.251756593900787e-05,2.323918564676173e-05,1,0,0.0015405180533592411,0.000530598547274364,0.5238265546292687,0.33184398601556375,-1.403371748619307e-05,0.0017991960428693277,-1.8448584027550283e-05,1.3959766858046339e-05,0.0015405180533592411,0.000530598547274364
8,6,4.1267557870989573e-05,2.1907352285665292e-05,1,0,0.0013927257410326092,0.0005200160823676667,0.5657928238139065,0.2771794783493133,-0.0031207322420337877,0.0030952617100341168,-1.1785649133391043e-05,1.50711278431989e-05,0.0013927257410326092,0.0005200160823676667
9,7,3.989189854349828e-05,3.37100305779675e-05,1,0,0.0012037863171039847,0.00048072043812977407,0.6403884336785602,0.1300281326016431,0.003188253225078173,0.004584640366961371,3.0650518624864855e-05,9.646846773883808e-06,0.0012037863171039847,0.00048072043812977407
10,8,3.9702054514976965e-05,1.0591183929922534e-05,1,0,0.0012299461276526914,0.0004758763182895427,0.6322706881626697,0.12257629152465645,-1.8421072920525363e-05,0.0027481499361090007,8.922651703021223e-06,4.846542452951246e-06,0.0012299461276526914,0.0004758763182895427
11,9,3.961158918469387e-05,1.5687942465056291e-06,1,0,0.0012416524840170434,0.00046428841067106913,0.6326226793049141,0.0924934932016684,-3.459005306770219e-05,0.0014083189787875913,4.238237473652075e-07,-7.021542233631445e-08,0.0012416524840170434,0.00046428841067106913
12,10,3.96076315118374e-05,1.464753504718839e-06,1,0,0.0012434063907485852,0.0004608544245649109,0.6325175681514777,0.0907554822450094,3.952156384535119e-05,0.001315431021901892,1.262390091444569e-08,-4.2902687323218953e-07,0.0012434063907485852,0.0004608544245649109
13,11,3.9586940475438795e-05,3.3273845503240076e-06,1,0,0.0012508260444159894,0.0004392111372061228,0.6318413896628582,0.08916960117794,0.00012546659992656588,0.0010059712650178022,-2.7096285725542414e-06,-1.6011865503756089e-06,0.0012508260444159894,0.0004392111372061228
14,12,1000000000.0000355,1.7041558401393503e-05,2,0,0.0012347273228127192,0.00038009812169045176,0.6383394399069995,0.07955390134451965,-0.0027189699731199495,0.0007400137477709684,-1.495813643066806e-05,2.5481926718860344e-06,0.0012347273228127192,0.00038009812169045176
