evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,steric_a_0,steric_a_1,steric_a_2,steric_a_3,grad_0,grad_1,grad_2,grad_3,effective_k0_0,effective_k0_1
1,0,7.489876391604624e-05,0.0019405760495181204,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.1,0.1,0.1,0.1,5.574550063376356e-05,0.0005957680968124237,0.001842788202231053,-0.0001091781098068294,0.0012631578947368421,5.2631578947368424e-05
2,0,7.123479012240307e-05,0.0018359032988982213,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.09994425449936624,0.09940423190318758,0.09815721179776896,0.10010917810980684,0.00010557960097883415,0.0005016649160127582,0.0017605457172388253,-9.05812360064959e-05,0.0012631578947368421,5.2631578947368424e-05
3,1,2.198092538440659e-05,0.000535948303312166,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.08779797432847893,0.09751855759536804,0.04969660775379428,0.10017878115499375,-0.00020816444812297319,0.0003095680559511306,0.0003818935446603969,-4.725553557206423e-05,0.0012631578947368421,5.2631578947368424e-05
4,2,1.9895957588384115e-05,0.0005317079762569694,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.0910585335016036,0.0930997104414042,0.03756258730266039,0.10043134537879267,0.00036989032739481926,-0.0003646607307054042,3.567600467095238e-05,0.00010790872016271078,0.0012631578947368421,5.2631578947368424e-05
5,3,1.8656067004993983e-05,5.924642660141211e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.08763908982612943,0.09514952426289702,0.03455822695707247,0.099830157562534,3.922145789579635e-05,-2.0493263961313265e-05,1.9843320146806627e-05,3.403064917582478e-05,0.0012631578947368421,5.2631578947368424e-05
6,4,1.8614921638441578e-05,3.106591078856882e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.08709015434744731,0.09524253933622133,0.033361990197073234,0.09950895315336634,5.453880177782211e-06,1.3052387657725415e-05,3.878428295172337e-06,2.7385013684885652e-05,0.0012631578947368421,5.2631578947368424e-05
7,5,1.8594138604674686e-05,3.380972059674096e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.08680840816749899,0.09502283501604916,0.03280118031230085,0.09888923295191018,-2.3502625284631913e-06,1.9980088371728346e-05,-6.848295692207711e-06,2.6295824528753736e-05,0.0012631578947368421,5.2631578947368424e-05
8,6,1.8489925929889425e-05,5.530906578271295e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.08561752466903193,0.0935059016710684,0.031562456224935656,0.09511525113842804,-2.0228068940153943e-05,3.594598778717037e-05,-2.843975905666391e-05,2.343040869281519e-05,0.0012631578947368421,5.2631578947368424e-05
9,7,1.8115773784214822e-05,0.0001126424156889154,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.08103240973052633,0.08658216267664258,0.02857279558224452,0.07848377658104572,-5.37632918951017e-05,6.468727367462345e-05,-7.27925301356614e-05,1.7737712305415914e-05,0.0012631578947368421,5.2631578947368424e-05
10,8,1.7353874894887563e-05,0.00018867980082844807,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.07055458539410053,0.06941665764735222,0.02431026130283029,0.037787142819948896,-9.884642754090034e-05,0.00010402291370179858,-0.00012221800355060813,8.45245740338705e-06,0.0012631578947368421,5.2631578947368424e-05
