evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,steric_a_0,steric_a_1,steric_a_2,steric_a_3,grad_0,grad_1,grad_2,grad_3,effective_k0_0,effective_k0_1
1,0,0.00012491157741140237,0.0032577631188753365,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.1,0.1,0.1,0.1,0.0018930676115944069,-0.0013312561771623495,0.0022756604223587752,0.0002800753282843317,0.0012631578947368421,5.2631578947368424e-05
2,0,0.00011519667097113704,0.0027212219184761426,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.0981069323884056,0.10133125617716235,0.09772433957764123,0.09971992467171567,0.0013973246045533585,-0.0008518913806505117,0.00216694634110667,0.0001765143321165687,0.0012631578947368421,5.2631578947368424e-05
3,1,7.545033933325827e-05,0.0017883977011242684,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.08887827738925355,0.10503528559769815,0.07624926646305785,0.09899840190261716,-0.0006549260069798057,0.0010557639529602395,0.0012680835332880588,-0.0002162519156019148,0.0012631578947368421,5.2631578947368424e-05
4,2,5.6767491118749056e-05,0.001452428490769068,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.0862208591936497,0.1024142927538278,0.05748109628681331,0.09951336030847928,-0.0007911711662634277,0.0010139569142162768,0.0006450126028228031,-0.0001986122473158155,0.0012631578947368421,5.2631578947368424e-05
5,3,4.589496614446535e-05,0.0004681050081066235,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.08789315268255385,0.09494649679377402,0.037156294544779755,0.10035956838390017,0.00030058721308386517,-0.00031173655895145187,0.00015594033187872283,8.527928618157443e-05,0.0012631578947368421,5.2631578947368424e-05
6,4,4.51546222486394e-05,8.955833209323353e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.08667416400895508,0.09528607003017318,0.032837589373599,0.10013233170176805,5.209625067301496e-05,-5.1118050729902545e-05,3.667325651687648e-05,3.672455117709103e-05,0.0012631578947368421,5.2631578947368424e-05
7,5,4.510431049805526e-05,2.7359848815180964e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.08637585960446396,0.09527143099047304,0.031441611235987085,0.0999102269875751,-1.7260336885406894e-06,5.133104467551844e-06,1.938544457717437e-06,2.6748372264611432e-05,0.0012631578947368421,5.2631578947368424e-05
8,6,4.509566583918692e-05,2.8028002077305196e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.08635556435197854,0.09520886573688543,0.031215775840704552,0.09963055387196126,-5.004227334749138e-06,8.33640374547543e-06,-1.8590266932922743e-06,2.622165138914069e-05,0.0012631578947368421,5.2631578947368424e-05
9,7,4.500711992563263e-05,6.680443334567149e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.08629115056884135,0.09428241156428556,0.029188894255983727,0.09508737687668053,-3.0490311433668284e-05,3.238408182716174e-05,-4.421600583391988e-05,2.3008461391858375e-05,0.0012631578947368421,5.2631578947368424e-05
10,8,4.48678144920526e-05,9.50493394970031e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.08641407732850881,0.09301946720787117,0.027910178762563485,0.08815017380620749,-4.58536815699935e-05,4.688513532231486e-05,-6.563465118445915e-05,2.0632340511846687e-05,0.0012631578947368421,5.2631578947368424e-05
11,9,4.381797949701425e-05,0.00022510462674266894,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.0880414982922449,0.08215164161357569,0.020393165060793965,0.026854473857391904,-0.0001142715666366432,0.0001101281258843287,-0.00015939921905497594,8.819687819462293e-06,0.0012631578947368421,5.2631578947368424e-05
12,10,6.182932018811576e-05,0.0028556942867027303,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.09164355746557676,0.06287630369467152,0.010989744796466673,0.001,0.0019222049197882007,-0.002052783982638921,-0.0001611652665551413,0.00046927793782145085,0.0012631578947368421,5.2631578947368424e-05
13,10,4.380083360269376e-05,0.00017456679667954408,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.08815184876408991,0.08156113420323924,0.020105087654734725,0.026062412080453266,-4.932157117396664e-05,3.801122191073015e-05,-0.00016135051726259305,2.3708789674623025e-05,0.0012631578947368421,5.2631578947368424e-05
14,11,4.318641828502497e-05,0.00015654547023540575,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.08923742573733622,0.07693298330657901,0.019010596635748146,0.001,1.1653816353676856e-05,-3.127010980164533e-05,-0.0001486898123920831,3.58356350497554e-05,0.0012631578947368421,5.2631578947368424e-05
15,12,4.268712711082575e-05,9.652361585630655e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.08994975523005956,0.07762895216416818,0.024221977922518314,0.001,4.82988777430827e-05,-6.476314458688849e-05,-3.776995146381728e-05,3.692143952195319e-05,0.0012631578947368421,5.2631578947368424e-05
16,13,4.2630174689360034e-05,3.211617330760907e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.09028195369056692,0.07836470052045696,0.026205130852946203,0.001,8.546176224252648e-06,-1.7579337446362996e-05,-7.389382594397454e-07,2.547218728464511e-05,0.0012631578947368421,5.2631578947368424e-05
17,14,4.262836311863692e-05,2.309725138583388e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.09038163559248273,0.07856513551191807,0.0263689316244616,0.001,-4.211355368338601e-06,-3.193915469321194e-06,1.8372092965194428e-06,2.2409173869591537e-05,0.0012631578947368421,5.2631578947368424e-05
18,15,4.262765177846755e-05,2.3629536757420913e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.09046232708128098,0.07868474642905395,0.02639525105393484,0.001,-9.93589647759949e-06,3.1856696285511806e-06,2.1104335272718327e-06,2.1095747152007337e-05,0.0012631578947368421,5.2631578947368424e-05
19,16,4.262644570140686e-05,2.8054403842188246e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.09065759616398704,0.07891653457389987,0.02641087815832915,0.001,-1.6811895993269744e-05,1.084315052863195e-05,2.278165457188309e-06,1.953575636660045e-05,0.0012631578947368421,5.2631578947368424e-05
