evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,-1.0,-0.0019506123552504157,-0.0030582615656138154,6.134433866093252e-07,1,9,0.0,0.0,1,,5.363940464368384e-07,3.647949807100942e-07,4.9800018505735255e-06,-1.7184179668198462e-06
1,0,1,-2.0,-0.028170360657581075,-0.027819355804052218,6.160220360031957e-08,1,9,0.0,0.0,1,,-9.286664163686182e-07,-6.21402954639376e-06,-2.59439100976412e-05,3.965913681274597e-06
1,0,2,-3.0,-0.06810972414510592,-0.07555511445490276,2.7716918432610285e-05,1,9,0.0,0.0,1,,-0.00019983686831154428,0.0005243383008587313,0.0009334680242814895,-0.0001277630231089485
1,0,3,-4.0,-0.10751085605891321,-0.11410875100401935,2.1766108853330038e-05,1,9,0.0,0.0,1,,-0.0004242444619993575,0.0006652601265502953,0.0005903379986166806,-0.00012704748231895054
1,0,4,-5.0,-0.13530609300480156,-0.13914815528204952,7.38072127112512e-06,1,8,0.0,0.0,1,,-0.00033074207647927904,0.00041254432734068097,0.00016767737087323105,-8.001405295364328e-05
1,0,5,-6.5,-0.16002135692151756,-0.15980234907712793,2.3982217952133724e-08,1,8,0.0,0.0,1,,2.2578619591598185e-05,-2.371262372580803e-05,3.982805843882399e-08,5.078072272405377e-06
1,0,6,-8.0,-0.16909094165558328,-0.1693450405599334,3.228312659554528e-08,1,8,0.0,0.0,1,,-2.7443668220941597e-05,2.7155826283107477e-05,-4.268100769743222e-06,-6.117467168833647e-06
1,0,7,-10.0,-0.1768863609127894,-0.17457648608955176,2.667760849511302e-06,1,8,0.0,0.0,1,,0.0002507015766378822,-0.00024449829984940643,5.21145979231609e-05,5.564359943319339e-05
1,0,8,-13.0,-0.17943510580894406,-0.17741650521088695,2.0373741872370907e-06,1,7,0.0,0.0,1,,0.00022286565325993162,-0.00022013637566317587,4.8548866046661174e-05,4.9011060748966325e-05
1,0,9,-17.0,-0.18598186102627817,-0.17934928760957908,2.1995515063948254e-05,1,6,2.119690317731498e-06,3.801649484380665e-07,1,,0.0007424233347062722,-0.0007494645987495001,0.00016097470682563633,0.00016125033259218528
1,0,10,-22.0,-0.1843362347735441,-0.18109533242893333,5.251724003653516e-06,1,5,3.130752172293654e-05,5.669823562065579e-06,1,,0.000369134698272349,-0.0003808915234990811,7.91646246571299e-05,7.918854007781133e-05
1,0,11,-28.0,-0.1898856796273728,-0.1827150095132211,2.5709254942991235e-05,1,6,9.460056679906703e-07,1.728494346264764e-07,1,,0.0008331242104371883,-0.000874048891169383,0.0001769077216257404,0.00017692881648992477
1,0,12,-35.0,-0.18344721547540385,-0.18425997930843935,3.302925241452531e-07,1,5,2.4175406248649703e-06,4.4545598551493093e-07,1,,-9.541037891769741e-05,0.00010112031256184696,-2.0134804667197715e-05,-2.013705658323303e-05
1,0,13,-41.0,-0.18972942222354755,-0.18541439621669262,9.30972471992404e-06,1,5,9.733148371923547e-06,1.8046833939189266e-06,1,,0.0005097639943679637,-0.0005413199041811664,0.00010745603397660725,0.00010746850411605303
1,0,14,-46.5,-0.1865473215473971,-0.18637485921429955,1.4871628168904265e-08,1,5,1.132730628185238e-05,2.1111251135574882e-06,1,,2.0545250619973255e-05,-2.1753619353806956e-05,4.337463158007988e-06,4.337988972946508e-06
2,0,0,-1.0,-0.0019506123552504157,-0.00304774959764783,6.01855064327695e-07,1,8,0.0,0.0,1,,5.028616382111615e-07,3.4712101915501766e-07,4.87418299969266e-06,-1.687494071093076e-06
2,0,1,-2.0,-0.028170360657581075,-0.027666721989343196,1.2682595407208633e-07,1,9,0.0,0.0,1,,-1.135354605305839e-06,-8.717987330926463e-06,-3.665750862341725e-05,5.637860172598945e-06
2,0,2,-3.0,-0.06810972414510592,-0.07541911367816671,2.671358767301124e-05,1,9,0.0,0.0,1,,-0.00019625954059177952,0.0005088390906034715,0.0009114925688448995,-0.0001247899224492496
2,0,3,-4.0,-0.10751085605891321,-0.11416546806130355,2.2141930451180276e-05,1,9,0.0,0.0,1,,-0.00042575946942382896,0.0006691782162122077,0.0005963310742908598,-0.00012763123361074442
2,0,4,-5.0,-0.13530609300480156,-0.1393591127682565,8.213484601477338e-06,1,8,0.0,0.0,1,,-0.0003473618679439529,0.0004361261947680878,0.0001780857551164132,-8.412356314357875e-05
2,0,5,-6.5,-0.16002135692151756,-0.16013421661696087,6.3686554277592086e-09,1,8,0.0,0.0,1,,-1.1592979556032962e-05,1.2285192479101048e-05,-5.732164371848364e-10,-2.6098700060796758e-06
2,0,6,-8.0,-0.16909094165558328,-0.16972379439420268,2.0025129438798653e-07,1,8,0.0,0.0,1,,-6.663250286314565e-05,6.661831971501468e-05,-1.0160438859029015e-05,-1.4868173367492372e-05
2,0,7,-10.0,-0.1768863609127894,-0.17497711352812717,1.8226127879179119e-06,1,8,0.0,0.0,1,,0.00020651039122208432,-0.00020341843333323209,4.295214979080388e-05,4.588074822132234e-05
2,0,8,-13.0,-0.17943510580894406,-0.1778303487338661,1.287622635005443e-06,1,7,0.0,0.0,1,,0.00017659000293074854,-0.00017619849260296273,3.8500984655004336e-05,3.886964775479462e-05
2,0,9,-17.0,-0.18598186102627817,-0.17977490372791913,1.9263159451823034e-05,1,6,3.6553888535122193e-06,6.571471792282679e-07,1,,0.0006925788932145237,-0.0007063198164230539,0.0001502817736423159,0.00015054228854779813
2,0,10,-22.0,-0.1843362347735441,-0.18153251596497236,3.9304195787709696e-06,1,5,3.282155392912148e-05,5.95837482575412e-06,1,,0.00031837630995959926,-0.0003319301822341851,6.832359568512555e-05,6.834440008531978e-05
2,0,11,-28.0,-0.1898856796273728,-0.18316189648914238,2.2604629844972993e-05,1,6,1.093619675192845e-06,2.0030945374616138e-07,1,,0.0007790523066266022,-0.0008258820220083796,0.00016551490962839736,0.00016553490059909758
2,0,12,-35.0,-0.18344721547540385,-0.18471420610875122,8.026326324949499e-07,1,5,2.559350170635144e-06,4.727483349231676e-07,1,,-0.00014833929895238758,0.0001588777763117966,-3.1318548512260285e-05,-3.132210176084381e-05
2,0,13,-41.0,-0.18972942222354755,-0.18587184701392268,7.440443248962302e-06,1,5,1.0105845321536989e-05,1.878411118483303e-06,1,,0.000454563660394,-0.00048783270335655583,9.58584827824735e-05,9.586977987404701e-05
2,0,14,-46.5,-0.1865473215473971,-0.18683314351053273,4.0847097305055895e-08,1,5,1.1967098400552073e-05,2.235850612875012e-06,1,,-3.376880749597714e-05,3.6136345529949434e-05,-7.132067118171993e-06,-7.1329347293279974e-06
3,1,0,-1.0,-0.0019506123552504157,-0.0029550674471391335,5.044650158105806e-07,1,7,0.0,0.0,1,,1.9093397243042788e-07,2.70420478293494e-07,4.014624284051486e-06,-1.4501479623600299e-06
3,1,1,-2.0,-0.028170360657581075,-0.026221192400125756,1.8996284479352147e-06,1,9,0.0,0.0,1,,1.0885113444191404e-06,-2.663455169706006e-05,-0.0001260197802306146,2.0315114763701486e-05
3,1,2,-3.0,-0.06810972414510592,-0.07334366348705873,1.3697060517622068e-05,1,9,0.0,0.0,1,,-0.00014866866694780096,0.000318500290010836,0.0006071248808914065,-8.552546169484923e-05
3,1,3,-4.0,-0.10751085605891321,-0.11322114918094651,1.6303723769771705e-05,1,9,0.0,0.0,1,,-0.00035713324220023083,0.0005368451615902514,0.0004988351701501603,-0.00010575151615357184
3,1,4,-5.0,-0.13530609300480156,-0.1395946556888641,9.19588494756595e-06,1,7,0.0,0.0,1,,-0.000356730034782227,0.00045006342401769243,0.0001908353475406271,-8.63328861400536e-05
3,1,5,-6.5,-0.16002135692151756,-0.16140983923689828,9.639415700622686e-07,1,8,0.0,0.0,1,,-0.00013587636539428015,0.00014940786149469768,2.6269893780406057e-06,-3.0700858560895265e-05
