eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-9.302299938694882364e-01,6.710999999999999188e-01,-2.334628628508188253e-03,-2.337457988450064236e-03,1.700000000000000000e+01,1.000000000000000000e+00,1.274283293836164441e-02,7.716907672677157583e-06,9.872678399225196522e-01,4.940592053056218069e-01
-1.860459987738976473e+00,6.471999999999999975e-01,-1.797017096188754243e-02,-1.812444912620278861e-02,2.200000000000000000e+01,1.000000000000000000e+00,9.844588755839780991e-02,4.207843379381135296e-04,9.015628051147926980e-01,1.041175233632065433e+00
-2.790689981608464709e+00,6.232999999999999652e-01,-5.459000888553753456e-02,-5.623464307519185357e-02,2.400000000000000000e+01,1.000000000000000000e+00,3.022675179569058179e-01,4.485640023756023997e-03,6.977376053925571364e-01,1.545782220252982953e+00
-3.720919975477952946e+00,5.993999999999999329e-01,-9.059125818111313233e-02,-9.641457548006004963e-02,2.300000000000000000e+01,1.000000000000000000e+00,5.100470715148707201e-01,1.588274481432089963e-02,4.899264931110956511e-01,1.789910501001154453e+00
-4.651149969347441626e+00,5.754999999999999005e-01,-1.148171993588431861e-01,-1.270213898424291110e-01,2.000000000000000000e+01,1.000000000000000000e+00,6.596000872619138811e-01,3.328618949738699345e-02,3.403328290055185890e-01,1.824516536533141720e+00
-5.581379963216929418e+00,5.515999999999999792e-01,-1.285905298910083316e-01,-1.477734152705701409e-01,1.600000000000000000e+01,1.000000000000000000e+00,7.537659020699618573e-01,5.232015664697608343e-02,2.461543884435739293e-01,1.713166747148592739e+00
-6.511609957086417211e+00,5.276999999999999469e-01,-1.359440169226644457e-01,-1.610354623808183949e-01,1.400000000000000000e+01,1.000000000000000000e+00,8.099935213422277958e-01,6.843539597376559203e-02,1.899312618284826337e-01,1.510109002694482117e+00
-7.441839950955905891e+00,5.038000000000000256e-01,-1.401111229403265157e-01,-1.691725072173556055e-01,1.300000000000000000e+01,1.000000000000000000e+00,8.435523466889930377e-01,7.926316337020521130e-02,1.563870821871140848e-01,1.268466637369467520e+00
-8.372069944825394572e+00,4.798999999999999932e-01,-1.428993357293458777e-01,-1.740381416914084933e-01,1.100000000000000000e+01,1.000000000000000000e+00,8.644277509794563441e-01,8.492920504392459380e-02,1.355447775144323630e-01,1.030161398199745948e+00
-9.302299938694883252e+00,4.559999999999999609e-01,-1.451151117656011569e-01,-1.769330933624221891e-01,1.000000000000000000e+01,1.000000000000000000e+00,8.783669508930024294e-01,8.678161540338125146e-02,1.216301171335741754e-01,8.187972590592208499e-01
-1.023252993256437016e+01,4.320999999999999841e-01,-1.470718211251165475e-01,-1.786958204090330071e-01,1.100000000000000000e+01,1.000000000000000000e+00,8.885114881488171967e-01,8.625254040777487197e-02,1.114844731002797573e-01,6.425157931065731409e-01
-1.116275992643385884e+01,4.082000000000000073e-01,-1.488904690617627313e-01,-1.798306867092555605e-01,1.100000000000000000e+01,1.000000000000000000e+00,8.965670191325287863e-01,8.438756745807843296e-02,1.034356073968578926e-01,5.005383858851431000e-01
-1.209298992030334752e+01,3.842999999999999750e-01,-1.506115318692170801e-01,-1.806236126856502200e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.034237710953935130e-01,8.185613053240033132e-02,9.658232072521615030e-02,3.884307994096170003e-01
-1.302321991417283442e+01,3.603999999999999981e-01,-1.522511348490312166e-01,-1.812287425631372850e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.095461438459362391e-01,7.903466787493701462e-02,9.046142581859277498e-02,3.008435832595005022e-01
-1.395344990804232310e+01,3.365000000000000213e-01,-1.538162707304990828e-01,-1.817264679794101945e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.151724729462379360e-01,7.612337055753114201e-02,8.483550988054759656e-02,2.327929037070610718e-01
-1.488367990191181178e+01,3.125999999999999890e-01,-1.553106692248773790e-01,-1.821584436672467611e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.204265417153479900e-01,7.322567677665670072e-02,7.958132284660812683e-02,1.800713478218174679e-01
-1.581390989578130046e+01,2.887000000000000122e-01,-1.567368601724332955e-01,-1.825467434576346637e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.253754551746784518e-01,7.039489158188104445e-02,7.463203806720547506e-02,1.392839415267362324e-01
-1.674413988965078914e+01,2.647999999999999798e-01,-1.580979979349927955e-01,-1.829036172505446034e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.300612275141850738e-01,6.765582250195216474e-02,6.995082223763492146e-02,1.077490115612167176e-01
-1.767436988352027782e+01,2.409000000000000030e-01,-1.593937554607301743e-01,-1.832362872887959848e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.345026649491874338e-01,6.502905978023479361e-02,6.550853809789973503e-02,8.337664998717371490e-02
-1.860459987738976650e+01,2.169999999999999707e-01,-1.606270898641487255e-01,-1.835492959707601401e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.387202219462902342e-01,6.251892718234952628e-02,6.129014430851577322e-02,6.453940570244770525e-02
-1.953482987125925163e+01,1.931000000000000494e-01,-1.617997855985202071e-01,-1.838456936054910784e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.427270850265631053e-01,6.012887725318249998e-02,5.728247245547173072e-02,4.997850364231250231e-02
-2.046505986512874031e+01,1.692000000000000171e-01,-1.629135935510512279e-01,-1.841276607821291378e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.465339770533425234e-01,5.786008197870134290e-02,5.347480460232490601e-02,3.872072093481788990e-02
-2.139528985899822899e+01,1.452999999999999847e-01,-1.639716581396291062e-01,-1.843968609231449451e-01,9.000000000000000000e+00,1.000000000000000000e+00,9.501540111196637994e-01,5.570850203371286585e-02,4.986069170294392394e-02,3.001348729000768989e-02
-2.232551985286771767e+01,1.214000000000000634e-01,-1.649727250454958716e-01,-1.846546438744631480e-01,9.000000000000000000e+00,1.000000000000000000e+00,9.535874477700810870e-01,5.368124011947557339e-02,4.642604337101444850e-02,2.327804967949479581e-02
-2.325574984673720635e+01,9.750000000000003109e-02,-1.659199407739733179e-01,-1.849021808082327856e-01,9.000000000000000000e+00,1.000000000000000000e+00,9.568460632080776351e-01,5.177290863454253600e-02,4.316626591436101973e-02,1.806526847005568079e-02
-2.418597984060669503e+01,7.359999999999999876e-02,-1.668148862495338891e-01,-1.851405278560039613e-01,9.000000000000000000e+00,1.000000000000000000e+00,9.599370498440473742e-01,4.998207623804083038e-02,4.007416882492860488e-02,1.402920668015730093e-02
