eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-9.302299938694882364e-01,6.710999999999999188e-01,-2.343496170953450648e-03,-2.346346731652329456e-03,1.700000000000000000e+01,1.000000000000000000e+00,1.279126213074669068e-02,7.774731451815600534e-06,9.872198399200271535e-01,4.950124426073683748e-01
-1.860459987738976473e+00,6.471999999999999975e-01,-1.827224690591778070e-02,-1.843218145443199438e-02,2.200000000000000000e+01,1.000000000000000000e+00,1.001091026429871828e-01,4.362117828448532205e-04,8.999202134035754197e-01,1.051426359387639398e+00
-2.790689981608464709e+00,6.232999999999999652e-01,-5.557235129863046658e-02,-5.729454463775623257e-02,2.400000000000000000e+01,1.000000000000000000e+00,3.078376145614331039e-01,4.697177900851180407e-03,6.921962072893372842e-01,1.569570376899457109e+00
-3.720919975477952946e+00,5.993999999999999329e-01,-9.170050679008054373e-02,-9.777197492488927388e-02,2.300000000000000000e+01,1.000000000000000000e+00,5.167747045071994227e-01,1.655956117158288721e-02,4.830009382219902503e-01,1.822456733457856970e+00
-4.651149969347441626e+00,5.754999999999999005e-01,-1.156082078105415550e-01,-1.282351700912414127e-01,2.000000000000000000e+01,1.000000000000000000e+00,6.650680268747189983e-01,3.443927393767109990e-02,3.343663626841869574e-01,1.858547199946174233e+00
-5.581379963216929418e+00,5.515999999999999792e-01,-1.290071065549378559e-01,-1.486794606833880539e-01,1.600000000000000000e+01,1.000000000000000000e+00,7.573732735821694373e-01,5.365515297880656814e-02,2.419065055717935508e-01,1.741553999211811199e+00
-6.511609957086417211e+00,5.276999999999999469e-01,-1.361159576911259161e-01,-1.616343313521716452e-01,1.400000000000000000e+01,1.000000000000000000e+00,8.120958581666499754e-01,6.959981675876945884e-02,1.872336996410955134e-01,1.529491987289451238e+00
-7.441839950955905891e+00,5.038000000000000256e-01,-1.401683113760238686e-01,-1.695349689187115039e-01,1.300000000000000000e+01,1.000000000000000000e+00,8.446969169907551089e-01,8.009577769090620025e-02,1.547955953326434486e-01,1.279621533170737679e+00
-8.372069944825394572e+00,4.798999999999999932e-01,-1.429138696853099189e-01,-1.742454160245772710e-01,1.100000000000000000e+01,1.000000000000000000e+00,8.650327196378934103e-01,8.545489273521916784e-02,1.346551870076999335e-01,1.035719497107267406e+00
-9.302299938694883252e+00,4.559999999999999609e-01,-1.451168040039889084e-01,-1.770487680775064132e-01,1.000000000000000000e+01,1.000000000000000000e+00,8.786870621416144056e-01,8.709249569681840053e-02,1.211529233249366566e-01,8.212492383866292212e-01
-1.023252993256437016e+01,4.320999999999999841e-01,-1.470707043534268676e-01,-1.787610380492571094e-01,1.100000000000000000e+01,1.000000000000000000e+00,8.886863193807497119e-01,8.643346349383534966e-02,1.112340721433636437e-01,6.434952308683686839e-01
-1.116275992643385884e+01,4.082000000000000073e-01,-1.488892488659217805e-01,-1.798690933760953292e-01,1.100000000000000000e+01,1.000000000000000000e+00,8.966684429772376896e-01,8.449564732311751203e-02,1.033031276203669746e-01,5.009025552201424869e-01
-1.209298992030334752e+01,3.842999999999999750e-01,-1.506106702692956989e-01,-1.806477325546372026e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.034872066139181257e-01,8.192426597400349897e-02,9.650945207530323144e-02,3.885605337362553757e-01
-1.302321991417283442e+01,3.603999999999999981e-01,-1.522505716866817127e-01,-1.812449095354294604e-01,1.100000000000000000e+01,1.000000000000000000e+00,9.095887022913596853e-01,7.908029830267801485e-02,9.041889198949717987e-02,3.008889242622113658e-01
