evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,grad_0,grad_1,effective_k0_0,effective_k0_1
1,0,0.0008295374573594764,0.002125809312415107,0,0,0.004999999999999999,0.0004999999999999999,0.18322748010699147,0.2283928702596621,0.004999999999999999,0.0004999999999999999
2,0,0.0008250234433262992,0.002119235840277126,0,0,0.004975772551464062,0.0004996973626944943,0.1835435314903506,0.2283638796476527,0.004975772551464062,0.0004996973626944943
3,1,8.994980786937596e-05,4.596039090321065e-05,0,0,0.001043967802517573,0.0003538788284437053,0.005469619916761616,0.054047201960991276,0.001043967802517573,0.0003538788284437053
4,2,8.929732461819823e-05,4.115000468796113e-05,0,0,0.0010300857125487433,0.00034155497026672595,-0.004289941746180056,0.050698311842165174,0.0010300857125487433,0.00034155497026672595
5,3,8.661067289237652e-05,7.569496638721467e-05,0,0,0.0010118194043624142,0.0002778817228046278,-0.030305994629575388,0.04264077026560803,0.0010118194043624142,0.0002778817228046278
6,4,8.172484884546932e-05,0.00011969042604195805,0,0,0.0010333742062624606,0.00017754257700541037,-0.04992759352253737,0.035660082988930523,0.0010333742062624606,0.00017754257700541037
7,5,7.085749638307322e-05,7.784334452711102e-05,0,0,0.0011771260717500036,5.3200574869487156e-05,-0.028637196277000832,0.04818864305669239,0.0011771260717500036,5.3200574869487156e-05
8,6,6.780910024542526e-05,8.255188502437157e-05,0,0,0.0013681393649450837,1.4916548524426619e-05,0.026168909871853455,0.1257619076663319,0.0013681393649450837,1.4916548524426619e-05
9,7,6.724857468515679e-05,2.757722676241404e-05,0,0,0.0013132744457505304,1.864455640307895e-05,0.009019516101513875,0.09494219939400234,0.0013132744457505304,1.864455640307895e-05
10,8,6.703410388415172e-05,1.8830776592950738e-05,0,0,0.001309007339695948,1.6655105274664846e-05,0.006141548228218873,0.09007256072459839,0.001309007339695948,1.6655105274664846e-05
11,9,6.628437263374482e-05,2.4795098872422312e-06,0,0,0.0013106612830792736,7.93302645296053e-06,0.0006391971587546011,0.08528260091843785,0.0013106612830792736,7.93302645296053e-06
12,10,6.594076152242014e-05,5.955000939313582e-06,0,0,0.0013220349160571545,4.004929705543338e-06,0.001932673028208441,0.09994460367542808,0.0013220349160571545,4.004929705543338e-06
13,11,6.569611190433293e-05,7.594533547241252e-06,0,0,0.0013286668230677915,1.662413528591871e-06,0.0024779605762599655,0.11841694872103124,0.0013286668230677915,1.662413528591871e-06
14,12,6.560040506466717e-05,1.495229845054678e-06,0,0,0.0013258137767546106,7.637993052849488e-07,0.0004887354011412423,0.055756143094969624,0.0013258137767546106,7.637993052849488e-07
15,13,6.559496007181229e-05,3.6625574309971824e-07,0,0,0.0013251897698739273,6.156365118291109e-07,0.00011995936851496924,0.008877495860233703,0.0013251897698739273,6.156365118291109e-07
