phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.008122387304030951,-0.002942680250354719,0.001789441175982866,-0.00294264598196603
-2,-0.02789442154196056,-0.02357496128654094,-0.02120650459008381,-0.02357351838164704
-3,-0.06129697453964553,-0.0667731564018061,-0.06630909840075078,-0.06676349582645434
-4,-0.108061083948832,-0.1067943530743033,-0.0996292223073795,-0.1067713600235542
-5,-0.1354812639890666,-0.1348629011630437,-0.1239665942040159,-0.1348274868291031
-6.5,-0.1593150309425325,-0.1590435518984512,-0.1380865242451343,-0.1589964458274123
-8,-0.1716718651389106,-0.1706332177705804,-0.1430134434584222,-0.1705833406030208
-10,-0.1735978669086523,-0.1772049286862134,-0.1496549084916584,-0.1771625979709732
-13,-0.1808074919500438,-0.1805718313099094,-0.1504691014621718,-0.1805485668808273
-17,-0.1820896560953913,-0.1824241349891094,-0.1615512154411468,-0.1824120121163892
-22,-0.1891036002732425,nan,-0.1699537717041776,nan
-28,-0.1832562407713948,nan,-0.1665185114345139,nan
-35,-0.1885126321939949,nan,-0.1751931610113371,nan
-41,-0.1859119715816313,nan,-0.1802174673893505,nan
-46.5,-0.1886093566851096,nan,-0.1791819575124929,nan
