evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,-1.0,-0.008122387304030951,-0.0029426802503547188,1.3414682580951541e-05,1,9,0.0,0.0,1,,-0.01055451031657154,-0.00013455099563322673,-1.3956126100951009e-05,-8.283650378317623e-11
1,0,1,-2.0,-0.02789442154196056,-0.023574961286540935,9.328868449075629e-06,1,10,0.0,0.0,1,,-0.04324660283463634,-0.003272418320735409,-0.00011436912267740053,-4.029337595459502e-09
1,0,2,-3.0,-0.061296974539645534,-0.0667731564018061,1.4994283893728578e-05,1,9,0.0,0.0,1,,0.0687820651830939,0.016624931028025546,0.0002728495628087768,3.0705484315078526e-08
1,0,3,-4.0,-0.10806108394883196,-0.10679435307430331,8.023035542420963e-07,1,9,0.0,0.0,1,,-0.011976116782282388,-0.006605451370407089,-6.334360988811543e-05,-1.6266620543659254e-08
1,0,4,-5.0,-0.13548126398906657,-0.1348629011630437,1.9118629230332496e-07,1,9,0.0,0.0,1,,-0.0038482533653245495,-0.004069529438305748,-2.5442539551339487e-05,-1.2527056716506166e-08
1,0,5,-6.5,-0.15931503094253247,-0.15904355189845115,3.685043568748599e-08,1,9,0.0,0.0,1,,-0.000803845865705705,-0.0020088897267749495,-6.908964087549142e-06,-8.039042032705233e-09
1,0,6,-8.0,-0.1716718651389106,-0.17063321777058035,5.393941778679565e-07,1,7,3.91834334245187e-08,6.6859955905052004e-09,1,,-0.0014985182468481991,-0.006642275699249403,-1.5851808556009162e-05,-3.2714608673108806e-08
1,0,7,-10.0,-0.17359786690865228,-0.17720492868621343,6.505447333566292e-06,1,8,0.0,0.0,1,,0.0019496662719517205,0.014715347805553754,2.5780247050787943e-05,9.059523925696534e-08
1,0,8,-13.0,-0.18080749195004384,-0.18057183130990942,2.77679686544188e-08,1,8,0.0,0.0,1,,-4.11509341937485e-05,-0.0003906311345286339,-7.073752286182131e-07,-3.1264036725404866e-09
1,0,9,-17.0,-0.1820896560953913,-0.18242413498910937,5.593806517161797e-08,1,7,0.0,0.0,1,,2.928123405942715e-05,0.0005417003710734851,6.582109359267247e-07,5.669475715524371e-09
1,0,10,-22.0,-0.18910360027324252,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
1,0,11,-28.0,-0.18325624077139477,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
1,0,12,-35.0,-0.18851263219399492,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
1,0,13,-41.0,-0.1859119715816313,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
1,0,14,-46.5,-0.18860935668510956,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
2,0,0,-1.0,-0.008122387304030951,-0.00294500161381226,1.3402661292640518e-05,1,9,0.0,0.0,1,,-0.010552747066950105,-0.00013455630666701972,-1.39600270130698e-05,-8.283937150684974e-11
2,0,1,-2.0,-0.02789442154196056,-0.023591886246427222,9.255904984655816e-06,1,10,0.0,0.0,1,,-0.043073442870597965,-0.003259620056877733,-0.00011396206546116958,-4.013559580393229e-09
2,0,2,-3.0,-0.061296974539645534,-0.0668011030813314,1.5147715501700876e-05,1,9,0.0,0.0,1,,0.06909712335711381,0.016695069740392213,0.0002742217839026178,3.0834877654146335e-08
2,0,3,-4.0,-0.10806108394883196,-0.10682071183693576,7.692614879849592e-07,1,8,0.0,0.0,1,,-0.011748838403478108,-0.006439533709456336,-6.216925334955395e-05,-1.585795384852922e-08
2,0,4,-5.0,-0.13548126398906657,-0.1348836288219484,1.7858389648801303e-07,1,9,0.0,0.0,1,,-0.00371614056665241,-0.003925548603448131,-2.458005596348737e-05,-1.2083788087836267e-08
2,0,5,-6.5,-0.15931503094253247,-0.15905616233254294,3.350647861879673e-08,1,9,0.0,0.0,1,,-0.00076575833389268,-0.001910634195618943,-6.5845457331847125e-06,-7.6458124418174e-09
2,0,6,-8.0,-0.1716718651389106,-0.17064034523264685,5.320166585074875e-07,1,7,3.987135091632437e-08,6.8036613565247706e-09,1,,-0.0014866017920213254,-0.006575293371016622,-1.5732776341653383e-05,-3.2384549416987094e-08
2,0,7,-10.0,-0.17359786690865228,-0.17720818829510673,6.517210256740186e-06,1,8,0.0,0.0,1,,0.001949093288345476,0.014666052334390674,2.5784181866267762e-05,9.029131283114154e-08
