evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3
1,0,0,-1.0,-0.008122387304030951,-0.002943791324856205,1.3408928157762305e-05,1,9,0.0,0.0,1,,-0.010555886913840625,-0.00013456501781101496,-1.3957946362100157e-05,-8.284513655603634e-11
1,0,1,-2.0,-0.02789442154196056,-0.02358592565415174,9.281568407633496e-06,1,10,0.0,0.0,1,,-0.04314677608946938,-0.003264105454094468,-0.0001141051228134542,-4.019101940112462e-09
1,0,2,-3.0,-0.061296974539645534,-0.06679366997339106,1.5106830345679853e-05,1,9,0.0,0.0,1,,0.0690360105370307,0.016676318570131465,0.0002738569312065497,3.0800394746012884e-08
1,0,3,-4.0,-0.10806108394883196,-0.10681507936877793,7.762637067578414e-07,1,9,0.0,0.0,1,,-0.011777666349951435,-0.006489896986493244,-6.229397359980708e-05,-1.598205568807589e-08
1,0,4,-5.0,-0.13548126398906657,-0.1348799276624706,1.8080268884180687e-07,1,9,0.0,0.0,1,,-0.00374108760143487,-0.003951205998125271,-2.4734018326910557e-05,-1.2162826780710453e-08
1,0,5,-6.5,-0.15931503094253247,-0.15905435588891897,3.397574178803891e-08,1,9,0.0,0.0,1,,-0.0007715050793595669,-0.0019246775988797492,-6.630998695225578e-06,-7.702047509417061e-09
1,0,6,-8.0,-0.1716718651389106,-0.1706394928019696,5.328963210387982e-07,1,7,3.9151657124537764e-08,6.680819175652886e-09,1,,-0.001488605412111344,-0.006583158611310114,-1.5746947398110776e-05,-3.242344454722854e-08
1,0,7,-10.0,-0.17359786690865228,-0.17720786877589095,6.516056740728337e-06,1,8,0.0,0.0,1,,0.0019499348101744461,0.014670859545750193,2.5783797905528318e-05,9.032134667934604e-08
1,0,8,-13.0,-0.18080749195004384,-0.18057307999909256,2.747448137452925e-08,1,8,0.0,0.0,1,,-4.091143118473111e-05,-0.0003866472183647266,-7.032582261959619e-07,-3.0945185281549414e-09
1,0,9,-17.0,-0.1820896560953913,-0.18242495166685624,5.6211560122187864e-08,1,7,0.0,0.0,1,,2.9338773994636015e-05,0.0005402576109973701,6.595043723489935e-07,5.654375683012572e-09
1,0,10,-22.0,-0.18910360027324252,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
1,0,11,-28.0,-0.18325624077139477,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0
